RMA_NUMBER,CUSTOMER_ID,INVOICE_NUMBER,ITEM_ID,QTY,REQUEST_DATE,REASON_CODE,DISPOSITION,CREDIT_MEMO,CREDIT_AMOUNT,RECEIVED_DATE,STATUS,APPROVED_BY
RMA-0001,RFS-CUST0008,25493,SOC1250-011,1,12-Aug-2025,No longer needed,Scrap,CM-7827,$176.48,2025-08-23,Closed,E006
RMA-0002,RFS-CUST0018,28952,CUT5811-066,2,2025-07-16,Wrong part ordered,Repair,,$112.18,2025-07-22,Closed,E005
RMA-0003,RFS-CUST0014,20204,ABRM12-095,1,2025-08-07,Overshipment,REPAIR,,63.54,2025-08-11,Closed,E005
RMA-0004,RFS-CUST0002,20760,LOC1420-087,5,2025-12-12,No longer needed,Restock w/ 15% fee,,$67.70,,Closed,E006
RMA-0010,RFS-CUST0013,28868,HEX60-055,1,2025-06-24 ,Wrong part ordered,Scrap,CM-7784,$51.88,05-Jul-2025,Closed,E006
RMA-0005,RFS-CUST0007,25258,ANC3410-074,2,2026-02-08,Wrong part ordered,Restock,CM-7442,435.24,,Closed,E005
RMA-0006,RFS-CUST0007,27212,HEX3410-042,1,2025-08-31,Wrong part ordered,,CM-7174,161.38,2025-09-09,Closed,E006
RMA-0007,RFS-CUST0007,28809,SOCM10-021,1,2026-01-16,Overshipment,Restock,CM-7385,$140.20,2026-01-30,Closed,E006
RMA-0008,RFS-CUST0022,25544,FLA1420-090,5,09/18/25,Defective,Return to vendor,,$7.38,2025-09-23,Closed,E006
RMA-0009,RFS-CUST0003,28966,FLAsize8-029,1,2025-07-11,Damaged in transit,Repair,CM-7417,36.2,2025-07-25,Closed,E006
RMA-0010,RFS-CUST0013,28868,HEX60-055,1,2025-06-24 ,Wrong part ordered,Scrap,CM-7784,$51.88,05-Jul-2025,Closed,E006
RMA-0011,RFS-CUST0007,21365,CUT1500-089,1,2025-11-15,Wrong part ordered,Scrap,,146.8,,Closed,E006
RMA-0012,RFS-CUST0022,20427,HOSsize8-128,5,01/24/2026,No longer needed,Restock w/ 15% fee,CM-7380,$86.24,2026-01-27,Closed,E006
RMA-0013,RFS-CUST0020,20210,ABRM8-051,1,2025-12-21,No longer needed,Scrap,,94.62,31-Dec-2025,Awaiting return,E005
RMA-0014,RFS-CUST0020,29441,CAB1250-008,1,"Dec 13, 2025",Wrong part shipped,,CM-7502,86.36,12/25/25,Awaiting return,E006
RMA-0015,RFS-CUST0009,23309,LOC1420-087,1,11/15/2025,No longer needed,Restock w/ 15% fee,,58.44,,Awaiting return,E004
RMA-0016,RFS-CUST0017 ,25329,HOSM12-104,2,06/12/25,Wrong part ordered,Scrap,,$84.54,,Closed,
RMA-0017,RFS-CUST0013,28130,LOC60-069,1,2025-12-19,OVERSHIPMENT,Return to vendor,CM-7046,65.16,,Awaiting return,E004
,RFS-CUST0011,23807,NIT80-132,1,10/03/25,Wrong part ordered,Return to vendor,CM-7331,$41.36,"Oct 12, 2025",Closed,E006
RMA-0019,RFS-CUST0008,24221,DRIsize4-017,2,09/20/25,No longer needed,RESTOCK W/ 15% FEE,CM-7354,181.88,,Closed,E006
RMA-0020,RFS-CUST0022,21377,HEXsize8-000,,2025-09-30,Overshipment,Repair ,,79.98,10/07/25,Closed,E005
RMA-0021,RFS-CUST0013,23197,ANCSIZE6-005,1,07/19/2025,Wrong part ordered,Restock,CM-7435,$368.12,2025-07-31,Open,E004
RMA-0022,RFS-CUST0011,29409,,1,21-Aug-2025,Wrong part ordered,Repair,CM-7460,,09/04/25,Closed,
RMA-0023,RFS-CUST0025,25749,CUTM6-061,1,2025-11-24,Wrong part ordered,Restock w/ 15% fee ,CM-7372,$78.24,2025-11-26,Awaiting return,E004
RMA-0024,RFS-CUST0010,28354,CUT2000-023,2,2025-07-26,Wrong part ordered,Restock w/ 15% fee ,CM-7275,$179.78,2025-08-04,Closed,E004
RMA-0025,RFS-CUST0012,29461 ,FLA1375-009,2,04-Nov-2025,Overshipment ,,CM-7939,21.7,"Nov 06, 2025",Awaiting return,E004
