AP_INVOICE_ID,VENDOR_ID,VENDOR_NAME,INVOICE_NUMBER,INVOICE_DATE,DUE_DATE,AMOUNT,GL_ACCOUNT,CATEGORY,STATUS,APPROVED_BY
RFS-AP00001,,Grainger Industrial Supply,3126426,04/21/2025,2025-05-22,310.86,6700,MRO Supplies,Paid,E002
RFS-AP00002,RFS-CV001,Grainger Industrial Supply,7889551,2025-05-16,2025-06-23,1363.75,6700,MRO Supplies,Paid,E002
RFS-AP00003,,Grainger Industrial Supply,7181042,28-Jun-2025,07/24/25,"$4,009.54",6700,MRO Supplies,Paid,E002
RFS-AP00004,RFS-CV001,Grainger Industrial Supply,3748446,2025-08-19,2025-09-28,1308.62,6700,MRO Supplies,Paid,E002
RFS-AP00005,RFS-CV001,Grainger Industrial Supply,9343295,2025-09-25,2025-10-26,3751.35,6700,MRO Supplies,Paid,E002
RFS-AP00006,RFS-CV001,Grainger Industrial Supply,8465340,2025-10-11,11/25/2025,"$1,188.65",6700,MRO Supplies,Paid,E002
,RFS-CV001,Grainger Industrial Supply,6291943,"Nov 14, 2025",2025-12-14,1216.87,6700,MRO Supplies,Paid,E002
RFS-AP00008,RFS-CV001,Grainger Industrial Supply,7751251,2025-12-16,2026-01-24,2861.98,6700,MRO SUPPLIES,Paid,E002
RFS-AP00009,RFS-CV001,Grainger Industrial Supply,8226389,2026-01-30,2026-02-25,"$3,799.62",6700,MRO Supplies,Paid,E002
RFS-AP00010,RFS-CV001,Grainger Industrial Supply,4871756,2026-02-21,03/29/26,2075.32,6700,MRO Supplies,Paid,E002
RFS-AP00011,RFS-CV002,CINTAS,6007840,31-May-2025,06/11/25,1418.32,6700,Uniforms / Facility Services,Paid,E002
RFS-AP00012,RFS-CV002,CINTAS,7318434,2025-09-28,"Oct 29, 2025",$481.27,6700,Uniforms / Facility Services,Paid,E002
RFS-AP00013,RFS-CV002,CINTAS,2683256,"Oct 19, 2025",,"$3,382.70",6700,Uniforms / Facility Services,Paid,E002
RFS-AP00014,RFS-CV002,CINTAS,1700029,2025-11-12,2025-12-18,2845.7,6700,Uniforms / Facility Services,Paid,E002
RFS-AP00015,RFS-CV002,CINTAS,9764138 ,2025-12-16,2026-01-28,"$3,291.43",6700,Uniforms / Facility Services,Paid,E002
RFS-AP00016,RFS-CV002,CINTAS,9076515,2026-01-22,02/20/2026,"$2,898.14",6700,Uniforms / Facility Services,Paid,E002
RFS-AP00017,RFS-CV002,CINTAS,7552874,2026-02-10,03/15/26,"$3,252.53",6700,Uniforms / Facility Services,Paid ,
RFS-AP00018,RFS-CV003,,613156,05/28/2025,2025-06-30,"$3,777.84",6700,Office Supplies,Paid,E002
RFS-AP00019,RFS-CV003,Staples,9369347,18-Jun-2025,2025-07-25,"$1,401.57",6700,Office Supplies,Paid,E002 
RFS-AP00050,RFS-CV008,Chattanooga Industrial Park LLC,2095874,08/29/2025,2025-09-23,7800,6300,Rent,Paid,E002
,RFS-CV003,Staples,6491365,08/25/2025,2025-09-22,"$4,069.46",6700,Office Supplies,Paid,E002
RFS-AP00021,RFS-CV003,Staples,4859143,2025-10-12,28-Nov-2025,4028.72,6700,Office Supplies,Paid,E002
RFS-AP00022,RFS-CV003,Staples,7170392,2025-11-18,"Dec 22, 2025","$2,632.76",6700,Office Supplies,Paid ,E002
RFS-AP00023,RFS-CV003,Staples,664812,2025-12-30,2026-01-11,"$1,193.35",6700,Office Supplies,,E002
RFS-AP00024,RFS-CV003,Staples,8696526,02/27/26,2026-03-24,3399.29,6700,Office Supplies,Paid,E002
RFS-AP00025,RFS-CV003,Staples,4704580,03/23/2026,2026-04-16,826.89,6700,Office Supplies,Open ,E002
RFS-AP00026,RFS-CV004,WM - Waste Management,8947774,2025-04-17,"May 16, 2025",2316.11,6300,Waste / Recycling,Paid,E002
RFS-AP00027,RFS-CV004,WM - Waste Management,7447881,2025-05-27 ,2025-06-20,"$1,810.87",6300 ,Waste / Recycling,Paid,E002
RFS-AP00028,RFS-CV004,WM - Waste Management,474107,2025-06-24,2025-07-11,3569.24,6300,Waste / Recycling,Paid,E002
RFS-AP00029,RFS-CV004,WM - Waste Management,9007494,2025-08-15,22-Sep-2025,"$2,500.86",6300,Waste / Recycling,Paid,E002
RFS-AP00030,RFS-CV004,WM - Waste Management,6417459,2025-09-29,2025-10-24,"$1,289.69",6300,Waste / Recycling,Paid,E002
RFS-AP00031,RFS-CV004,WM - Waste Management,971430,10/23/2025,2025-11-28,3997.16,6300,Waste / Recycling ,Paid,E002
RFS-AP00032,RFS-CV004,WM - Waste Management,477004,02/10/26,,"$1,751.48",6300,Waste / Recycling,Paid,E002
RFS-AP00033,RFS-CV004 ,WM - Waste Management,793585,28-Mar-2026,2026-04-17,"$2,063.85",6300,Waste / Recycling,Open,E002
RFS-AP00034,RFS-CV005,UPS Freight / UPS,9663918,2025-07-26,2025-08-28,58.64,5300,Parcel Freight,Paid,E002
RFS-AP00035,RFS-CV005,UPS Freight / UPS,3378158,09/18/25,2025-10-10,$18.58,5300,,Paid,E002 
RFS-AP00036,RFS-CV005,UPS Freight / UPS,9240761,"Nov 25, 2025",2025-12-14,75.3,5300,Parcel Freight,Paid,E002
RFS-AP00037,RFS-CV005 ,UPS Freight / UPS,8521103,2026-02-09,03/25/2026,$122.50,5300,Parcel Freight,,E002
RFS-AP00038,RFS-CV005,UPS Freight / UPS,7556882,"Mar 19, 2026",14-Apr-2026,$48.90,5300,Parcel Freight,Open,E002
RFS-AP00039,RFS-CV006,FEDERAL EXPRESS,6945067,2025-10-21,"Nov 24, 2025",57.65,5300,Parcel Freight,Paid,E002
RFS-AP00040,RFS-CV006,Federal Express,1353865,2025-11-11 ,2025-12-16,21.5,5300,Parcel Freight,Paid,E002
RFS-AP00041,RFS-CV007,SUNBELT RENTALS INC,5221482,2025-05-26,2025-06-25,$897.98,6700 ,Equipment Rental,Paid,E002
RFS-AP00042,RFS-CV007,SUNBELT RENTALS INC,2116465,2025-10-17,2025-11-28,210.34,6700,Equipment Rental,Paid,E002
RFS-AP00043,RFS-CV007,SUNBELT RENTALS INC,2550096,2026-01-27,2026-02-16,,6700,Equipment Rental,Paid,E002
RFS-AP00044 ,RFS-CV007,SUNBELT RENTALS INC,814158,02/26/26,2026-03-23,"$1,581.14",6700,Equipment Rental,Paid,E002
RFS-AP00045,RFS-CV007,SUNBELT RENTALS INC,4063559,27-MAR-2026,2026-04-11,411.23,6700,Equipment Rental,Open,E002
RFS-AP00046,RFS-CV008,Chattanooga Industrial Park LLC,1701222,2025-04-16,"May 27, 2025",7800,6300,Rent,Paid,E002
RFS-AP00047,RFS-CV008,Chattanooga Industrial Park LLC,7365597,2025-05-19,2025-06-14,"$7,800.00",6300,Rent,Paid,E002
RFS-AP00048,RFS-CV008,CHATTANOOGA INDUSTRIAL PARK LLC,1485970,06/24/25,07/12/25,,6300,Rent,Paid,E002
RFS-AP00049,RFS-CV008,Chattanooga Industrial Park LLC,8650548,2025-07-17,2025-08-16,7800,6300,Rent,Paid ,E002
RFS-AP00050,RFS-CV008,Chattanooga Industrial Park LLC,2095874,08/29/2025,2025-09-23,7800,6300,Rent,Paid,E002
RFS-AP00051,,Chattanooga Industrial Park LLC,9508985,"Sep 11, 2025",11-Oct-2025,"$7,800.00",6300,Rent,Paid,E002
RFS-AP00017,RFS-CV002,CINTAS,7552874,2026-02-10,03/15/26,"$3,252.53",6700,Uniforms / Facility Services,Paid ,
RFS-AP00052,RFS-CV008,Chattanooga Industrial Park LLC,4991652,2025-10-30,"Nov 26, 2025","$7,800.00",6300,Rent,Paid,E002
RFS-AP00053,RFS-CV008,Chattanooga Industrial Park LLC,3472215,2025-11-22,12/30/25,7800,6300,Rent,Paid,E002
RFS-AP00054,RFS-CV008,Chattanooga Industrial Park LLC,4964968,"Dec 24, 2025","Jan 30, 2026",7800,6300,Rent,Paid,E002
RFS-AP00055,RFS-CV008,Chattanooga Industrial Park LLC,2301439,01/12/2026,2026-02-15,"$7,800.00",6300,Rent,Paid,E002
RFS-AP00056,RFS-CV008,Chattanooga Industrial Park LLC,4557940,02/24/26,2026-03-29,"$7,800.00",6300,Rent,Paid,E002
RFS-AP00057,RFS-CV008,Chattanooga Industrial Park LLC,2562161,2026-03-29,2026-04-17,7800,6300 ,Rent,Open,E002
