DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE
"Apr 30, 2025",GUSTO PAYROLL,104357.35,,1124844.22
"May 11, 2025",ACH 11711 GRAINGER INDUSTRIAL SU,2457.06,,"$2,758,928.61"
2025-05-21,ACH 21050 GRAINGER INDUSTRIAL SU,14927.37,,"$2,744,001.24"
"May 25, 2025",Check DEPOSIT 856374,,9386.99,"$105,386.99"
05/31/25,Wire DEPOSIT 763723,,23435.3,"$128,822.29"
2025-05-31,GUSTO PAYROLL,105486.87,,1019357.35
2025-06-02,ACH EFT MSC INDUSTRIAL SUPPLY,18959.41,,2725041.83
2025-06-03,Wire DEPOSIT 999002,,23267.17,152089.46
06/05/2025,ACH DEPOSIT 289342,,13115.44,165204.9
07-Jun-2025,Check EFT MSC INDUSTRIAL SUPPLY,3305.85,,"$2,721,735.98"
2025-06-07,Check EFT MOTION INDUSTRIES,357.7,,2721378.28
2025-06-08,ACH DEPOSIT 864923,,23726.18,188931.08
2025-06-08,ACH DEPOSIT 206540,,13758.16,202689.24
2025-06-13,Card DEPOSIT 606316,,8521.91,211211.15
06/15/2025,Check DEPOSIT 671054,,7124.68,218335.83
2025-06-16,Wire DEPOSIT 848340,,9077.41,"$227,413.24"
06/17/25,Check DEPOSIT 491765,,27757.28,255170.52
17-Jun-2025,Check 20643 BRIGHTON-BEST INTERNAT,18979.39,,"$2,702,398.89"
06/18/25,Wire DEPOSIT 414994,,2524.76,257695.28
06/19/25,ACH DEPOSIT 295436,,1218.06,"$258,913.34"
2025-06-19,Check 18996 BRIGHTON-BEST INTERNAT,1555.65,,2700843.24
06/20/2025,Check DEPOSIT 420142,,24339.5,"$283,252.84"
2025-06-20,Wire DEPOSIT 388199,,10415.54,"$293,668.38"
06/21/25,Check DEPOSIT 816698,,8654.84,302323.22
2025-06-21,,,,2700609.44
23-Jun-2025,Check DEPOSIT 614012,,9648.74,311971.96
2025-06-24,ACH DEPOSIT 447931,,9328.09,"$321,300.05"
2025-06-25,Check DEPOSIT 788505 ,,812.32,"$322,112.37"
06/26/25,Card DEPOSIT 719172,,1055.38,323167.75
"Jun 28, 2025 ",ACH DEPOSIT 911337,,15.19,323182.94
2025-06-28,Wire DEPOSIT 589672 ,,6713.99,329896.93
2025-06-28,Card EFT ULINE,12138.79,,2688470.65
