PAY_PERIOD_END,EMPLOYEE_ID,DEPARTMENT,REGULAR_HOURS,OVERTIME_HOURS,GROSS_PAY,OVERTIME_PAY,FEDERAL_TAX,STATE_TAX,FICA,401K,HEALTH_DEDUCTION,NET_PAY
2025-04-30,E001,Executive,,0,7083.33,0,850.0,0.0,541.87,354.17,142.5,5194.79
2025-04-30,E003,Purchasing,,0,7166.67,0,860.0,0.0,548.25,358.33,142.5,5257.59
2025-04-30,E005,Sales,,0,,0,760.0,0.0,484.5,316.67,142.5,4629.66
2025-04-30,E006,Sales,,0,6875.0,0,825.0,0.0,525.94,412.5,410.0,4701.56
2025-04-30,E007,Sales,,0,6500.0,0,780.0,0.0,497.25,195.0,142.5,4885.25
2025-04-30,E008,Sales,,0,6791.67,0,815.0,0.0,519.56,203.75,0,5253.36
2025-04-30,E009,Sales,,0,5291.67,0,635.0,0.0,404.81,158.75,410.0,3683.11
2025-04-30,E010,Sales,,0,11250.0,0,1350.0,0.0,860.62,675.0,0,8364.38
2025-04-30,E011,Sales,,0,4666.67,0,560.0,0.0,357.0,140.0,285.0,3324.67
2025-04-30,E012,Warehouse,173.3,5.0,5926.53,253.12,711.18,0.0,453.38,0.0,410.0,4351.97
2025-04-30,E013,Warehouse,173.3,17.0,4460.5,548.25,535.26,0.0,341.23,267.63,0,3316.38
2025-04-30,E014,Warehouse,173.3,0,5365.37,0.0,643.84,0.0,410.45,268.27,0,4042.81
2025-04-30,E015,Warehouse,173.3,6.0,5423.43,267.75,650.81,0.0,414.89,271.17,0,4086.56
2025-04-30,E016,Warehouse,173.3,6.0,4242.14,191.25,509.06,0.0,324.52,212.11,410.0,2786.45
2025-04-30,E017,Warehouse,173.3,22.0,5779.02,932.25,693.48,0.0,442.1,288.95,410.0,3944.49
2025-10-31,E004,Sales,,0,13083.33,0,1570.0,0.0,1000.87,392.5,142.5,9977.46
2025-04-30,E018,Warehouse,173.3,22.0,6986.36,1072.5,838.36,0.0,534.46,419.18,142.5,5051.86
