DOCUMENT_ID,TYPE,REFERENCE,FILE_NAME,FOLDER,UPLOADED,UPLOADED_BY,SOURCE
DOC-00001,Purchase Order,8783,8783.pdf,Purchasing/2025/Grainger Ind,2025-04-01,E003,QB print
DOC-00002,PURCHASE ORDER,8547,8547.pdf,Purchasing/2026/Brighton-Bes,2026-02-21,E003,
DOC-00003,Purchase Order,8928,8928.pdf,Purchasing/2026/Grainger Ind,,E003,QB print
DOC-00004,Purchase Order,7266,7266.pdf,Purchasing/2026/Parker Hanni,2026-01-11,E003,QB print
DOC-00005,Purchase Order,7957,7957.pdf ,Purchasing/2025/Garlock Seal,2025-10-28,E003,QB print
DOC-00006,Purchase Order,5668,5668.pdf,Purchasing/2026/Alro Steel,2026-02-02,E003,QB print
DOC-00007,Purchase Order,5659,5659.pdf,Purchasing/2025/Parker Hanni,2025-11-06,E003,QB print
DOC-00008,Purchase Order,5112,5112.pdf,Purchasing/2025/Regal Rexnor,2025-08-17,E003,QB print
DOC-00009,Purchase Order,5458,5458.pdf,Purchasing/2026/Baldor-Relia,2026-03-11,E003,QB print
DOC-00116,Customer Invoice,27172,27172.pdf,AR/2025-09,2025-09-24,E002,QB print
DOC-00241,Supplier Contract,RFS-SC001,baldor-reliance_agreement_2025.pdf,Purchasing/Contracts,2025-01-01,E003,Scanned
DOC-00010,Purchase Order,8433,8433.pdf,Purchasing/2025/Brighton-Bes,2025-11-24,E003,QB print
DOC-00011,Purchase Order,5997,5997.pdf,Purchasing/2026/Baldor-Relia,2026-02-26,E003,QB print
DOC-00012,Purchase Order,6500,6500.pdf,Purchasing/2025/Alro Steel,2025-08-25,E003,QB PRINT
DOC-00013,Purchase Order,8406,8406.pdf,Purchasing/2026/Alro Steel,2026-03-24,E003,QB print
DOC-00014,Purchase Order,6202,6202.pdf,Purchasing/2025/Kaman Indust,2025-12-10,E003,QB PRINT
DOC-00015,Purchase Order,5300,5300.pdf,Purchasing/2025/Alro Steel,2025-07-19,E003,QB print
DOC-00016,Purchase Order,6454,6454.pdf,Purchasing/2026/Applied Indu,2026-01-30,E003,QB print
DOC-00017,Purchase Order,8816,8816.pdf,Purchasing/2025/Alro Steel,2025-08-21,E003,QB print
DOC-00018,Purchase Order,8712,8712.pdf,Purchasing/2026/McMaster-Car,2026-02-27,E003,QB print
DOC-00019,Purchase Order,8699,8699.pdf,Purchasing/2026/Ryerson,2026-02-22,E003,QB print
DOC-00020,Purchase Order,8926,8926.pdf,Purchasing/2026/Garlock Seal,2026-01-24,E003,QB print
DOC-00021,Purchase Order,8534,8534.pdf,Purchasing/2025/Sandvik Coro ,2025-11-13,E003,QB print
DOC-00022,Purchase Order,5233,5233.pdf,Purchasing/2025/MSC Industri,2025-11-08,E003,QB print
DOC-00023,Purchase Order,6267,6267.pdf,Purchasing/2025/Uline,2025-12-17 ,E003,QB print
DOC-00024,Purchase Order,7622,7622.pdf,Purchasing/2025/Garlock Seal,2025-10-15,E003,QB print
DOC-00025,Purchase Order,8744,8744.pdf,Purchasing/2025/Motion Indus,,E003,QB print
DOC-00026,Purchase Order,8271,8271.pdf,Purchasing/2025/Fastenal,2025-12-02,E003,QB print
DOC-00027,Purchase Order,7681,7681.pdf,Purchasing/2025/Brighton-Bes,2025-05-07,E003,QB print
DOC-00028,Purchase Order,5191,5191.pdf,Purchasing/2025/Apex Fastene,2025-07-11,E003,QB print
DOC-00029,Purchase Order,6172,6172.pdf,Purchasing/2025/Baldor-Relia,2025-04-03,E003,QB print
DOC-00030,Purchase Order,6637 ,6637.pdf,Purchasing/2025/Fastenal,2025-12-18,E003,QB print
DOC-00031,Purchase Order,5673,5673.pdf,Purchasing/2026/Regal Rexnor,2026-03-21,E003,QB print 
DOC-00032,Purchase Order,7717 ,7717.pdf,Purchasing/2025/Baldor-Relia,2025-11-13,E003,QB print
DOC-00033,Purchase Order,7729,7729.pdf,Purchasing/2025/Uline,2025-07-18,E003,QB print
DOC-00034,Purchase Order,5900,5900.pdf,Purchasing/2026/Regal Rexnor,2026-01-08,E003,QB PRINT
DOC-00035,Purchase Order,6090,6090.pdf ,Purchasing/2026/Kaman Indust,2026-02-08,E003,QB print
DOC-00036,Purchase Order,7981,7981.pdf ,PURCHASING/2026/MOTION INDUS,2026-01-14 ,E003,QB print
DOC-00037,Purchase Order,6424,6424.pdf,Purchasing/2026/Motion Indus,2026-03-09,,QB PRINT
DOC-00038,Purchase Order ,8668 ,8668.pdf,Purchasing/2026/Ryerson,2026-01-07,E003,QB print
DOC-00039,Purchase Order,7938,7938.pdf,Purchasing/2026/Parker Hanni,2026-03-21,E003,QB print
DOC-00040,Purchase Order,7593,7593.pdf,Purchasing/2025/Alro Steel,2025-10-17,E003,QB print
DOC-00041,Purchase Order,6854,6854.pdf,Purchasing/2025/Haas Automat,2025-06-22,E003,QB print
DOC-00042,Purchase Order,5815,5815.pdf,Purchasing/2026/Brighton-Bes,2026-01-19,E003,QB print
DOC-00043,Purchase Order,6679,6679.pdf,Purchasing/2026/Baldor-Relia,2026-01-28,E003,QB print
DOC-00044,Purchase Order,5210,5210.pdf,Purchasing/2025/Sandvik Coro,2025-05-07,E003,QB print
DOC-00045,Purchase Order,6081,6081.pdf,Purchasing/2025/McMaster-Car,2025-10-03,E003,QB print
DOC-00046,Purchase Order ,7227,7227.pdf ,Purchasing/2026/Baldor-Relia,2026-03-15,E003,QB print 
DOC-00047,Purchase Order,5257,5257.pdf,Purchasing/2026/Baldor-Relia,2026-03-21,E003,QB print
DOC-00048,Purchase Order ,8125,8125.pdf,Purchasing/2025/Grainger Ind,2025-11-17,E003,QB print
DOC-00049,Purchase Order,7005,7005.pdf,Purchasing/2025/Grainger Ind,2025-05-12,E003,QB print
DOC-00050,Purchase Order,8380,8380.pdf,Purchasing/2025/Parker Hanni,2025-04-17,E003,QB print
DOC-00051,PURCHASE ORDER,7009,7009.pdf,,2026-01-18,,QB print
DOC-00052,Purchase Order,5862,5862.pdf,Purchasing/2025/Parker Hanni,2025-10-18,E003,QB print
DOC-00053,PURCHASE ORDER,5441,5441.pdf,Purchasing/2026/Apex Fastene,2026-03-29,E003,QB print
DOC-00054,Purchase Order ,8302,8302.pdf,Purchasing/2025/Fastenal,2025-12-17,E003,QB print
DOC-00055,Purchase Order,8847,8847.pdf,Purchasing/2025/McMaster-Car,2025-08-12,E003,QB print
DOC-00056,Purchase Order,8980,8980.pdf,Purchasing/2025/MSC Industri,2025-05-14,E003,QB print
DOC-00057,Purchase Order,8057,8057.pdf,Purchasing/2025/Parker Hanni,2025-12-25,E003,QB print
DOC-00058,Purchase Order,8203,8203.pdf,Purchasing/2025/Parker Hanni,2025-10-02,E003,QB print
DOC-00059,Purchase Order,6571,6571.pdf,Purchasing/2025/Haas Automat,2025-05-19,E003,QB print
DOC-00060,Purchase Order,6309,6309.pdf,Purchasing/2025/Kaman Indust,2025-12-15,E003,QB print
DOC-00061 ,Customer Invoice,25881,25881.pdf,AR/2025-10,2025-10-14,E002,QB print
DOC-00062,Customer Invoice,25101,25101.pdf,AR/2025-06,2025-06-24,,QB print
DOC-00063,Customer Invoice,27556,27556.pdf,AR/2025-06,2025-06-22,E002,QB print
DOC-00064,Customer Invoice,29444,29444.pdf ,AR/2026-02,2026-02-19,E002 ,QB print
DOC-00065,Customer Invoice,28678,28678.pdf,AR/2025-07,2025-07-25 ,E002,QB print
DOC-00066,Customer Invoice,23086,23086.pdf,AR/2025-09,2025-09-29,E002,QB print
DOC-00067,Customer Invoice,28952,28952.PDF,AR/2025-05,2025-05-25,E002,QB print
DOC-00241,Supplier Contract,RFS-SC001,baldor-reliance_agreement_2025.pdf,Purchasing/Contracts,2025-01-01,E003,Scanned
DOC-00068,Customer Invoice,29845,29845.pdf,AR/2025-07,2025-07-02,E002,QB print
DOC-00069,Customer Invoice,26126,26126.pdf,AR/2026-03,2026-03-06,E002,QB print
DOC-00070,,20760,20760.pdf,AR/2025-11,2025-11-18,E002,QB print
DOC-00071,Customer Invoice,22865,22865.PDF,AR/2025-11,2025-11-21,E002,QB print
DOC-00072,Customer Invoice,29700,29700.pdf,AR/2025-10,2025-10-31,E002,QB print
DOC-00073,Customer Invoice,29342,29342.pdf,AR/2025-09,2025-09-13,E002,QB print
DOC-00074,Customer Invoice,27319,27319.pdf,AR/2025-10,2025-10-06,E002,QB print
DOC-00075,Customer Invoice,28893,28893.pdf,AR/2025-08,2025-08-17,E002,QB print
