ENDORSEMENT_REQUES,POLICY_ID,CLIENT_ID,REQUEST_TYPE,REQUESTED_VALUE,EFFECTIVE_DATE,REQUESTED_BY,CARRIER_CODE,SUBMITTED_TO_CARRI,STATUS,CARRIER_ENDORSEMEN,PREMIUM_CHANGE,RECEIVED_DATE,CHECKED_AGAINST_RE,HANDLED_BY
CAS-END0010,CAS-P00031,CAS-C0012,Add Mortgagee,New hire: see attached MVR,2025-08-16,Client,NAT,2025-08-12,Pending Carrier,,0,,,E006
CAS-END0001,CAS-P00039,CAS-C0014,Increase Limits,Loc 3: 1800 Enterprise Ct,11/25/2025,,TRV,,Issued - Discrepancy,END-648651,1591,"Dec 12, 2025",N - carrier issued wrong VIN,E006
CAS-END0002,CAS-P00006,CAS-C0003,Add Location,Blanket WOS CG 24 04,25-Nov-2025,Lender,NAT,2025-11-23,Requested,,"$1,857.00",,,E005
CAS-END0003,CAS-P00030,CAS-C0011,Change Named Insured,PO Box 4410,08/31/2025,Client,,2025-08-31,,END-739818,0,2025-09-06,Y,E004
CAS-END0004,CAS-P00058,CAS-C0021,Add Mortgagee,First National Bank ISAOA,01/11/26,Carrier audit,NAT,01/04/2026,Issued - Discrepancy,END-116796,0,01/14/26 ,N - carrier issued wrong VIN,E007
CAS-END0005,CAS-P00021,CAS-C0009,Add Location,"Audited payroll +$412,000 class 5190",2025-10-05 ,Certificate holder,ERI ,10/03/25,Issued,END-547286,9297,2025-10-14,Y,E005
CAS-END0006,CAS-P00050,CAS-C0017,Change Named Insured,PO Box 4410,"Aug 10, 2025",Carrier audit ,TRV,2025-08-09,Issued ,END-681423,0,2025-09-02,Y,E006
CAS-END0007,CAS-P00045 ,CAS-C0016,Add Mortgagee,Loc 3: 1800 Enterprise Ct,2025-10-06,Certificate holder,TRV,2025-09-29,Issued,END-774490,0,"OCT 29, 2025",Y,E005
CAS-END0008,CAS-P00058,CAS-C0021,Add Location,,"Jul 07, 2025",Certificate holder,NAT,2025-07-05,Issued,END-410936,4979,2025-07-23,Y,E007
CAS-END0009,CAS-P00024,CAS-C0010,Change Mailing Address,Turner Construction Company - CG 20 10,2025-11-11,Client,NAT,"Nov 03, 2025",Issued ,END-515347,$0.00,27-Nov-2025,Y,E006
CAS-END0010,CAS-P00031,CAS-C0012,Add Mortgagee,New hire: see attached MVR,2025-08-16,Client,NAT,2025-08-12,Pending Carrier,,0,,,E006
CAS-END0011,CAS-P00028,CAS-C0011,Add Driver,"Audited payroll +$412,000 class 5190",2025-11-11,Client,TRV,11/05/25,Requested,,0,,,E004
CAS-END0012,CAS-P00018,CAS-C0007,Add Additional Insured,2024 Ford Transit 250 VIN 1FTBR1C8XRKA55210,2026-04-01,Certificate holder,LIB,03/30/26,Issued,END-993136,0,04/27/2026,Y,E006
