INVOICE_ID,CLIENT_ID,POLICY_ID,POLICY_NUMBER,CARRIER_CODE,INVOICE_DATE,DUE_DATE,TRANSACTION_TYPE,BASE_PREM,AGENCY_FEE,SURPLUS_LINES_TAX,PREMIUM,PAYMENT_PLAN,AMOUNT_PAID,BALANCE,STATUS,PREMIUM_FINANCE,PREMIUM_FINANCE_CO,CANCELLATION_NOTIC
CAS-INV00001,CAS-C0002,CAS-P00002,LIB-GL-2828024,LIB,2026-01-22,02/22/26 ,Renewal,19542,150,0,19692,QUARTERLY,9846.0,9846.0,Partial,N,,
CAS-INV00002,CAS-C0002,CAS-P00005,LIB-UMB-2531327,LIB,"Mar 13, 2025",2025-05-01,,13142,250,0,13392,Full Pay,13392.0,0.0,Paid,N,,
CAS-INV00003,CAS-C0003,CAS-P00007,HIG-GL-3929511,HIG,2025-11-20,12-Dec-2025,Renewal,31300,500,0,31800,Full Pay,31800.0,$0.00,Paid,N,,
CAS-INV00004,CAS-C0004,CAS-P00011,HIG-GL-2054605,HIG,"Oct 26, 2025",11/15/2025,Renewal,33078,250,0,"$33,328.00",Quarterly,33328.0,0.0,Paid,N,,
CAS-INV00005,CAS-C0004,CAS-P00013,LIB-UMB-9341572,LIB,10/03/2025,"Oct 31, 2025",RENEWAL,16756,150,0,16906,Quarterly,"$16,906.00",$0.00,Paid,N,,
CAS-INV00006,CAS-C0005 ,CAS-P00014,TRV-GL-4373227 ,TRV,12-Jan-2026,27-Jan-2026,New Business,"$53,686.00",0,0,53686,Full Pay,53686,0.0,Paid,Y,AFCO,
CAS-INV00007,CAS-C0007,CAS-P00018,LIB-GL-9162842,LIB,2025-12-09,2026-01-10,New Business,"$24,900.00",0,0,"$24,900.00",Full Pay,6225.0,"$18,675.00",Past Due >60,N,,
CAS-INV00008,CAS-C0009 ,CAS-P00020,NAT-GL-6083262,NAT,2025-12-04,2025-12-29,New Business,19820,0,0,"$19,820.00",Quarterly,19820.0,0.0,Paid,N,,
CAS-INV00009,CAS-C0010,CAS-P00024,NAT-PROP-9767618,NAT,2025-09-09,09/21/25,Renewal,"$13,440.00",0,0,13440,25% Down + 9,13440.0,0.0,Paid ,N,,
CAS-INV00010,CAS-C0010,CAS-P00025,ERI-GL-1961193,ERI,2025-07-02,13-Aug-2025,New Business,35885,500,0,36385,Quarterly,9096.25,27288.75,Past Due >60,N,,Carrier NOC issued - cancel eff 2026-04-09
CAS-INV00011,CAS-C0010,CAS-P00027,LIB-UMB-7090685,LIB,2026-01-16,02/05/26,New Business,7172,0,0,7172,Full Pay,"$1,793.00",5379.0,Partial,N,,
CAS-INV00012,CAS-C0011,CAS-P00030,TRV-UMB-8185540,TRV,2025-08-20,2025-10-02,Renewal,"$6,779.00",250,0,7029,Full Pay,"$7,029.00",0.0,Paid,N,,
CAS-INV00013,CAS-C0012,CAS-P00031,NAT-PROP-3778921,NAT,2025-10-09,2025-11-16,RENEWAL,"$11,135.00",250,0,"$11,385.00",FULL PAY,"$11,385.00",$0.00,Paid,N,,
CAS-INV00014,CAS-C0012,CAS-P00032,LIB-GL-4174606,LIB,14-Nov-2025,2025-12-21,Renewal,"$13,259.00",500,0,13759,Full Pay,"$13,759.00",$0.00,Paid,N,,
CAS-INV00015,CAS-C0014,CAS-P00035,HIG-PROP-7997425,HIG,"Aug 20, 2025",2025-09-10,Renewal,21878,250,0,22128,Full Pay,22128.0,0.0,Paid,N,,
CAS-INV00016,CAS-C0014,CAS-P00036,NAT-GL-3383546,NAT,24-Feb-2026,2026-03-01,Renewal,20500,500,0,21000,Full Pay,21000.0,$0.00,Paid,N,,
CAS-INV00017 ,CAS-C0014,CAS-P00039,TRV-UMB-8608009,TRV,"Jan 14, 2026",2026-02-26,Renewal,"$5,241.00",150,0,"$5,391.00 ",25% Down + 9,,0.0,Paid,N,,
CAS-INV00018,CAS-C0015,CAS-P00040,TRV-GL-1119985,TRV,2025-05-05,08-Jun-2025,New Business,20700,500,0,21200,Quarterly,21200.0,$0.00,Paid ,N,,
CAS-INV00019,CAS-C0015,CAS-P00043,TRV-UMB-2068601,TRV,2026-03-17,04/25/2026,Renewal,28362,0,0,28362,Full Pay,$0.00,28362,OPEN,N,,
CAS-INV00020,CAS-C0016,CAS-P00045,TRV-PROP-1594768,TRV,02-Sep-2025,2025-10-03,New Business,65341,250,0,65591,Full Pay,65591.0,$0.00,Paid ,N,,
CAS-INV00021,CAS-C0017,,ERI-GL-5273326,ERI,2025-11-27 ,12/26/2025,Renewal,"$31,622.00",500,0,32122,25% Down + 9,"$32,122.00",$0.00,Paid,N,,
CAS-INV00022,CAS-C0017,CAS-P00048,TRV-PROP-8017567,,2025-04-07,2025-05-18 ,New Business,26941,250,0,27191,Quarterly,27191.0,$0.00,Paid,N,,
CAS-INV00023,CAS-C0018,CAS-P00051,,HIG,2025-05-04,2025-05-31,New Business,58737,250,0,58987,Quarterly,58987.0,$0.00,Paid,N,,
CAS-INV00020,CAS-C0016,CAS-P00045,TRV-PROP-1594768,TRV,02-Sep-2025,2025-10-03,New Business,65341,250,0,65591,Full Pay,65591.0,$0.00,Paid ,N,,
CAS-INV00024,CAS-C0019,CAS-P00052,NAT-PROP-5671880,NAT,"Feb 22, 2026",23-Mar-2026,Renewal,85237,250,0,"$85,487.00",25% Down + 9,85487,0.0,Paid,Y,First Insurance Funding,
CAS-INV00025,CAS-C0021,CAS-P00057,NAT-GL-5884820,NAT,2026-02-12,03/06/26,Renewal,"$5,826.00",0,0,"$5,826.00",Quarterly,5826.0,0.0,Paid,N,,
CAS-INV00026,CAS-C0021,CAS-P00058,NAT-PROP-1809479,NAT,2025-07-19,2025-08-07,New Business,13757,0,0,13757,Full Pay,13757.0,$0.00,Paid,N,,
CAS-INV00027,CAS-C0023,CAS-P00064,NAT-GL-4458082,NAT,2026-01-05,02/10/26,New Business,13201,150,0,13351,Quarterly,6675.5,6675.5,Partial,N,,
CAS-INV00028,CAS-C0023,CAS-P00066,TRV-UMB-2476169,TRV,09/27/25,"Oct 26, 2025",New Business,"$20,954.00",0,0,"$20,954.00",QUARTERLY,0.0,20954.0,Past Due >60,N,,
