PAYMENT_ID,CLIENT_ID,INVOICE_ID,PAYMENT_DATE,AMOUNT,METHOD,PAYER,REFERENCE,APPLIED,DEPOSITED_TO
CAS-PMT00001,CAS-C0002,CAS-INV00001,2026-03-17,9846.0,Check,Blue Ridge Electric LLC,CHK 28448,Y,Premium Trust Account
CAS-PMT00002,CAS-C0002,CAS-INV00002,,13392.0,ACH,Blue Ridge Electric LLC,ACH327809765,Y,Premium Trust Account
CAS-PMT00003,CAS-C0003,CAS-INV00003,12/16/2025,31800.0,Wire,Granite Supply Corp.,ACH956867949,Y,Premium Trust Account
CAS-PMT00012,CAS-C0011,CAS-INV00012,2025-10-16,"$7,029.00",ACH,Coastal Transport Corp.,ACH907245248,Y,Premium Trust Account
CAS-PMT00004,CAS-C0004,CAS-INV00004,2025-11-24,33328.0,Credit Card,Lackawanna Hauling LLC,CHK 55886,Y,Premium Trust Account
CAS-PMT00005,CAS-C0004,CAS-INV00005,2025-11-06,"$16,906.00",ACH,Lackawanna Hauling LLC,CHK 16161,Y,Premium Trust Account
CAS-PMT00006,CAS-C0005,CAS-INV00006,02/05/2026,"$53,686.00",ACH,AFCO,,Y,Premium Trust Account
CAS-PMT00007,CAS-C0007,CAS-INV00007,01/24/2026,6225.0,Credit Card,Metro Software LLC,CHK 66129,Y,Premium Trust Account
CAS-PMT00008,CAS-C0009,CAS-INV00008,2026-01-10,19820.0,ACH,Beacon Marine LLC,ACH327149648,Y,Premium Trust Account
CAS-PMT00009,CAS-C0010,CAS-INV00009,2025-09-16,13440.0,ACH,Valley Hotels LP,ACH420345177,Y,Premium Trust Account
CAS-PMT00010,CAS-C0010,CAS-INV00010,08/13/2025,"$9,096.25",Check,VALLEY HOTELS LP,ACH553917469,Y,Premium Trust Account
CAS-PMT00011,CAS-C0010,CAS-INV00011,"Jan 28, 2026","$1,793.00",ACH,Valley Hotels LP,,Y ,Premium Trust Account
CAS-PMT00012,CAS-C0011,CAS-INV00012,2025-10-16,"$7,029.00",ACH,Coastal Transport Corp.,ACH907245248,Y,Premium Trust Account
CAS-PMT00013,CAS-C0012,CAS-INV00013,11/17/25,"$11,385.00",ACH,Evergreen Supply Co.,ACH552329923,Y,
CAS-PMT00014,CAS-C0012,CAS-INV00014,2025-12-13,"$13,759.00",ACH,EVERGREEN SUPPLY CO.,CHK 63124,Y,Premium Trust Account
CAS-PMT00015,CAS-C0014,CAS-INV00015,2025-09-21,22128.0,Wire,Northgate Manufacturing Inc.,CHK 53809,Y,Premium Trust Account
CAS-PMT00016,CAS-C0014,CAS-INV00016,"Mar 15, 2026",21000.0,Credit Card,Northgate Manufacturing Inc. ,CHK 51116,Y,Premium Trust Account
CAS-PMT00017,CAS-C0014,CAS-INV00017,2026-02-27,"$5,391.00",Credit Card,NORTHGATE MANUFACTURING INC.,CHK 94187,Y,PREMIUM TRUST ACCOUNT
CAS-PMT00018,CAS-C0015,CAS-INV00018,06/17/25,"$21,200.00",Wire,Heritage Electric Inc.,ACH305101742,Y,Premium Trust Account
CAS-PMT00019,CAS-C0016,CAS-INV00020,06-Oct-2025 ,65591.0,ACH,Pioneer Automotive Co.,ACH311330391,Y,Premium Trust Account
CAS-PMT00020,CAS-C0017,,2025-12-27,"$32,122.00",,Northgate Marine LLC,ACH387839683,Y,Premium Trust Account
CAS-PMT00021,CAS-C0017,CAS-INV00022,2025-05-08,27191.0,Wire,Northgate Marine LLC,CHK 83882,Y,Premium Trust Account
CAS-PMT00022,CAS-C0018,CAS-INV00023 ,2025-06-08,58987.0,ACH,Keystone State Community Services LLC,CHK 15421,Y,Premium Trust Account
CAS-PMT00023 ,CAS-C0019,,03/30/2026,85487,ACH,First Insurance Funding,PF332315 ,Y,Premium Trust Account
CAS-PMT00024,CAS-C0021,CAS-INV00025,26-Mar-2026,"$5,826.00",Credit Card,Liberty Medical Group LP,CHK 90742,Y,Premium Trust Account
CAS-PMT00025,CAS-C0021,CAS-INV00026,2025-07-28,13757.0,Check,Liberty Medical Group LP,ACH727474168,Y,Premium Trust Account
CAS-PMT00026,,CAS-INV00027,2026-02-17,"$6,675.50 ",ACH,LH Express,ACH551792529,Y,Premium Trust Account
CAS-PMT00027,CAS-C0018,,01/20/2026,"$4,863.00",Check,Keystone State Community Services LLC,CHK 51314,"N - unapplied, no invoice reference",Premium Trust Account
