STATEMENT_ID,CARRIER_CODE,STATEMENT_DATE,LINE_NUMBER,POLICY_NUMBER,INSURED_NAME,TRANSACTION_TYPE,EFFECTIVE_DATE,GROSS_PREMIUM,COMMISSION_PCT,COMMISSION_AMOUNT,NET_PREMIUM_DUE_CA,MATCHED_TO_POLICY_,MATCH_STATUS
TRV-STMT-202510,TRV,2025-10-31,,TRV-UMB-2476169,LH Express,NB,2025-10-19,"$20,954.00",$12.00,2514.48,18439.52,CAS-P00066,Matched
TRV-STMT-202601,TRV,2026-01-31,1,TRV-GL-4373227,Keystone State Associates Co.,NB,01/22/26,53686,$12.00,6442.32,47243.68,CAS-P00014,Matched
TRV-STMT-202602,TRV,2026-02-28,1,TRV-UMB-8608009,Northgate Manufacturing Inc.,RN,2026-02-07,5241,$12.00,628.92,"$4,612.08",CAS-P00039,Matched
TRV-STMT-202603,TRV,03/31/2026,1,TRV-UMB-2068601,Heritage Electric Inc.,RN,29-MAR-2026,28362,12.0,3403.44,"$24,958.56",CAS-P00043,Matched
HIG-STMT-202511,HIG,2025-11-30,1,HIG-GL-3929511,Granite Supply Corp.,RN ,2025-11-30,31300,12.5,"$3,912.50","$27,387.50",CAS-P00007,Matched
HIG-STMT-202511,HIG,2025-11-30,2,HIG-GL-2054605,Lackawanna Hauling LLC,RN,2025-11-07,33078,$12.50,"$4,134.75","$28,943.25",CAS-P00011,Matched
NAT-STMT-202601,NAT,"Jan 31, 2026",1,NAT-GL-4458082,LH Express,NB,16-Jan-2026,13201,$12.00,1584.12,11616.88,CAS-P00064,Matched
LIB-STMT-202510,LIB,2025-10-31,1,LIB-UMB-9341572,Lackawanna Hauling LLC,RN,2025-10-16,"$16,756.00",10.0,"$1,675.60","$15,080.40",CAS-P00013,Matched
LIB-STMT-202511,LIB,2025-11-30,1,LIB-GL-4174606,Evergreen Supply Co.,RN,2025-11-28,13259,10.0,1325.9,"$11,933.10",CAS-P00032,Matched
LIB-STMT-202512,LIB,31-DEC-2025,1,LIB-GL-9162842,Metro Software LLC,NB,26-Dec-2025,24900,10.0,2490.0,"$22,410.00 ",CAS-P00018,Matched
LIB-STMT-202602,LIB ,2026-02-28,1,LIB-GL-2828024,BLUE RIDGE ELECTRIC LLC,RN,02-Feb-2026,19542,10.0,"$1,954.20","$17,587.80",CAS-P00002,Matched
LIB-STMT-202602,LIB,28-Feb-2026,2,LIB-UMB-7090685,Valley Hotels LP,NB,02/01/26,7172,$10.00,717.2,6454.8,CAS-P00027,Matched
NAT-STMT-202510,,2025-10-31,1,NAT-PROP-3778921,Evergreen Supply Co.,RN,2025-10-29,"$11,135.00",$12.00,"$1,336.20","$9,798.80",CAS-P00031,Matched
NAT-STMT-202512,NAT,31-Dec-2025,1,NAT-GL-6083262,Beacon Marine LLC,NB,"Dec 18, 2025",19820,$12.00,"$2,378.40",17441.6,CAS-P00020,Matched
NAT-STMT-202601,NAT,"Jan 31, 2026",1,NAT-GL-4458082,LH Express,NB,16-Jan-2026,13201,$12.00,1584.12,11616.88,CAS-P00064,Matched
NAT-STMT-202603,NAT,2026-03-31,,NAT-GL-3383546,Northgate Manufacturing Inc.,RN,2026-03-01,20500,12.0,2460.0,"$18,040.00",CAS-P00036,
NAT-STMT-202603,NAT,2026-03-31,2,NAT-PROP-5671880,Beacon Marine Inc.,RN,2026-03-16 ,85237,$12.00,"$10,228.44","$75,008.56",CAS-P00052,Matched
NAT-STMT-202603,NAT,2026-03-31,3,NAT-GL-5884820,Liberty Medical Group LP,RN,2026-03-02 ,5826,12.0,699.12,5126.88,CAS-P00057,Matched
ERI-STMT-202512,ERI,12/31/2025,1,ERI-GL-5273326,Northgate Marine LLC,RN,2025-12-03,31622,13.0,4110.86,27511.14,CAS-P00047,Matched
