AP_INVOICE_ID,VENDOR_ID,VENDOR_NAME,INVOICE_NUMBER,INVOICE_DATE,DUE_DATE,AMOUNT,GL_ACCOUNT,APPROVED_BY,STATUS,PAID_DATE,PAYMENT_METHOD,CATEGORY
AP00001,V001,Iron Mtn,156286,2025-04-04,05/04/25,301,6700,Michael Wright,Paid,2025-05-18,Check,Records Storage / Shredding
AP00002,,,547543,27-APR-2025,2025-05-27,$626.00,6700,Joseph White,PAID,"Jun 07, 2025",ACH,Office Supplies
AP00003,V003,IRON MTN LANDSCAPING LLC,233015,03-Apr-2025,2025-05-03,820,6700,Richard Wilson,Paid,24-Apr-2025,Check,Landscaping
AP00004,V004,Landlord - Lackawanna Ave Realty,899252,2025-04-07,2025-05-07,17000,6300,,Paid,2025-05-22,ACH,Rent
AP00005,V005,PPL Electric,871130,04/04/25,05/04/2025,,6700,Matthew Hernandez,Paid,"May 11, 2025",ACH,Utilities 
AP00006,V006,Frontier,249058,04/06/25,2025-05-06,516,6700,Sandra Wright,Paid,2025-05-14,Corporate Card,Telecom / Internet
AP00007,V010,Shred-it,,2025-04-27,2025-05-27,91,6700,CARLOS JACKSON,Paid,05/20/2025,Check,Shredding
AP00008,V011,Aramark Refreshments,896051,2025-04-28,2025-05-28,142,6700,Aisha Davis,Paid,05/25/25,Corporate Card,Office
AP00009,V001,Iron Mtn,892176,12-May-2025,11-Jun-2025,438,6700,Michael Wright,Paid,2025-06-15,ACH,Records Storage / Shredding
AP00010,V002,Staples,942935,"May 09, 2025",2025-06-08,$158.00,6700 ,Andrew Lee,Paid,"Jun 15, 2025",ACH ,Office Supplies
AP00011,V004,Landlord - Lackawanna Ave Realty,641298,,2025-06-20,11000,6300,David Fitzgerald,Paid,,Check,Rent
AP00012,V005,PPL Electric,372639,2025-05-09,06/08/2025,"$1,006.00",6700,Daniel Martin,,09-Jun-2025,ACH,Utilities
AP00013,V006,Frontier,783551,23-May-2025,06/22/25,1610,6700,Daniel Martin,Paid,06/18/25,Check,Telecom / Internet
AP00014,V010,Shred-it,521249,05/17/25,06/16/2025,134,6700,David Walker,Paid,"Jun 25, 2025",Check,Shredding
AP00015,V011,Aramark Refreshments,992482,2025-05-23,2025-06-22,357,6700,Richard Wilson,Paid,2025-07-01,Corporate Card,Office
AP00016,V001,Iron Mtn,872832,2025-06-22,2025-07-22,485,6700,Joseph White ,Paid,"Jul 12, 2025",Corporate Card,Records Storage / Shredding
AP00017,V002,Staples,81714,"Jun 30, 2025",30-Jul-2025,309,6700,David Walker,Paid,30-Jul-2025,ACH,Office Supplies
AP00018,V004,Landlord - Lackawanna Ave Realty,620532,06/04/2025,2025-07-04,22000,6300,Andrew Lee,Paid,2025-07-16,Check,Rent
AP00019,V005,PPL ELECTRIC,514451,26-Jun-2025,07/26/2025,1195,6700,Emily Thompson,Paid,2025-07-17,ACH,Utilities
AP00020,V006,Frontier,964358,06/08/2025,08-Jul-2025,1219,6700,Daniel Martin,Paid,2025-06-29,Corporate Card,Telecom / Internet
AP00021,V010,Shred-it,819516,"Jun 08, 2025",2025-07-08,93,6700,Joseph White,Paid,01-Jul-2025,Check,Shredding
AP00022,V011,Aramark Refreshments,873298,24-Jun-2025,2025-07-24,$363.00,6700,Michael Wright,Paid,2025-08-04,Check,Office
AP00023,V001,Iron Mtn,85162,"Jul 10, 2025","Aug 09, 2025",450,6700 ,Sandra Wright,Paid,2025-08-11,ACH,RECORDS STORAGE / SHREDDING
AP00024,V002,Staples,144857,07/19/25,08/18/25,$311.00,6700,Joseph White,Paid,12-Aug-2025,Check,Office Supplies
AP00025,V004,Landlord - Lackawanna Ave Realty,67531,2025-07-14,13-Aug-2025,"$7,000.00",6300,David Fitzgerald,Paid,2025-08-03,Check,Rent
AP00026,V005,PPL Electric,876023,2025-07-29,2025-08-28 ,987,6700,Sandra Wright,Paid,08/27/25,ACH,Utilities
AP00027,V006,Frontier,279133,07/14/2025,"Aug 13, 2025",$728.00,6700,David Fitzgerald,Paid,08/03/2025,Corporate Card,Telecom / Internet
AP00028,,Westport Insurance Corp (Swiss Re),559552,2025-07-30,2025-08-29,2833.33,6650,Michael Wright,PAID,2025-09-01,ACH,E&O Insurance
AP00029,V010,Shred-it,290008,2025-07-18,17-Aug-2025,,6700,Daniel Martin,Paid,2025-08-07,Check,Shredding
AP00030,V011,Aramark Refreshments,57249,2025-07-29,2025-08-28,$208.00,6700,Sandra Wright,Paid,2025-08-23,Corporate Card,Office
AP00031,V001,Iron Mtn,940446,04-Aug-2025,2025-09-03,636,6700,Carlos Jackson,Paid,24-Aug-2025,Check,
AP00032,V002,Staples,366100,,2025-09-22,$379.00,6700,David Walker,Paid,2025-09-19,ACH,Office Supplies
AP00033,V003,Iron Mtn Landscaping LLC,96023,09-Aug-2025,2025-09-08 ,480,6700,Aisha Davis,Paid,2025-08-30,ACH,Landscaping
AP00034 ,V004,Landlord - Lackawanna Ave Realty,296965,10-Aug-2025,09/09/25,"$11,000.00",6300,David Fitzgerald,,2025-09-10,,Rent
AP00035 ,V005,PPL Electric,893102,2025-08-07,"Sep 06, 2025",$949.00,6700,Patricia O'Brien,Paid,09/02/25,Corporate Card,Utilities
AP00036,V006,Frontier,358266,2025-08-20,19-Sep-2025,1270,6700,Michael Wright,Paid,09/29/25,CHECK,
AP00037,V008,IIABPA,164341,2025-08-29,28-Sep-2025,"$1,678.00",6500,Andrew Lee,Paid,10/03/25,Check,Association Dues
,V010,Shred-it,889237,2025-08-26,2025-09-25,$82.00,6700,Sandra Wright,Paid,2025-09-29 ,Corporate Card,Shredding
AP00039,V011,Aramark Refreshments,871519,2025-08-23,09/22/25,131,6700,David Fitzgerald,Paid,2025-09-21,ACH,Office
AP00040,V001,Iron Mtn,189920,09/23/2025,2025-10-23,$385.00,,,Paid,2025-10-24,Corporate Card,Records Storage / Shredding
AP00041,V002,Staples,741572,09/13/25,2025-10-13,581,6700,Daniel Martin,Paid,04-Oct-2025,ACH,Office Supplies
AP00042,V003,Iron Mtn Landscaping LLC,527560,2025-09-24,2025-10-24,434,6700,Daniel Martin,Paid,10/15/2025,Check,Landscaping
AP00043,V004,Landlord - Lackawanna Ave Realty,324824,2025-09-29,2025-10-29,"$13,000.00",6300,Joseph White,Paid,2025-10-23,Corporate Card,Rent
AP00044,V005,PPL Electric,329156,09/11/2025,2025-10-11,2284,6700,Andrew Lee,PAID,04-Oct-2025,Corporate Card,Utilities
AP00045,V006,Frontier,156785,2025-09-16,10/16/25,$746.00,6700,David Walker,Paid,2025-10-22,Corporate Card,Telecom / Internet
AP00046,V010,Shred-it,685371,09/29/25,10/29/25,74,6700,Michael Wright,Paid,2025-10-20,ACH,Shredding
AP00047,V011,Aramark Refreshments,926111,2025-09-10,2025-10-10,349,6700,Carlos Jackson ,Paid,2025-10-20,,Office
AP00048,V001,Iron Mtn,155481,10/24/25,"Nov 23, 2025",526,6700,Andrew Lee,Paid,2025-12-01,Check,Records Storage / Shredding
AP00049 ,V002,Staples,216324,2025-10-06,"Nov 05, 2025",333,6700,Patricia O'Brien,Paid,2025-11-17,Corporate Card,Office Supplies
AP00050,V004,Landlord - Lackawanna Ave Realty,698779,10/07/2025,2025-11-06,16000,6300,,Paid,11/17/25,Check,Rent
AP00051,V005,PPL Electric,625237,"Oct 28, 2025",2025-11-27,1708,6700,Carlos Jackson,Paid,27-Nov-2025,ACH,Utilities
AP00052,V006,Frontier ,697203,10-Oct-2025,11/09/25,,6700,David Fitzgerald,Paid,2025-11-22,ACH,Telecom / Internet
AP00053,V008,IIABPA,222009,10/21/2025,2025-11-20,"$2,377.00",6500,Daniel Martin,Paid,2025-11-10,Check,Association Dues
AP00054,V010,Shred-it,189390,10/23/2025,2025-11-22,$107.00,6700,Aisha Davis,Paid,2025-11-27,Corporate Card,Shredding
AP00055,V011,Aramark Refreshments,686664,2025-10-26,2025-11-25,$241.00,6700,David Walker,PAID,2025-11-22,Corporate Card,Office
AP00056,V001,Iron Mtn,739803,2025-11-25,"Dec 25, 2025",$319.00,6700,David Fitzgerald,Paid,"Dec 17, 2025",Corporate Card,Records Storage / Shredding
AP00057,V002,Staples,15507 ,03-Nov-2025,12/03/2025,$635.00,6700,Richard Wilson,Paid,2025-12-15,CORPORATE CARD,Office Supplies
AP00058,V004,Landlord - Lackawanna Ave Realty,420993,2025-11-23,12/23/2025,"$22,000.00",6300 ,Aisha Davis,Paid,19-Dec-2025,ACH,Rent
AP00111,,Intuit,INV-6448201,2025-07-29,08/28/25,150.42,6400,Joseph White,Paid,09-Aug-2025,Corporate Card,Software Subscriptions
AP00059,V005,PPL Electric,616463,2025-11-19,2025-12-19,1856,6700,Michael Wright,Paid,2025-12-28,Corporate Card,Utilities
AP00060,V006,Frontier,109729,11/08/25,2025-12-08,969,6700,Joseph White,Paid,2025-12-15,ACH,Telecom / Internet
AP00061,V010,Shred-it,277088,2025-11-15,15-Dec-2025,$89.00,6700,Daniel Martin,Paid,12/05/25,ACH,Shredding
AP00135,,Zoom,INV-773702,2025-08-30,29-Sep-2025,1960.2,6400,Michael Wright,Paid,09/18/25,Corporate Card,Software Subscriptions
AP00062,V011,Aramark Refreshments,916045,11/17/25,12/17/2025,234,6700,Daniel Martin,Paid,"Dec 22, 2025",Check,Office
AP00063,V012,Local Print Shop,646888,11/19/25,2025-12-19,"$1,054.00",,Patricia O'Brien,Paid,2025-12-24,Corporate Card,Marketing
AP00064,V001,Iron Mtn,24327,"Dec 20, 2025",01/19/2026,647,6700,Carlos Jackson,Paid,01/28/26,Check,Records Storage / Shredding
AP00065,V002,Staples,382695,2025-12-11,01/10/26,$794.00,6700,Carlos Jackson,Paid,01/08/2026,Corporate Card,Office Supplies
