ACCOUNT,DATE,DESCRIPTION,AMOUNT,BALANCE
Premium Trust Acct x4471,2025-05-04,DEPOSIT ACH BLUE RIDGE ELECTRIC LL ACH327809765,"$13,392.00","$425,892.00"
Premium Trust Acct x4471,08-May-2025,DEPOSIT WIRE NORTHGATE MARINE LLC CHK 83882,27191.0,453083.0
Premium Trust Acct x4471,08-Jun-2025,DEPOSIT ACH KEYSTONE STATE COMMUNI CHK 15421,"$58,987.00","$512,070.00"
Premium Trust Acct x4471,06/17/2025,DEPOSIT WIRE HERITAGE ELECTRIC INC. ACH305101742,"$21,200.00","$533,270.00"
Premium Trust Acct x4471,01/24/2026,DEPOSIT CREDIT CARD METRO SOFTWARE LLC CHK 66129,6225.0,834519.25
Premium Trust Acct x4471,,DEPOSIT CHECK LIBERTY MEDICAL GROUP  ACH727474168,13757.0,"$547,027.00"
Premium Trust Acct x4471,2025-08-13,DEPOSIT CHECK VALLEY HOTELS LP ACH553917469,9096.25,"$556,123.25"
Premium Trust Acct x4471,2025-09-16,DEPOSIT ACH VALLEY HOTELS LP ACH420345177,"$13,440.00","$569,563.25"
Premium Trust Acct x4471,2025-09-21,DEPOSIT WIRE NORTHGATE MANUFACTURIN CHK 53809,22128.0,"$591,691.25"
Premium Trust Acct x4471,2025-10-06,DEPOSIT ACH PIONEER AUTOMOTIVE CO. ACH311330391,"$65,591.00",657282.25
Premium Trust Acct x4471,2025-10-16,DEPOSIT ACH COASTAL TRANSPORT CORP ACH907245248,7029.0,664311.25
Premium Trust Acct x4471,11/06/25,,16906.0,"$681,217.25"
Premium Trust Acct x4471,11/17/25,DEPOSIT ACH EVERGREEN SUPPLY CO. ACH552329923,11385.0,692602.25
Premium Trust Acct x4471,2025-11-24,DEPOSIT CREDIT CARD LACKAWANNA HAULING LLC CHK 55886,"$33,328.00","$725,930.25"
Premium Trust Acct x4471,11/24/25,ACH DEBIT TRV ACCT CURRENT TRV-STMT-202510,"$-18,439.52","$833,661.56"
Premium Trust Acct x4471,2025-12-02,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202510,"$-15,080.40","$925,301.46"
Premium Trust Acct x4471,2025-12-06,,"$-9,798.80","$881,159.56"
Premium Trust Acct x4471,2025-12-13,DEPOSIT ACH EVERGREEN SUPPLY CO. CHK 63124,13759.0,739689.25
Premium Trust Acct x4471,2025-12-16,DEPOSIT WIRE GRANITE SUPPLY CORP. ACH956867949,31800.0,"$771,489.25"
Premium Trust Acct x4471,2025-12-27,DEPOSIT CHECK NORTHGATE MARINE LLC ACH387839683,32122.0,803611.25
Premium Trust Acct x4471,01/02/26,ACH DEBIT HIG ACCT CURRENT HIG-STMT-202511,-56330.75,"$940,381.86"
Premium Trust Acct x4471,01/07/26,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202511,"$-11,933.10",
Premium Trust Acct x4471,2026-01-10,DEPOSIT ACH BEACON MARINE LLC ACH327149648,19820.0,823431.25
,"Jan 20, 2026",DEPOSIT CHECK KEYSTONE STATE COMMUNI CHK 51314,4863,"$828,294.25"
Premium Trust Acct x4471,2026-01-20,ACH DEBIT ERI ACCT CURRENT ERI-STMT-202512,-27511.14,996712.61
Premium Trust Acct x4471,01/24/2026,DEPOSIT CREDIT CARD METRO SOFTWARE LLC CHK 66129,6225.0,834519.25
Premium Trust Acct x4471,2026-01-28,DEPOSIT ACH VALLEY HOTELS LP ACH210917398,1793.0,836312.25
Premium Trust Acct x4471,02/05/26,DEPOSIT ACH AFCO PF782634,"$53,686.00",889998.25
Premium Trust Acct x4471,2026-02-06,ACH DEBIT NAT ACCT CURRENT NAT-STMT-202512,"$-17,441.60","$863,717.96"
Premium Trust Acct x4471,02/07/26,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202512,-22410.0,"$890,958.36"
Premium Trust Acct x4471,"FEB 17, 2026",DEPOSIT ACH LH EXPRESS ACH551792529,6675.5,"$896,673.75"
Premium Trust Acct x4471,25-Feb-2026,ACH DEBIT NAT ACCT CURRENT NAT-STMT-202601,"$-11,616.88",852101.08
Premium Trust Acct x4471,2026-02-27,DEPOSIT CREDIT CARD NORTHGATE MANUFACTURIN CHK 94187,"$5,391.00","$902,064.75"
Premium Trust Acct x4471,2026-03-06,ACH DEBIT TRV ACCT CURRENT TRV-STMT-202601,-47243.68,"$786,417.88"
Premium Trust Acct x4471,03/15/2026,DEPOSIT CREDIT CARD NORTHGATE MANUFACTURIN CHK 51116,21000.0,923064.75
Premium Trust Acct x4471,2026-03-17,DEPOSIT CHECK BLUE RIDGE ELECTRIC LL CHK 28448,9846.0,"$932,910.75"
Premium Trust Acct x4471,2026-03-26,DEPOSIT CREDIT CARD LIBERTY MEDICAL GROUP  CHK 90742,"$5,826.00","$938,736.75"
Premium Trust Acct x4471,2026-03-30,DEPOSIT ACH FIRST INSURANCE FUNDIN PF332315,85487,1024223.75
