DOCUMENT_ID,CLIENT_ID,POLICY_ID,DOCUMENT_TYPE,FILE_NAME,RECEIVED_DATE,SOURCE,INDEXED_BY,PAGES
DOC-CAS-P00001-POL,CAS-C0001,CAS-P00001,Policy,GRD-BOP-1098980_Policy.pdf,2025-06-26,Carrier download,E006,70
DOC-CAS-P00002-POL,CAS-C0002,CAS-P00002,Policy,LIB-GL-2828024_Policy.pdf,2026-03-07,Email attachment,E007,88
DOC-CAS-P00003-POL,CAS-C0002,,Policy,ERI-WC-8524964_Policy.pdf,2026-04-01 ,Email attachment,E007,121
DOC-CAS-P00003-APP,CAS-C0002,CAS-P00003,ACORD 125 Application,CAS-C0002_ACORD125_2026.pdf,01/15/2026,Email attachment,E007,11
DOC-CAS-P00004-POL,CAS-C0002,CAS-P00004,,TRV-AUTO-7613686_Policy.pdf,2025-06-17,Carrier download,E007,134
DOC-CAS-P00004-APP,CAS-C0002,CAS-P00004,ACORD 125 Application,CAS-C0002_ACORD125_2025.pdf,2025-03-15,Email attachment,E007,6
DOC-CAS-P00005-POL,CAS-C0002,CAS-P00005,Policy,LIB-UMB-2531327_Policy.pdf,2025-05-30,Carrier download,E007,99
DOC-CAS-P00006-POL,CAS-C0003,CAS-P00006,Policy,NAT-PROP-3828654_Policy.pdf,2025-10-29,Email attachment,E005,101
DOC-CAS-P00006-APP,CAS-C0003,CAS-P00006,ACORD 125 Application,CAS-C0003_ACORD125_2025.pdf,08/05/2025,Email attachment,E005,7
DOC-CAS-P00007-POL,CAS-C0003,CAS-P00007,Policy,HIG-GL-3929511_Policy.pdf,19-Dec-2025,Email attachment,E005,103
DOC-CAS-P00008-POL,CAS-C0003,CAS-P00008,Policy,PRG-AUTO-3483949_Policy.pdf,2025-11-30,Email attachment,E005,26
DOC-CAS-P00008-APP,CAS-C0003,CAS-P00008,ACORD 125 Application,CAS-C0003_ACORD125_2025.pdf,2025-07-26,Email attachment,E005,7
,CAS-C0003,CAS-P00009,Policy ,NAT-WC-9827006_Policy.pdf,"Jun 09, 2025",Email attachment,E005,59
DOC-CAS-P00010-POL,CAS-C0004,CAS-P00010,Policy,TRV-AUTO-7698813_Policy.pdf,29-Aug-2025,Carrier download,E006,85
DOC-CAS-P00010-APP,CAS-C0004,CAS-P00010,ACORD 125 Application,,06/25/25,Email attachment,E006,9
DOC-CAS-P00011-POL,CAS-C0004,CAS-P00011,Policy,HIG-GL-2054605_Policy.pdf,2025-12-16,Carrier download,E006,62
DOC-CAS-P00011-APP,CAS-C0004,CAS-P00011,ACORD 125 Application,CAS-C0004_ACORD125_2025.pdf,2025-08-30,Email attachment,E006,12
