Location Id,Client Id,Location Number,Street,City,State,Zip,Occupancy,Construction,Year Built,Square Feet,Sprinklered,Building Value,Contents Value,Business Income Value
HAR-C0001-L1,HAR-C0001,1,5033 Main St,Orlando,FL,32816,Retail,Frame,1990,86351,Y,450000,775000,100000
HAR-C0001-L2,HAR-C0001,2,6400 Oak Ave,Orlando ,FL,32871,Retail,Joisted Masonry,1961,24088,Y,2600000,375000,1300000
HAR-C0002-L1,HAR-C0002,1,1950 Main St,Orlando,FL,32862,Retail,Joisted Masonry,2004,42831,Y,0,25000,350000
HAR-C0002-L2,HAR-C0002,2,6760 Washington St,Jacksonville,FL,32294,Office,Frame,1983,34611,Y,0,475000,100000
HAR-C0003-L1,HAR-C0003,1,6176 Lincoln Ave,Jacksonville,FL,32227,Warehouse,Frame,2017,32788,N,0,525000,850000
HAR-C0004-L1,HAR-C0004,1,8161 Market St,Orlando,FL,32886,Office,Masonry Non-Combustible,1957,33300,N,0,350000,1300000
HAR-C0005-L1,HAR-C0005,1,4731 Maple Dr,Tampa,FL,33618,Warehouse,Joisted Masonry,2014,91113,Y,0,950000,1500000
HAR-C0005-L2,HAR-C0005,2,5428 Mill St,Jacksonville,FL,32286,Yard/Storage,Fire Resistive,1968,73349,Y,0,875000,1250000
HAR-C0006-L1,HAR-C0006,1,6788 Elm St,Tampa,FL,33646,Retail,Masonry Non-Combustible,1984,82432,Y,0,25000,450000
HAR-C0007-L1,HAR-C0007,1,8043 Park Pl,Jacksonville,FL,32246,Manufacturing,Masonry Non-Combustible,1970,48094,Y,3250000,200000,750000
HAR-C0007-L2,HAR-C0007,2,654 Mill St,Tampa,FL,33646,Manufacturing,Frame,1975,46409,Y,5200000,200000,400000
HAR-C0007-L3,HAR-C0007,3,1122 Harbor Dr,Jacksonville,FL,32284,Retail,Joisted Masonry,1967,30868,N,4600000,575000,1300000
HAR-C0008-L1,HAR-C0008,1,6097 Airport Rd,Orlando,FL,32884,Mixed Use,Joisted Masonry,2017,4672,Y,3850000,575000,1100000
HAR-C0008-L2,HAR-C0008,2,5373 Technology Way,Orlando,FL,32840,Yard/Storage,Frame,1965,99584,N,850000,1000000,1450000
HAR-C0008-L3,HAR-C0008,3,953 Elm St,Tampa,FL,33695,Retail,Frame,1954,109442,N,3400000,450000,200000
HAR-C0008-L4,HAR-C0008,4,7741 River Rd,Jacksonville,FL,32288,Mixed Use,Masonry Non-Combustible,2012,5965,N,3650000,450000,500000
HAR-C0009-L1,HAR-C0009,1,7561 Market St,Jacksonville,FL,32296,Retail,Joisted Masonry,1976,87277,Y,5050000,425000,750000
HAR-C0010-L1,HAR-C0010,1,1532 Lincoln Ave,Orlando,FL,32819,Office,Non-Combustible,1960,37155,N,0,700000,1200000
HAR-C0010-L2,HAR-C0010,2,168 Harbor Dr ,Tampa,FL,33655,Warehouse,Frame,1990,103631,Y,0,975000,150000
HAR-C0010-L3,HAR-C0010,3,7534 Mill St,Tampa,FL,33633,Yard/Storage,Frame,2013,13456,Y,0,150000,650000
HAR-C0011-L1,HAR-C0011,1,5667 Union St,Orlando,FL,32849,Mixed Use,Non-Combustible,1985,10042,N ,0,925000,600000
HAR-C0012-L1,HAR-C0012,1,6675 Union St,Tampa,FL,33670,Mixed Use,Frame,1971,78714,Y,0,200000,750000
HAR-C0013-L1,HAR-C0013,1,3554 Technology Way,Tampa,FL,33696 ,Office,Fire Resistive,1982,97879,N,750000,525000,700000
HAR-C0013-L2,HAR-C0013,2,8050 Union St,Tampa,FL,33610,Office,Fire Resistive,2008,114249,Y,3150000,475000,150000
HAR-C0014-L1,HAR-C0014,1,244 Elm St,Orlando,FL,32827,Manufacturing,Non-Combustible,1991,72687,Y,1750000,775000,550000
HAR-C0014-L2,HAR-C0014,2,6374 Oak Ave,Jacksonville,FL ,32294,Office,Frame,1988,114996,Y,5750000,100000,800000
HAR-C0014-L3,HAR-C0014,3,1433 Market St,Jacksonville,FL,32224,Yard/Storage,Fire Resistive ,1958,29128,Y,950000,625000,350000
HAR-C0014-L4,HAR-C0014,4,7463 Market St,Jacksonville,FL,32264,Retail,Masonry Non-Combustible,2021,18817,N,350000,350000,950000
HAR-C0015-L1,HAR-C0015,1,2981 Industrial Pkwy,Tampa,FL,33618,Yard/Storage,Joisted Masonry,2008,93218,Y,3150000,475000,800000
HAR-C0016-L1,HAR-C0016,1,2372 Union St,Tampa,FL,33677,Manufacturing,Non-Combustible,1969,62092,N,4250000,925000,900000
HAR-C0016-L2,HAR-C0016 ,2,6084 Washington St,Orlando,FL,32829,Retail,Masonry Non-Combustible,1989,4254,N,1450000,350000,800000
HAR-C0016-L3,HAR-C0016,3,5902 River Rd,Orlando,FL,32828,Retail,Non-Combustible ,2012,50348,N,2100000,150000,550000
HAR-C0017-L1,HAR-C0017,1,2878 Lincoln Ave,Orlando,FL,32843,Yard/Storage,Non-Combustible,1977,100684,N,3850000,275000,850000
HAR-C0018-L1,HAR-C0018,1,3279 Lincoln Ave,Orlando,FL,32816,Manufacturing,Fire Resistive,1994,116331,Y,4050000,750000,1350000
HAR-C0018-L2,HAR-C0018,2,8925 Park Pl,Jacksonville,FL,32261,Office,Masonry Non-Combustible,1964,9175,N,3800000,300000,1500000
HAR-C0018-L3,HAR-C0018 ,3,1614 Front St,Jacksonville,FL,32232,Mixed Use,Non-Combustible,1953,43281,Y,5900000,550000,1450000
HAR-C0019-L1,HAR-C0019,1,6925 Commerce Blvd,Orlando,FL,32886,Manufacturing,Fire Resistive,1962,34840,Y,0,400000,500000
HAR-C0020-L1,HAR-C0020,1,8898 Main St,Jacksonville,FL,32279,Manufacturing,Joisted Masonry,1978,17573,N,5050000,825000,150000
HAR-C0020-L2,HAR-C0020,2,6860 Front St,Jacksonville,FL,32238,Retail,Frame,1976,72584,N,2900000,100000,800000
HAR-C0021-L1,HAR-C0021,1,3714 Oak Ave,Orlando,FL,32891,Office,Frame,2000,84229,Y,5750000,350000,500000
HAR-C0021-L2,HAR-C0021,2,1825 Main St,Tampa,FL,33634,Office,Joisted Masonry,2019,12401,N,5400000,800000,0
HAR-C0021-L3,HAR-C0021,3,2032 Industrial Pkwy,Jacksonville,FL,32270,Retail,Fire Resistive,1991,18303,N,3950000,775000,1450000
HAR-C0022-L1,HAR-C0022,1,3211 Commerce Blvd,Tampa,FL,33634,Manufacturing,Frame,1970,49688,Y,4850000,450000,400000
HAR-C0022-L2,HAR-C0022,2,8121 Main St,Tampa,FL,33672,Office,Joisted Masonry,2010,53989,Y,4600000,675000,450000
HAR-C0023-L1,HAR-C0023,1,7067 Park Pl,Jacksonville,FL,32296,Office,Masonry Non-Combustible,1981,89538,Y,0,950000,450000
HAR-C0023-L2,HAR-C0023,2,3852 Mill St,Jacksonville,FL,32225,Office,Masonry Non-Combustible,2002,36534,N,0,225000,200000
HAR-C0024-L1,HAR-C0024,1,9104 Main St,Tampa,FL,33649,Manufacturing,Masonry Non-Combustible,2013,12224,Y,0,475000,200000
HAR-C0025-L1,HAR-C0025,1,307 Washington St,Tampa,FL,33698,Mixed Use,Non-Combustible ,2019,117221,N,1750000,1000000,1500000
HAR-C0026-L1,HAR-C0026,1,399 Technology Way,Tampa,FL,33686,Manufacturing,Non-Combustible,1965,110908,N,0,800000,650000
HAR-C0026-L2,HAR-C0026,2,3019 Elm St,Orlando,FL,32819,Office,Frame,1984,53602,N,0,625000,800000
HAR-C0027-L1,HAR-C0027,1,1319 Union St,Orlando,FL,32843,Yard/Storage,Frame,1981,46594,N,0,675000,1050000
HAR-C0028-L1,HAR-C0028,1,5153 Maple Dr,Orlando,FL,32847,Yard/Storage,Frame,1961,56499,N,0,500000,950000
HAR-C0029-L1,HAR-C0029,1,95 Enterprise Ct,Jacksonville,FL,32263,Yard/Storage,Frame,1991,6552,N,3300000,150000,700000
HAR-C0029-L2,HAR-C0029,2,3070 Commerce Blvd,Orlando,FL,32861,Manufacturing,Frame,1961,22959,N,2450000,350000,850000
HAR-C0029-L3,HAR-C0029,3,953 Main St,Tampa,FL,33611,Office,Masonry Non-Combustible,2019,46798,N,1150000,900000,100000
HAR-C0030-L1,HAR-C0030,1,3207 Commerce Blvd,Jacksonville,FL,32211,Mixed Use,Joisted Masonry,1952,108400,N,0,325000,1150000
