Policy Id,Coverage,Limit,Deductible,Form,Retro Date
HAR-P00001,Building - Loc 1,450000,10000,Special (Replacement Cost),
HAR-P00001,Business Personal Property - Loc 1,775000,2500,Special,
HAR-P00001,Building - Loc 2,2600000,5000,Special (Replacement Cost),
HAR-P00001,Business Personal Property - Loc 2,375000,5000,Special,
HAR-P00002,Employers Liability Each Accident,1000000,0,,
HAR-P00002,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00003,Each Occurrence,1000000,1000,Occurrence,
HAR-P00003,General Aggregate,2000000,0,,
HAR-P00003,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00003,Personal & Advertising Injury,1000000,0,,
HAR-P00003,Damage to Rented Premises,100000,0,,
HAR-P00003,Medical Expense,5000,0,,
HAR-P00004,Employers Liability Each Accident,1000000,0,,
HAR-P00004,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00005,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
HAR-P00005 ,Comprehensive,ACV,1000,,
HAR-P00005,Collision,ACV,2500,,
HAR-P00006,Umbrella Each Occurrence,10000000,10000,Follow Form,
HAR-P00006,Umbrella Aggregate,10000000,0,,
HAR-P00007,Each Occurrence,1000000,1000,Occurrence,
HAR-P00007,General Aggregate,2000000,0,,
HAR-P00007,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00007,Personal & Advertising Injury,1000000,0,,
HAR-P00007,Damage to Rented Premises,100000,0,,
HAR-P00007,Medical Expense,5000,0,,
HAR-P00008,Combined Single Limit,1000000,0,"Symbols 7,8,9",
HAR-P00008,Comprehensive,ACV,2500,,
HAR-P00008,Collision,ACV,2500,,
HAR-P00009,Umbrella Each Occurrence,5000000,10000,Follow Form,
HAR-P00009,Umbrella Aggregate,5000000,0,,
HAR-P00010,Professional Liability / E&O Each Claim,3000000,5000,Claims-Made,2020-03-26
HAR-P00010,Professional Liability / E&O Aggregate,3000000,0,,
HAR-P00011,Each Occurrence,1000000,0,Claims-Made ,
HAR-P00011,General Aggregate,2000000,0,,
HAR-P00011,Products-Completed Ops Aggregate ,2000000,0,,
HAR-P00011,Personal & Advertising Injury,1000000,0,,
HAR-P00011,Damage to Rented Premises,100000,0,,
HAR-P00011,Medical Expense,5000,0,,
HAR-P00012,Cyber Liability Each Claim,2000000,25000,Claims-Made,2024-10-23
HAR-P00012,Cyber Liability Aggregate,2000000,0,,
HAR-P00013,Employers Liability Each Accident,1000000,0,,
HAR-P00013,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00014,Liability Each Occurrence,1000000,0,Occurrence,
HAR-P00014,Business Personal Property,200000,1000,Special,
HAR-P00015,Employers Liability Each Accident,1000000,0,,
HAR-P00015,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00016,Building - Loc 1,0,25000,Special (Replacement Cost),
HAR-P00016,Business Personal Property - Loc 1,25000,2500,Special,
HAR-P00017,Each Occurrence,1000000,0,Claims-Made,
HAR-P00017,General Aggregate,2000000,0,,
HAR-P00017,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00017,Personal & Advertising Injury,1000000,0,,
HAR-P00017,Damage to Rented Premises,100000,0,,
HAR-P00017,Medical Expense,5000,0,,
HAR-P00018,Each Occurrence,1000000,2500,Occurrence,
HAR-P00018,General Aggregate,2000000,0,,
HAR-P00018,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00018,Personal & Advertising Injury,1000000,0,,
HAR-P00018,Damage to Rented Premises,100000,0,,
HAR-P00018,Medical Expense,5000,0,,
HAR-P00019,Building - Loc 1,3250000,25000,Special (Replacement Cost),
HAR-P00019,Business Personal Property - Loc 1,200000,5000,Special,
HAR-P00019,Building - Loc 2,5200000,10000,Special (Replacement Cost),
HAR-P00019,Business Personal Property - Loc 2,200000,2500,Special,
HAR-P00019,Building - Loc 3,4600000,25000,Special (Replacement Cost) ,
HAR-P00019,Business Personal Property - Loc 3,575000,2500,Special,
HAR-P00020,Employers Liability Each Accident,1000000,0,,
HAR-P00020,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00021,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
HAR-P00021,Comprehensive,ACV,2500,,
HAR-P00021,Collision,ACV,5000,,
HAR-P00022,Building - Loc 1,3850000,2500,Special (Replacement Cost),
HAR-P00022,Business Personal Property - Loc 1,575000,5000,Special,
HAR-P00022,Building - Loc 2,850000,10000,Special (Replacement Cost),
HAR-P00022,Business Personal Property - Loc 2,1000000,5000,Special,
HAR-P00022,Building - Loc 3,3400000,2500,Special (Replacement Cost),
HAR-P00022,Business Personal Property - Loc 3,450000,2500,Special,
HAR-P00022,Building - Loc 4,3650000,25000,Special (Replacement Cost),
HAR-P00022,Business Personal Property - Loc 4,450000,2500,Special,
HAR-P00023,Each Occurrence,1000000,0,Occurrence,
HAR-P00023,General Aggregate,2000000,0,,
HAR-P00023,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00023,Personal & Advertising Injury,1000000,0,,
HAR-P00023,Damage to Rented Premises,100000,0,,
HAR-P00023,Medical Expense,5000,0,,
HAR-P00024,Combined Single Limit,1000000,0,"Symbols 7,8,9",
HAR-P00024,Comprehensive,ACV,500,,
HAR-P00024,Collision,ACV,1000,,
HAR-P00025,Employers Liability Each Accident,1000000,0,,
HAR-P00025,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00026,Professional Liability / E&O Each Claim,2000000,50000,Claims-Made,2012-07-21
HAR-P00026,Professional Liability / E&O Aggregate,2000000,0,,
HAR-P00027,Each Occurrence,1000000,2500,Claims-Made,
HAR-P00027,General Aggregate,2000000,0,,
HAR-P00027,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00027,Personal & Advertising Injury,1000000,0,,
HAR-P00027,Damage to Rented Premises,100000,0,,
HAR-P00027,Medical Expense,5000,0,,
HAR-P00028,Cyber Liability Each Claim,3000000,50000,Claims-Made,2012-09-06
HAR-P00028,Cyber Liability Aggregate,3000000,0,,
HAR-P00029,Employers Liability Each Accident,1000000,0,,
HAR-P00029,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00030,Cyber Liability Each Claim,3000000,25000,Claims-Made,2012-04-30
HAR-P00030,Cyber Liability Aggregate,3000000,0,,
HAR-P00031,Professional Liability / E&O Each Claim,3000000,25000,Claims-Made,2023-11-23
HAR-P00031,Professional Liability / E&O Aggregate,3000000,0,,
HAR-P00032,Each Occurrence,1000000,0,Occurrence,
HAR-P00032,General Aggregate,2000000,0,,
HAR-P00032,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00032,Personal & Advertising Injury,1000000,0,,
HAR-P00032,Damage to Rented Premises,100000,0,,
HAR-P00032,Medical Expense,5000,0,,
HAR-P00033 ,Each Occurrence,1000000,0,Occurrence,
HAR-P00033,General Aggregate,2000000,0,,
HAR-P00033,Products-Completed Ops Aggregate ,2000000,0,,
HAR-P00033,Personal & Advertising Injury,1000000,0,,
HAR-P00033,Damage to Rented Premises,100000,0,,
HAR-P00033,Medical Expense,5000,0,,
HAR-P00034,Employers Liability Each Accident,1000000,0,,
HAR-P00034,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00035,Combined Single Limit,1000000,0,"Symbols 7,8,9",
HAR-P00035,Comprehensive,ACV,500,,
HAR-P00035,Collision,ACV,2500,,
HAR-P00036,Umbrella Each Occurrence,3000000,10000,Follow Form,
HAR-P00036,Umbrella Aggregate,3000000,0,,
HAR-P00037,Each Occurrence,1000000,1000,Occurrence,
HAR-P00037,General Aggregate,2000000,0,,
HAR-P00037,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00037,Personal & Advertising Injury,1000000,0,,
HAR-P00037,Damage to Rented Premises,100000,0,,
HAR-P00037,Medical Expense,5000,0,,
HAR-P00038,Professional Liability / E&O Each Claim,1000000,50000,Claims-Made,2012-06-08
HAR-P00038,Professional Liability / E&O Aggregate,1000000,0,,
HAR-P00039,Employers Liability Each Accident,1000000,0,,
HAR-P00039,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00040,Building - Loc 1,750000,10000,Special (Replacement Cost),
HAR-P00040,Business Personal Property - Loc 1,525000,5000,Special,
HAR-P00040,Building - Loc 2,3150000,5000,Special (Replacement Cost),
HAR-P00040,Business Personal Property - Loc 2,475000,2500,Special,
HAR-P00041,Each Occurrence,1000000,0,Occurrence,
HAR-P00041,General Aggregate,2000000,0,,
HAR-P00041,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00041,Personal & Advertising Injury,1000000,0,,
HAR-P00041,Damage to Rented Premises,100000,0,,
HAR-P00041,Medical Expense,5000,0,,
HAR-P00042,Umbrella Each Occurrence,2000000,10000,Follow Form,
HAR-P00042,Umbrella Aggregate,2000000,0,,
HAR-P00043,Building - Loc 1,1750000,10000,Special (Replacement Cost),
HAR-P00043,Business Personal Property - Loc 1,775000,5000,Special,
HAR-P00043,Building - Loc 2,5750000,2500,Special (Replacement Cost),
HAR-P00043,Business Personal Property - Loc 2,100000,2500,Special,
HAR-P00043,Building - Loc 3,950000,25000,Special (Replacement Cost),
HAR-P00043,Business Personal Property - Loc 3,625000,2500,Special,
HAR-P00043,Building - Loc 4,350000,10000,Special (Replacement Cost),
HAR-P00043,Business Personal Property - Loc 4,350000,2500,Special,
HAR-P00044,Employers Liability Each Accident,1000000,0,,
HAR-P00044,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00045,Each Occurrence,1000000,1000,Occurrence,
HAR-P00045,General Aggregate,2000000,0,,
HAR-P00045,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00045,Personal & Advertising Injury,1000000,0,,
HAR-P00045,Damage to Rented Premises,100000,0,,
HAR-P00045,Medical Expense,5000,0,,
HAR-P00046,Employers Liability Each Accident,1000000,0,,
HAR-P00046,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00047,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
HAR-P00047 ,Comprehensive,ACV,1000,,
HAR-P00047,Collision,ACV,1000,,
HAR-P00048,Umbrella Each Occurrence,10000000,10000,Follow Form,
HAR-P00048,Umbrella Aggregate,10000000,0,,
HAR-P00049,Each Occurrence,1000000,0,Claims-Made,
HAR-P00049,General Aggregate,2000000,0,,
HAR-P00049,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00049,Personal & Advertising Injury,1000000,0,,
HAR-P00049,Damage to Rented Premises,100000,0,,
HAR-P00049,Medical Expense,5000,0,,
HAR-P00050,Employers Liability Each Accident,1000000,0,,
HAR-P00050,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00051,Combined Single Limit,1000000,0,"Symbols 7,8,9",
HAR-P00051,Comprehensive ,ACV ,500,,
HAR-P00051,Collision,ACV,1000,,
HAR-P00052,Umbrella Each Occurrence,3000000,10000,Follow Form,
HAR-P00052,Umbrella Aggregate,3000000,0,,
HAR-P00053 ,Building - Loc 1,4250000,5000,Special (Replacement Cost),
HAR-P00053,Business Personal Property - Loc 1,925000,5000,Special,
HAR-P00053,Building - Loc 2,1450000,10000,Special (Replacement Cost),
HAR-P00053,Business Personal Property - Loc 2,350000,5000,Special,
HAR-P00053,Building - Loc 3,2100000,10000,Special (Replacement Cost),
HAR-P00053,Business Personal Property - Loc 3,150000,5000,Special,
HAR-P00054,Building - Loc 1,3850000,2500,Special (Replacement Cost),
HAR-P00054,Business Personal Property - Loc 1,275000,2500,Special,
HAR-P00055,Each Occurrence,1000000,0,Claims-Made,
HAR-P00055,General Aggregate,2000000,0,,
HAR-P00055,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00055,Personal & Advertising Injury,1000000,0,,
HAR-P00055,Damage to Rented Premises,100000,0,,
HAR-P00055,Medical Expense,5000,0,,
HAR-P00056,Employers Liability Each Accident,1000000,0,,
HAR-P00056,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00057,Each Occurrence,1000000,0,Occurrence,
HAR-P00057,General Aggregate,2000000,0,,
HAR-P00057,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00057,Personal & Advertising Injury,1000000,0,,
HAR-P00057,Damage to Rented Premises,100000,0,,
HAR-P00057,Medical Expense,5000,0,,
HAR-P00058,Building - Loc 1,4050000,25000,Special (Replacement Cost),
HAR-P00058,Business Personal Property - Loc 1,750000,5000,Special,
HAR-P00058,Building - Loc 2,3800000,25000,Special (Replacement Cost),
HAR-P00058,Business Personal Property - Loc 2,300000,5000,Special,
HAR-P00058,Building - Loc 3,5900000,10000,Special (Replacement Cost),
HAR-P00058,Business Personal Property - Loc 3,550000,2500,Special,
HAR-P00059,Employers Liability Each Accident,1000000,0,,
HAR-P00059,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00060,Professional Liability / E&O Each Claim,2000000,10000,Claims-Made,2025-09-09
HAR-P00060,Professional Liability / E&O Aggregate,2000000,0,,
HAR-P00061,Cyber Liability Each Claim,5000000,10000,Claims-Made,2015-04-21
HAR-P00061,Cyber Liability Aggregate,5000000,0,,
HAR-P00062,Liability Each Occurrence,1000000,0,Occurrence,
HAR-P00062,Business Personal Property,100000,1000,Special,
HAR-P00063,Professional Liability / E&O Each Claim,3000000,10000,Claims-Made,2024-03-11
HAR-P00063,Professional Liability / E&O Aggregate,3000000,0,,
HAR-P00064,Each Occurrence,1000000,2500,Occurrence,
HAR-P00064,General Aggregate,2000000,0,,
HAR-P00064,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00064,Personal & Advertising Injury,1000000,0,,
HAR-P00064 ,Damage to Rented Premises,100000,0,,
HAR-P00064,Medical Expense,5000,0,,
HAR-P00065,Building - Loc 1,5050000,2500,Special (Replacement Cost),
HAR-P00065,Business Personal Property - Loc 1,825000,2500,Special,
HAR-P00065,Building - Loc 2,2900000,5000,Special (Replacement Cost),
HAR-P00065,Business Personal Property - Loc 2,100000,5000,Special,
HAR-P00066,Employers Liability Each Accident,1000000,0,,
HAR-P00066,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00067,Each Occurrence,1000000,2500,Occurrence,
HAR-P00067,General Aggregate,2000000,0,,
