Policy Id,Client Id,State,Class Code,Class Description,Annual Payroll,Rate Per 100,Experience Mod
HAR-P00002,HAR-C0001,FL,8810,Clerical Office,25000,0.19,1.28
HAR-P00002,HAR-C0001,FL,8742,Outside Sales,475000,0.35,1.28
HAR-P00002,HAR-C0001,FL,8810,Clerical Office,100000,0.19,1.28
HAR-P00004,HAR-C0002,FL,5190,Electrical Wiring,475000,3.12,0.81
HAR-P00004,HAR-C0002,FL,8810,Clerical Office,100000,0.19,0.81
HAR-P00013,HAR-C0004,FL,8810,Clerical Office ,250000,0.19,0.81
HAR-P00013,HAR-C0004,FL,8742,Outside Sales,1650000,0.35,0.81
HAR-P00013,HAR-C0004,FL,8810,Clerical Office,50000,0.19,0.81
HAR-P00015,HAR-C0005,FL,8810,Clerical Office,125000,0.19,1.07
HAR-P00015,HAR-C0005,FL,8742,Outside Sales,1875000,0.35,1.07
HAR-P00015,HAR-C0005,FL,8810,Clerical Office,175000,0.19,1.07
HAR-P00020,HAR-C0007 ,FL,8810,Clerical Office,50000,0.19,1.33
HAR-P00020,HAR-C0007,FL,8742,Outside Sales,875000,0.35,1.33
HAR-P00020,HAR-C0007,FL,8810,Clerical Office,275000,0.19,1.33
HAR-P00025,HAR-C0008,FL,8810,Clerical Office,25000,0.19,1.19
HAR-P00025,HAR-C0008,FL,8742,Outside Sales,1300000,0.35,1.19
HAR-P00025,HAR-C0008,FL,8810,Clerical Office,125000,0.19,1.19
HAR-P00029,HAR-C0009,FL,8810,Clerical Office,150000,0.19,1.0
HAR-P00029,HAR-C0009,FL,8742,Outside Sales,450000,0.35,1.0
HAR-P00029,HAR-C0009,FL,8810,Clerical Office,175000,0.19,1.0
HAR-P00034,HAR-C0011,FL,5183,Plumbing NOC,750000,3.45,0.72
HAR-P00034,HAR-C0011,FL,5537,HVAC Install,575000,3.98,0.72
HAR-P00034,HAR-C0011,FL,8810,Clerical Office,125000,0.19,0.72
HAR-P00039,HAR-C0012,FL,8810,Clerical Office,175000,0.19,0.83
HAR-P00039 ,HAR-C0012,FL,8742,Outside Sales,350000,0.35,0.83
HAR-P00039,HAR-C0012,FL,8810,Clerical Office,175000,0.19,0.83
HAR-P00044,HAR-C0014,FL,8810,Clerical Office,25000,0.19,0.72
HAR-P00044,HAR-C0014,FL,8742,Outside Sales,550000,0.35,0.72
HAR-P00044,HAR-C0014,FL,8810,Clerical Office,150000,0.19,0.72
HAR-P00046,HAR-C0015,FL,3400,Metal Goods Mfg,750000,2.9,1.24
HAR-P00046,HAR-C0015,FL,3632,Machine Shop,75000,2.1,1.24
HAR-P00046,HAR-C0015,FL,8810,Clerical Office,175000,0.19,1.24
HAR-P00050,HAR-C0016,FL,5645,Carpentry - Residential,1775000,7.9,1.06
HAR-P00050,HAR-C0016,FL,5403,Carpentry NOC,1375000,6.1,1.06
HAR-P00050,HAR-C0016,FL ,8810,Clerical Office,275000,0.19,1.06
HAR-P00056,HAR-C0017,FL,8810,Clerical Office,100000,0.19,0.99
HAR-P00056,HAR-C0017,FL,8742,Outside Sales,475000,0.35,0.99
HAR-P00056,HAR-C0017,FL,8810,Clerical Office,75000,0.19,0.99
HAR-P00059,HAR-C0018,FL,8810,Clerical Office,75000,0.19,1.19
HAR-P00059,HAR-C0018,FL,8742,Outside Sales,100000,0.35,1.19
HAR-P00059,HAR-C0018,FL,8810,Clerical Office,275000,0.19,1.19
HAR-P00066,HAR-C0020,FL,8810,Clerical Office,250000,0.19,0.92
HAR-P00066,HAR-C0020,FL,8742,Outside Sales,1925000,0.35,0.92
HAR-P00066,HAR-C0020,FL,8810,Clerical Office,250000,0.19,0.92
HAR-P00069,HAR-C0021,FL,8810,Clerical Office,50000,0.19,1.05
HAR-P00069,HAR-C0021 ,FL,8742,Outside Sales,800000,0.35,1.05
HAR-P00069,HAR-C0021,FL,8810,Clerical Office,300000,0.19,1.05
HAR-P00075,HAR-C0022,FL,8810,Clerical Office,25000,0.19,0.98
HAR-P00075,HAR-C0022,FL,8742,Outside Sales,175000,0.35,0.98
HAR-P00075,HAR-C0022,FL,8810,Clerical Office,25000,0.19,0.98
HAR-P00078,HAR-C0023,FL,8810,Clerical Office,200000,0.19,0.91
HAR-P00078,HAR-C0023,FL,8742,Outside Sales,1825000,0.35,0.91
HAR-P00078,HAR-C0023,FL,8810,Clerical Office,25000,0.19,0.91
HAR-P00080,HAR-C0024,FL,5190,Electrical Wiring,300000,3.12,0.99
HAR-P00080,HAR-C0024,FL,8810,Clerical Office,50000,0.19,0.99
HAR-P00085,HAR-C0025,FL ,8810,Clerical Office,175000,0.19,1.19
HAR-P00085,HAR-C0025,FL,8742,Outside Sales,1850000,0.35,1.19
HAR-P00085,HAR-C0025,FL,8810,Clerical Office,300000,0.19,1.19
HAR-P00087,HAR-C0026,FL,8810,Clerical Office,25000,0.19,0.84
HAR-P00087,HAR-C0026,FL,8742,Outside Sales,500000,0.35,0.84
HAR-P00087,HAR-C0026,FL,8810,Clerical Office,175000,0.19,0.84
HAR-P00095,HAR-C0029,FL,8810,Clerical Office,75000,0.19,1.34
HAR-P00095,HAR-C0029,FL,8742,Outside Sales,625000,0.35,1.34
HAR-P00095,HAR-C0029,FL,8810,Clerical Office,25000,0.19,1.34
HAR-P00097,HAR-C0030,FL,5183,Plumbing NOC,1500000,3.45,1.32
HAR-P00097,HAR-C0030,FL,5537,HVAC Install,275000,3.98,1.32
HAR-P00097,HAR-C0030,FL,8810,Clerical Office,125000,0.19,1.32
