Policy Id,Client Id,Client Name,Policy Number,Line Of Business,Line Description,Carrier Code,Carrier Name,Effective Date,Expiration Date,Term Months,Annual Premium,Commission Pct,Expected Commission,Billing Type,Policy Status,Producer Id,Account Manager Id,Surplus Lines,New Or Renewal,Policy Checked,Experience Mod,Umbrella Limit
HAR-P00001,HAR-C0001,Liberty Manufacturing LP,TRV-PROP-4655592,PROP,Commercial Property,TRV,Travelers Indemnity Company,2025-04-24,2026-04-24,12,51021,13.0,6632.73,Direct Bill,In Force,E001,E009,N,Renewal,Y,,
HAR-P00002,HAR-C0001,Liberty Manufacturing LP ,TRV-WC-9728990,WC,Workers Compensation,TRV,Travelers Indemnity Company,2026-03-05,2027-03-05,12,93863,13.0,12202.19,Direct Bill,In Force,E001,E009,N,Renewal,N,1.28,
HAR-P00003,HAR-C0002,Liberty Electric Co.,HIG-GL-5726907,GL,General Liability,HIG,The Hartford Fire Insurance Company,2026-01-30,2027-01-30,12,47291,14.0,6620.74,Agency Bill,In Force,E004,E012,N,New,Y,,
HAR-P00004,HAR-C0002,Liberty Electric Co.,AMT-WC-2131117,WC,Workers Compensation,AMT,AmTrust Financial,2026-02-27,2027-02-27,12,87489,10.0,8748.9,Direct Bill,In Force,E004,E012,N,Renewal,Y,0.81,
HAR-P00005,HAR-C0002,Liberty Electric Co.,LIB-AUTO-4575859,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2025-08-16,2026-08-16,12,83356,12.0,10002.72,Direct Bill,In Force,E004,E012,N,Renewal,Y,,
HAR-P00006,HAR-C0002,Liberty Electric Co.,TRV-UMB-6583661,UMB,Umbrella / Excess Liability,TRV,Travelers Indemnity Company,2025-09-11,2026-09-11,12,7840,13.0,1019.2,Direct Bill,In Force,E004 ,E012,N,Renewal,N,,10000000
HAR-P00007,HAR-C0003,Blue Ridge Electric LP,TRV-GL-5190492,GL,General Liability,TRV,Travelers Indemnity Company,2025-09-10,"Sep 10, 2026",12,30553,13.0,3971.89,Direct Bill,In Force,E001,E011,N,Renewal,Y,,
HAR-P00008,HAR-C0003,Blue Ridge Electric LP,LIB-AUTO-7275574,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2026-01-06,01/06/2027,12,15182,12.0,1821.84,Direct Bill,In Force,E001,E011,N,Renewal,Y,,
HAR-P00009,HAR-C0003,Blue Ridge Electric LP,MKL-UMB-2387966,UMB,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-10-09,2026-10-09,12,16495,12.0,1979.4,Direct Bill,In Force,E001,E011,Y,Renewal,N,,5000000
HAR-P00010,HAR-C0004,Riverside Associates Inc.,CNA-PL-3187222,PL,Professional Liability / E&O,CNA ,CNA Insurance,2026-02-24,2027-02-24,12,8746,12.5,1093.25,Agency Bill,In Force,E001,E007,N,Renewal,Y,,
HAR-P00011,HAR-C0004,Riverside Associates Inc.,TRV-GL-2343265,GL,General Liability,TRV,Travelers Indemnity Company,2026-03-19 ,2027-03-19,12,22046,13.0,2865.98,Agency Bill,In Force,E001,E007,N,Renewal,N,,
HAR-P00012,HAR-C0004,Riverside Associates Inc.,CNA-CYB-7229646,CYB,Cyber Liability,CNA,CNA Insurance,2025-07-27,2026-07-27,12,4733,12.5,591.62,Agency Bill,In Force,E001,E007,N,New,N,,
HAR-P00013,HAR-C0004,Riverside Associates Inc.,NAT-WC-4302519,WC,Workers Compensation,NAT,Nationwide Mutual Insurance,2026-03-08,2027-03-08,12,89641,13.5,12101.53,Direct Bill,In Force,E001,E007,N,New,N,0.81,
HAR-P00014 ,HAR-C0005,Keystone State Hardware LLC,AMT-BOP-3744466,BOP,Business Owners Policy,AMT,AmTrust Financial,2026-03-02,2027-03-02,12,4661,10.0,466.1,Direct Bill,In Force,E002,E008,N,Renewal,Y,,
HAR-P00015,HAR-C0005,Keystone State Hardware LLC,GRD-WC-8628494,WC,Workers Compensation,GRD,Guard Insurance (Berkshire Hathaway GUARD),2025-09-08,2026-09-08,12,102082,11.0,11229.02,Direct Bill ,In Force,E002,E008,N,Renewal,N,1.07,
HAR-P00016,HAR-C0006,"Allied Freight Systems, Inc.",HIG-PROP-2421252,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,02-Oct-2025,2026-10-02,12,33781,14.0,4729.34,Agency Bill,In Force,E004,E012,N,New,Y,,
HAR-P00017,HAR-C0006,"Allied Freight Systems, Inc.",NAT-GL-1622015,GL,General Liability,NAT,Nationwide Mutual Insurance,2025-04-29,2026-04-29,12,63651,13.5,8592.89,Agency Bill,In Force,E004,E012,N,New,N,,
HAR-P00018,HAR-C0007,Keystone State Marine Co.,LIB-GL-4401918,GL,General Liability,LIB,Liberty Mutual Insurance,2026-01-17,2027-01-17,12,12607,12.0,1512.84,Agency Bill,In Force,E002,E011,N,Renewal,Y,,
HAR-P00019,HAR-C0007,Keystone State Marine Co.,CNA-PROP-9567586,PROP,Commercial Property,CNA,CNA Insurance,2025-11-13,2026-11-13,12,75308,12.5,9413.5,Agency Bill,In Force,E002,E011,N,Renewal,Y,,
HAR-P00020,HAR-C0007,Keystone State Marine Co.,NAT-WC-4834651,WC,Workers Compensation,NAT,Nationwide Mutual Insurance,2026-02-10,2027-02-10,12,14344,13.5,1936.44,Direct Bill,In Force ,E002,E011,N,New,N,1.33,
HAR-P00021,HAR-C0007,Keystone State Marine Co.,LIB-AUTO-1715253,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2025-08-30 ,2026-08-30,12,99555,12.0,11946.6,Direct Bill,In Force,E002,E011,N,New,Y,,
HAR-P00022,HAR-C0008,Coastal Supply LP,CNA-PROP-2985547,PROP,Commercial Property,CNA,CNA Insurance,2025-10-19,10/19/2026,12,67894,12.5,8486.75,Direct Bill,In Force,E004,E009,N,Renewal,Y,,
HAR-P00023,HAR-C0008,Coastal Supply LP,CNA-GL-6612429,GL,General Liability,CNA,CNA Insurance,2025-12-30,2026-12-30,12,61181,12.5,7647.62,Agency Bill,In Force,E004,E009,N,New,Y,,
HAR-P00024,HAR-C0008,Coastal Supply LP,PRG-AUTO-1454561,AUTO,Commercial Auto,PRG,Progressive Commercial,2025-05-12,2026-05-12,12,49669,10.0,4966.9,Direct Bill,In Force,E004,E009,N,New,N,,
HAR-P00025,HAR-C0008,Coastal Supply LP,GRD-WC-1918578,WC,Workers Compensation,GRD,Guard Insurance (Berkshire Hathaway GUARD),2026-02-07,2027-02-07,12,110283,11.0,12131.13,Direct Bill,In Force,E004,E009,N,Renewal,Y,1.19,
HAR-P00026,HAR-C0009,Ironclad Medical Group Co.,CNA-PL-8595637,PL,Professional Liability / E&O,CNA,CNA Insurance,2025-07-03,2026-07-03,12,7910,12.5,988.75,Direct Bill,In Force,E005,E010,N,Renewal,N,,
HAR-P00027,HAR-C0009,Ironclad Medical Group Co.,CNA-GL-2791162,GL,General Liability,CNA,CNA Insurance,2025-08-19 ,2026-08-19,12,51890,12.5,6486.25,Agency Bill,In Force,E005,E010,N,Renewal,N,,
HAR-P00028,HAR-C0009,Ironclad Medical Group Co.,CNA-CYB-9479742,CYB,Cyber Liability ,CNA,CNA Insurance,2026-01-28 ,2027-01-28,12,22405,12.5,2800.62,Direct Bill,In Force,E005,E010,N,Renewal,N,,
HAR-P00029,HAR-C0009,Ironclad Medical Group Co.,NAT-WC-4260708,WC,Workers Compensation,NAT,Nationwide Mutual Insurance,2025-11-21,2026-11-21,12,141230,13.5,19066.05,Direct Bill,In Force,E005,E010,N,New,Y,1.0,
