Vehicle Id,Policy Id,Client Id,Unit Number,Year,Make,Model,Vin,Vehicle Type,Gvw,Garaging City,Garaging State,Stated Value,Radius,Comp Ded,Coll Ded
HAR-P00005-V01,HAR-P00005,HAR-C0002,1,2016,Isuzu,NPR-HD,XVF8K2TA5Y9LN77SD,Light Truck/Van,8500,Orlando,FL,61000,Long Haul (>200mi),1000,5000
HAR-P00005-V02,HAR-P00005,HAR-C0002,2,2014,Peterbilt ,579,MDKYK1DW11AC16H4L,Heavy Truck,80000,Orlando,FL,52000,Long Haul (>200mi),2500,5000
HAR-P00005-V03,HAR-P00005,HAR-C0002,3,2017,Isuzu,NPR-HD,ANJXWREYTHUENWXYC,Light Truck/Van,10000,Orlando,FL,89000,Local (<50mi),2500,5000
HAR-P00005-V04,HAR-P00005,HAR-C0002,4,2023,RAM,ProMaster 2500,3WVBVU8F791NTBMLY,Light Truck/Van,8500,Orlando,FL,147000,Long Haul (>200mi),2500,1000
HAR-P00005-V05,HAR-P00005,HAR-C0002,5,2022,Ford,Transit 250,XA07W75U0FCZ13KJX,Light Truck/Van,8500,Orlando,FL,122000,Local (<50mi),2500,5000
HAR-P00005-V06,HAR-P00005,HAR-C0002,6,2021,Ford,F-250,N0KXW0NB1SH18PK2L,Light Truck/Van,8500,Orlando,FL,135000,Local (<50mi),2500,5000
HAR-P00008-V01,HAR-P00008,HAR-C0003,1,2013,Chevrolet,Silverado 2500,M50TLP44FF81NXX9B,Light Truck/Van,10000,Jacksonville,FL,113000,Intermediate (50-200mi),500,2500
HAR-P00008-V02,HAR-P00008,HAR-C0003,2,2023,Ford,F-250,X0TKLVJCXGD8JG1K8,Light Truck/Van,10000,Jacksonville,FL,33000,Long Haul (>200mi),500,5000
HAR-P00008-V03,HAR-P00008,HAR-C0003,3,2017,Peterbilt,579,3Z09AG0FB5Z9SYJP9,Heavy Truck,80000,Jacksonville,FL,152000,Intermediate (50-200mi),2500,2500
HAR-P00008-V04,HAR-P00008,HAR-C0003,4,2025,Chevrolet,Silverado 2500,LPN7XT97LBEPCLTNC,Light Truck/Van,8500,Jacksonville,FL,157000,Intermediate (50-200mi),1000,1000
HAR-P00008-V05,HAR-P00008,HAR-C0003,5,2021,Ford,Transit 250,XV8BF6YVAXG089Z55,Light Truck/Van,8500,Jacksonville,FL,33000,Local (<50mi),2500,2500
HAR-P00021-V01,HAR-P00021 ,HAR-C0007,1,2016,Chevrolet,Silverado 2500,FG6TZSBECXPZ6E9H2,Light Truck/Van,10000,Jacksonville,FL,128000,Long Haul (>200mi),500,5000
HAR-P00021-V02 ,HAR-P00021,HAR-C0007,2,2013,Chevrolet,Silverado 2500,NM6F6488LRRA5JPDR,Light Truck/Van,14000,Jacksonville,FL,149000,Intermediate (50-200mi),1000,5000
HAR-P00021-V03,HAR-P00021,HAR-C0007,3,2014,Peterbilt,579,UYHK6LYTVJT9H0728,Heavy Truck,80000,Jacksonville,FL,137000,Long Haul (>200mi),500,1000
HAR-P00021-V04,HAR-P00021,HAR-C0007,4,2020,Chevrolet,Silverado 2500,6NJ68EM789K30ACY4,Light Truck/Van,8500,Jacksonville,FL,64000,Long Haul (>200mi),500,2500
HAR-P00024-V01,HAR-P00024,HAR-C0008,1,2025,Peterbilt,579,FLM8ZES2CP4PC30SY,Heavy Truck,80000,Orlando,FL,34000,Intermediate (50-200mi),1000,1000
HAR-P00024-V02,HAR-P00024,HAR-C0008,2,2012,Chevrolet,Silverado 2500 ,1JEGMVFKPVVGPE3Y5,Light Truck/Van,14000,Orlando,FL,97000,Local (<50mi),500,2500
HAR-P00035-V01,HAR-P00035,HAR-C0011,1,2018,Ford,F-250,HHK9DWV7951SZVYUX,Light Truck/Van,8500,Orlando,FL,159000,Local (<50mi),2500,1000
HAR-P00035-V02,HAR-P00035,HAR-C0011,2,2016,Peterbilt,579,UTCRC9YBUHMH7H4AP,Heavy Truck,80000,Orlando,FL,84000,Local (<50mi),1000,1000
HAR-P00035-V03,HAR-P00035,HAR-C0011,3,2017,Chevrolet,Silverado 2500,KUY06BBCNFSCEGP21,Light Truck/Van,10000,Orlando,FL,148000,Local (<50mi),500,5000
HAR-P00035-V04,HAR-P00035,HAR-C0011,4,2020,Peterbilt,579,JMJLPPCYJMKUN0L6Y,Heavy Truck,80000,Orlando,FL,104000,Intermediate (50-200mi),1000,2500
HAR-P00035-V05,HAR-P00035,HAR-C0011,5,2021,Freightliner,Cascadia,8UDGD2G2A29F6DHE4,Heavy Truck,80000,Orlando,FL,94000,Local (<50mi),500,1000
HAR-P00035-V06,HAR-P00035,HAR-C0011,6,2013,Freightliner ,Cascadia,9MZP3V8MLDYT9DGW4,Heavy Truck,80000,Orlando,FL,67000,Long Haul (>200mi),2500,5000
HAR-P00047-V01,HAR-P00047,HAR-C0015,1,2021,International,LT625,S4T2FTP85BDFKAVHN,Heavy Truck,80000,Tampa,FL,152000,Intermediate (50-200mi),500,5000
HAR-P00047-V02,HAR-P00047,HAR-C0015,2,2014,Isuzu,NPR-HD,4P0B3FYLW3CDHUGH2,Light Truck/Van,8500,Tampa,FL,139000,Intermediate (50-200mi),2500,1000
HAR-P00047-V03,HAR-P00047,HAR-C0015,3,2018,Chevrolet,Silverado 2500,5JV9AHAXCTDT79KM0,Light Truck/Van,14000,Tampa,FL,54000,Local (<50mi),2500,1000
HAR-P00047-V04,HAR-P00047,HAR-C0015,4,2013,Isuzu,NPR-HD,RYH6U1NZ4R86K59BR,Light Truck/Van,14000,Tampa,FL,108000,Local (<50mi),2500,5000
HAR-P00047-V05,HAR-P00047,HAR-C0015,5,2020,Freightliner,Cascadia,TJUMSB42UWEY1B5K8,Heavy Truck,80000,Tampa,FL,134000,Long Haul (>200mi),2500,2500
HAR-P00047-V06,HAR-P00047,HAR-C0015,6,2015,RAM,ProMaster 2500,G9CT59W4BGL8ZPCJJ,Light Truck/Van,8500,Tampa,FL,88000,Local (<50mi),500,5000
HAR-P00047-V07,HAR-P00047,HAR-C0015,7,2016,Freightliner,Cascadia,5W13246N9YX0FU66Z,Heavy Truck,80000,Tampa,FL,118000,Long Haul (>200mi),1000,2500
HAR-P00047-V08,HAR-P00047,HAR-C0015,8,2014,RAM,ProMaster 2500,1D6V4TAC58MUEFR15,Light Truck/Van,8500,Tampa,FL,96000,Intermediate (50-200mi),500,1000
HAR-P00051-V01,HAR-P00051,HAR-C0016,1,2020,Freightliner,Cascadia ,PBKG2SWMZ4R6PZ4XD,Heavy Truck,80000,Tampa,FL,67000,Long Haul (>200mi),500,5000
HAR-P00051-V02,HAR-P00051,HAR-C0016,2,2022,International,LT625,6W1CM0UKTC3BA1J5V,Heavy Truck,80000,Tampa ,FL,156000,Intermediate (50-200mi),500,1000
HAR-P00051-V03,HAR-P00051,HAR-C0016,3,2013,Ford,F-250,LELBXPLA0H4N2EPY1,Light Truck/Van,10000,Tampa,FL,118000,Long Haul (>200mi),500,1000
HAR-P00051-V04,HAR-P00051,HAR-C0016,4,2018,International,LT625,AH52FKW2ZRD8JMDGK,Heavy Truck,80000,Tampa,FL,75000,Long Haul (>200mi),1000,5000
HAR-P00051-V05,HAR-P00051,HAR-C0016,5,2014,Isuzu,NPR-HD,7LJ0PTJNUJ7FN30YJ,Light Truck/Van,14000,Tampa,FL,137000,Long Haul (>200mi),500,5000
HAR-P00051-V06,HAR-P00051,HAR-C0016,6,2016,Freightliner,Cascadia,SMV7ZTWL54GCY45EV,Heavy Truck,80000,Tampa,FL,39000,Local (<50mi),2500,2500
