Task Id,Renewal Id,Policy Id,Task,Due Date,Assigned To,Status,Completed Date
REN-HAR-P00001-T120,REN-HAR-P00001,HAR-P00001,Send renewal questionnaire,2025-12-25,E009,Complete,2025-12-24
REN-HAR-P00001-T90,REN-HAR-P00001,HAR-P00001,Request updated exposures / SOV,24-Jan-2026,E009,Complete,2026-01-23
REN-HAR-P00001-T75,REN-HAR-P00001,HAR-P00001,Order loss runs,2026-02-08,E009,Complete,2026-02-11
REN-HAR-P00001-T60,REN-HAR-P00001,HAR-P00001,Prepare and send submissions,2026-02-23,E009,Complete,03/01/2026
REN-HAR-P00001-T30,REN-HAR-P00001,HAR-P00001,Deliver renewal proposal,03/25/26,E009,Complete,2026-03-31
REN-HAR-P00001-T10,REN-HAR-P00001,HAR-P00001,Obtain signed bind order,2026-04-14,E009,Open,
REN-HAR-P00005-T120,REN-HAR-P00005 ,HAR-P00005,Send renewal questionnaire,2026-04-18,E012,Open,
REN-HAR-P00005-T90,REN-HAR-P00005,HAR-P00005,Request updated exposures / SOV,2026-05-18,E012,Open,
REN-HAR-P00005-T75,REN-HAR-P00005,HAR-P00005,Order loss runs,2026-06-02,E012,Open,
REN-HAR-P00005-T60,REN-HAR-P00005,HAR-P00005,Prepare and send submissions,2026-06-17,E012,Open,
REN-HAR-P00005-T30,REN-HAR-P00005,HAR-P00005,Deliver renewal proposal,2026-07-17,E012,Open,
REN-HAR-P00005-T10,REN-HAR-P00005,HAR-P00005,Obtain signed bind order,2026-08-06,E012,Open,
REN-HAR-P00012-T120,REN-HAR-P00012,HAR-P00012,Send renewal questionnaire,2026-03-29,E007,Overdue,
REN-HAR-P00012-T90,REN-HAR-P00012,HAR-P00012,Request updated exposures / SOV,04/28/26,E007,Open,
REN-HAR-P00012-T75,REN-HAR-P00012,HAR-P00012,Order loss runs,2026-05-13,E007,Open,
REN-HAR-P00012-T60,REN-HAR-P00012,HAR-P00012,Prepare and send submissions,2026-05-28,E007,Open,
REN-HAR-P00012-T30,REN-HAR-P00012,HAR-P00012,Deliver renewal proposal,2026-06-27,E007,Open,
REN-HAR-P00012-T10,REN-HAR-P00012,HAR-P00012,Obtain signed bind order,2026-07-17,E007,Open,
REN-HAR-P00017-T120,REN-HAR-P00017,HAR-P00017,Send renewal questionnaire,2025-12-30,E012,Complete,"Jan 03, 2026"
REN-HAR-P00017-T90,REN-HAR-P00017,HAR-P00017,Request updated exposures / SOV,2026-01-29 ,E012,Overdue,2026-01-26
REN-HAR-P00017-T75,REN-HAR-P00017 ,HAR-P00017,Order loss runs,2026-02-13,E012,Complete,
