Certificate Id,Certificate Request Id,Client Id,Form,Issued Date,Gl Policy Number,Gl Each Occurrence,Gl Aggregate,Umbrella Limit,Additional Insured,Waiver Of Subrogation,Primary Noncontributory,Description Of Operations,Holder,Issued By
HAR-COI0001,HAR-CERT0001,HAR-C0016,ACORD 25 (2016/03),2026-01-20,LIB-GL-8989340,1000000,2000000,3000000,N,Y,Y,Ongoing operations,Gilbane Building Company,E007
HAR-COI0004,HAR-CERT0004,HAR-C0027,ACORD 25 (2016/03),2025-10-27,LIB-GL-4461213,1000000,2000000,0,Y,N,N,Tenant improvement - Suite 200,Amazon.com Services LLC,E011
HAR-COI0005,HAR-CERT0005,HAR-C0024,ACORD 25 (2016/03),2026-01-19,CNA-GL-9432213,1000000,2000000,10000000,Y,Y,Y,Tenant improvement - Suite 200,City of Tampa,E008
HAR-COI0007,HAR-CERT0007,HAR-C0009,ACORD 25 (2016/03),02/23/2026 ,CNA-GL-2791162,1000000,2000000,0,Y,Y,Y,Tenant improvement - Suite 200,Kiewit Corporation,E010
HAR-COI0009,HAR-CERT0009,HAR-C0016,ACORD 25 (2016/03),2026-01-23,LIB-GL-8989340,1000000,2000000,3000000,N,N,N,Annual vendor compliance,Amazon.com Services LLC,E007
HAR-COI0010,HAR-CERT0010,HAR-C0009,ACORD 25 (2016/03),12/19/25,CNA-GL-2791162,1000000,2000000,0,Y,N,Y,Service contract 2026,"Home Depot U.S.A., Inc.",E010
HAR-COI0012,HAR-CERT0012,HAR-C0007,ACORD 25 (2016/03),2026-02-24,LIB-GL-4401918,1000000,2000000,0,Y,N,Y,Site work - Phase 2,Kiewit Corporation,E011
HAR-COI0013,HAR-CERT0013,HAR-C0012 ,ACORD 25 (2016/03),2025-11-03,LIB-GL-1980984,1000000,2000000,0,N,Y,Y,Service contract 2026,Skanska USA Building,E010
HAR-COI0015,HAR-CERT0015,HAR-C0002,ACORD 25 (2016/03),2025-11-18,HIG-GL-5726907,1000000,2000000,10000000,Y,Y,Y,Tenant improvement - Suite 200,Amazon.com Services LLC,E012
HAR-COI0020,HAR-CERT0020,HAR-C0023,ACORD 25 (2016/03),2026-02-06,TRV-GL-1622321,1000000,2000000,0,Y,N,Y,Bid requirement,City of Tampa,E009
HAR-COI0021,HAR-CERT0021,HAR-C0003,ACORD 25 (2016/03),2025-10-25,TRV-GL-5190492,1000000,2000000,5000000,N,N,Y,Ongoing operations,CBRE Property Management ,E011
HAR-COI0024,HAR-CERT0024,HAR-C0010,ACORD 25 (2016/03),2026-01-22,HIG-GL-1566960,1000000,2000000,0,N,Y,Y,Bid requirement,City of Tampa,E006
HAR-COI0025,HAR-CERT0025,HAR-C0008,ACORD 25 (2016/03),2026-02-10,CNA-GL-6612429,1000000,2000000,0,Y,N,N,Bid requirement,Whiting-Turner Contracting,E009
HAR-COI0026,HAR-CERT0026,HAR-C0010,ACORD 25 (2016/03),2025-11-12,HIG-GL-1566960,1000000,2000000,0,Y,Y,Y,Service contract 2026,Whiting-Turner Contracting,E006
HAR-COI0027,HAR-CERT0027,HAR-C0030,ACORD 25 (2016/03),2026-03-21,TRV-GL-5363924,1000000,2000000,3000000,Y,Y,Y,Service contract 2026,Walmart Inc.,E009
HAR-COI0030,HAR-CERT0030,HAR-C0010,ACORD 25 (2016/03),2025-12-17,HIG-GL-1566960,1000000,2000000,0,Y,N,N,Bid requirement,Kiewit Corporation,E006
HAR-COI0031,HAR-CERT0031,HAR-C0023,ACORD 25 (2016/03),2025-11-30,TRV-GL-1622321,1000000,2000000,0,Y,N,N,Ongoing operations,Turner Construction Company,E009
HAR-COI0032,HAR-CERT0032,HAR-C0028,ACORD 25 (2016/03),10/05/25,HIG-GL-9831639,1000000,2000000,5000000,Y,Y,N,Ongoing operations,Skanska USA Building,E010
HAR-COI0033,HAR-CERT0033,HAR-C0016,ACORD 25 (2016/03),2025-11-03,LIB-GL-8989340,1000000,2000000,3000000,Y,Y,Y,Service contract 2026,JLL Property Management,E007
