Loss Run Id,Client Id,Carrier Code,Requested Date,Years Requested,Received Date,Status,Valued As Of
LR-HAR-C0028-681,HAR-C0028,LIB,2026-01-19,5,,Outstanding - 2nd follow-up sent,2026-01-13
LR-HAR-C0003-525,HAR-C0003,CNA,2025-10-15,5,10/04/25,Received,2026-01-26
LR-HAR-C0001-173,HAR-C0001,LIB,2025-11-25,5,2025-11-10,Received,2026-03-20
LR-HAR-C0006-748,HAR-C0006,NAT,2026-01-11,5,2026-03-17,Outstanding - 2nd follow-up sent,2025-09-02
LR-HAR-C0017-187,HAR-C0017,PRG,11/19/25,5,2026-01-29,Outstanding - 2nd follow-up sent,2026-03-25
LR-HAR-C0027-932,HAR-C0027,MKL,02/19/26,5,2025-12-28 ,Outstanding - 2nd follow-up sent,2025-10-16
LR-HAR-C0013-846,HAR-C0013,NAT,2025-11-23,5,,Received,2025-12-26
LR-HAR-C0010-324,HAR-C0010,TRV,2026-02-13,5,,Received,2026-03-06
LR-HAR-C0026-799,HAR-C0026,LIB,2025-10-24,5,2026-02-01,Received,2026-02-22
LR-HAR-C0016-852,HAR-C0016,CNA,2025-10-28,5,2026-03-03,Outstanding - 2nd follow-up sent,2025-09-13
LR-HAR-C0030-694,HAR-C0030,NAT,20-Sep-2025,5,2025-12-14,Received,2025-11-05
LR-HAR-C0021-600,HAR-C0021,PRG,10/05/2025,5,,Received,2026-01-14
LR-HAR-C0012-782,HAR-C0012,LIB,2025-10-27,5,2025-10-24,Received,2025-10-28
LR-HAR-C0009-912,HAR-C0009,NAT,2025-09-17,5,03/08/2026,Outstanding - 2nd follow-up sent,2025-11-22
LR-HAR-C0015-620,HAR-C0015,HIG,2026-02-19,5,2025-12-26,Outstanding - 2nd follow-up sent,2026-01-24
