Invoice Id,Client Id,Policy Id,Policy Number,Carrier Code,Invoice Date,Due Date,Transaction Type,Premium,Agency Fee,Surplus Lines Tax,Total Amount,Payment Plan,Amount Paid,Balance,Status,Premium Finance,Premium Finance Company,Cancellation Notice
HAR-INV00001,HAR-C0002,HAR-P00003,HIG-GL-5726907,HIG,2026-01-22,2026-02-15,New Business,47291,500,0,47791,Full Pay,47791,0.0,Paid,Y,AFCO,
HAR-INV00002,HAR-C0004,HAR-P00010,CNA-PL-3187222,CNA,2026-02-18,2026-03-22,Renewal,8746,250,0,8996,25% Down + 9,8996.0,0.0,Paid,N,,
HAR-INV00003,HAR-C0004,HAR-P00011,TRV-GL-2343265,TRV,2026-02-28,2026-04-15,Renewal,22046,250,0,22296,Quarterly,0.0,22296,Open,N,,
HAR-INV00004,HAR-C0004,HAR-P00012,CNA-CYB-7229646,CNA,2025-07-18,2025-08-06,New Business,4733,0,0,4733,Full Pay,4733.0,0.0,Paid,N,,
HAR-INV00005,HAR-C0006,HAR-P00016,HIG-PROP-2421252,HIG,2025-09-18,2025-10-15,New Business,33781,0,0,33781,Quarterly,33781.0,0.0,Paid,N,,
HAR-INV00006,HAR-C0006,HAR-P00017,NAT-GL-1622015,NAT,2025-04-12,2025-04-29,New Business,63651,150,0,63801,Full Pay,63801.0,0.0,Paid,N,,
HAR-INV00007,HAR-C0007,HAR-P00018,LIB-GL-4401918,LIB,2025-12-24,2026-02-06,Renewal,12607,500,0,13107,25% Down + 9,6553.5,6553.5,Partial ,N,,
HAR-INV00008,HAR-C0007,HAR-P00019,CNA-PROP-9567586,CNA,2025-10-27,12/09/25,Renewal,75308,0,0,75308,Quarterly,75308.0,0.0,Paid,N,,
HAR-INV00009,HAR-C0008,HAR-P00023,CNA-GL-6612429,CNA,"Dec 23, 2025",2026-01-19,New Business,61181,0,0,61181,25% Down + 9,61181,0.0,Paid,Y,Imperial PFS,
HAR-INV00010,HAR-C0009,HAR-P00027,CNA-GL-2791162,CNA,08/13/25,2025-08-23,Renewal,51890,150,0,52040,Full Pay,52040,0.0,Paid,Y,AFCO,
HAR-INV00011,HAR-C0010,HAR-P00032,HIG-GL-1566960,HIG,2025-07-17,2025-08-24,New Business,17202,0,0,17202,25% Down + 9,17202.0,0.0,Paid,N,,
HAR-INV00012,HAR-C0011,HAR-P00036,TRV-UMB-9225974,TRV,2025-10-13,2025-11-12,Renewal,22256,150,0,22406,Quarterly,22406.0,0.0,Paid,N,,
HAR-INV00013,HAR-C0012,HAR-P00037,LIB-GL-1980984,LIB,2026-01-11,2026-02-07,Renewal,63339,150,0,63489,Quarterly,63489,0.0,Paid,Y,First Insurance Funding,
HAR-INV00014,HAR-C0012,HAR-P00038,MKL-PL-1721204,MKL,2025-09-14,10/18/2025,New Business,22025,1046.19,881.0,23952.19,25% Down + 9,11976.09,11976.1,Past Due >60,N,,Carrier NOC issued - cancel eff 2026-04-09
HAR-INV00015,HAR-C0013,HAR-P00040,HIG-PROP-1100326,HIG,2025-03-29,2025-04-23,Renewal,75578,250,0,75828,Full Pay,75828,0.0,Paid,Y,Imperial PFS,
HAR-INV00016,HAR-C0013,HAR-P00041,CNA-GL-8534073,CNA,2025-07-01,2025-08-01,Renewal,11983,250,0,12233,Full Pay,12233.0,0.0,Paid,N,,
HAR-INV00017,HAR-C0013,HAR-P00042,TRV-UMB-9363685,TRV,2025-06-11,2025-06-25,Renewal,17709,0,0,17709,Quarterly ,17709.0,0.0,Paid,N,,
HAR-INV00018,HAR-C0014 ,HAR-P00043,CNA-PROP-2797302,CNA,2025-09-04,2025-10-28,Renewal,11043,0,0,11043,Quarterly,2760.75,8282.25,Past Due >60,N,,
HAR-INV00019,HAR-C0015,HAR-P00048,MKL-UMB-2801668,MKL,2025-06-07,2025-06-25,New Business ,26973,1281.22,1078.92,29333.14,Full Pay,29333.14,0.0,Paid,N,,
HAR-INV00020,HAR-C0016,HAR-P00049,LIB-GL-8989340,LIB,2025-06-19,2025-07-21,Renewal,8083,0,0,8083,Full Pay,8083.0,0.0,Paid,N,,
HAR-INV00021,HAR-C0017,HAR-P00054,TRV-PROP-8848052,TRV,2025-03-25,2025-05-01,New Business,45015,500,0,45515,Full Pay,45515.0,0.0,Paid,N,,
HAR-INV00022,HAR-C0017,HAR-P00055,MKL-GL-1641431,MKL,12/18/2025,2026-01-26,New Business,6784,322.24,271.36,7377.6,Quarterly,7377.6,0.0,Paid,N,,
HAR-INV00023,HAR-C0018,HAR-P00057,NAT-GL-8426434,NAT,02/12/26 ,2026-03-06,Renewal,52156,0,0,52156,Full Pay,52156,0.0,Paid,Y,First Insurance Funding,
HAR-INV00024,HAR-C0019,HAR-P00060,MKL-PL-1964407,MKL,"Dec 22, 2025",2026-01-27,Renewal,31605,1501.24,1264.2,34370.44,Full Pay,34370.44,0.0,Paid,N ,,
HAR-INV00025,HAR-C0019,HAR-P00061,CNA-CYB-8523472,CNA,2026-02-20,2026-03-06,Renewal,5295,0,0,5295,Quarterly,1323.75,3971.25,Partial,N,,
HAR-INV00026,HAR-C0020,HAR-P00063,MKL-PL-3683973,MKL,2026-03-08,2026-04-19,Renewal,35874,1704.02,1434.96,39012.98,Full Pay,0.0,39012.98,Open,N,,
HAR-INV00027,HAR-C0020,HAR-P00064,LIB-GL-6486028,LIB,2026-01-25,22-Feb-2026,Renewal,24732,0,0,24732,25% Down + 9,24732.0,0.0,Paid,N,,
HAR-INV00028,HAR-C0020,HAR-P00065,LIB-PROP-2637048,LIB,"May 27, 2025",2025-06-15,Renewal,49131,0,0,49131,Quarterly,0.0,49131.0,Past Due >60,N,,
HAR-INV00029,HAR-C0021,HAR-P00067,LIB-GL-2053776,LIB,2025-08-21,2025-09-18,Renewal,63846,0,0,63846,Quarterly,63846.0,0.0,Paid,N,,
HAR-INV00030,HAR-C0022,HAR-P00072,CNA-GL-3469536,CNA,2025-12-31,2026-01-30,Renewal,16250,250,0,16500,Full Pay,16500.0,0.0,Paid,N,,
HAR-INV00031,HAR-C0022,HAR-P00073,HIG-PROP-1441396,HIG,2025-09-24,14-Nov-2025,Renewal,18996,500,0,19496,25% Down + 9,19496.0,0.0,Paid,N,,
HAR-INV00032,HAR-C0022,HAR-P00074,CNA-CYB-9113312,CNA,2025-07-19,2025-09-02,New Business,14124,500,0,14624,Full Pay,14624.0,0.0,Paid,N,,
HAR-INV00033,HAR-C0023,HAR-P00076,TRV-GL-1622321,TRV,2025-07-20,2025-09-05,Renewal,17177,250,0,17427,Full Pay,17427.0,0.0,Paid,N,,
HAR-INV00034,HAR-C0024,HAR-P00082,MKL-UMB-4802811,MKL,11-Feb-2026,03/17/26,New Business,14426,685.24,577.04,15688.28,25% Down + 9,7844.14,7844.14,Partial,N,,
HAR-INV00035,HAR-C0025,HAR-P00083,CNA-GL-9959621,CNA,13-Apr-2025,2025-05-21,New Business,10975,150,0,11125,Quarterly,11125.0,0.0,Paid,N,,
HAR-INV00036,HAR-C0025,HAR-P00084,HIG-PROP-3512372,HIG,2026-02-13,2026-03-22,Renewal,47707,0,0,47707,Full Pay,47707.0,0.0,Paid,N,,
HAR-INV00037,HAR-C0027,HAR-P00088,CNA-CYB-3262819,CNA,2026-01-25,2026-02-26,New Business,14809,250,0,15059,25% Down + 9,15059.0,0.0,Paid,N,,
HAR-INV00038,HAR-C0027,HAR-P00090 ,LIB-GL-4461213,LIB,2025-10-30,2025-11-24,New Business,11343,0,0,11343,Quarterly,11343.0,0.0,Paid,N,,
HAR-INV00039,HAR-C0028,HAR-P00091,HIG-GL-9831639,HIG,2025-05-26,2025-06-25,New Business,26396,500,0,26896,Full Pay,26896.0,0.0,Paid,N,,
HAR-INV00040,HAR-C0029,HAR-P00093,CNA-PROP-8951034,CNA,2025-12-31,2026-02-07,Renewal,75572,500,0,76072,Full Pay,38036.0,38036.0,Partial,N,,
HAR-INV00041,HAR-C0030,HAR-P00096,TRV-GL-5363924,TRV,2026-03-04,2026-04-12,Renewal,23608,0,0,23608,Full Pay,0.0,23608,Open,N,,
