Payment Id,Client Id,Invoice Id,Payment Date,Amount,Method,Payer,Reference,Applied,Deposited To
HAR-PMT00001,HAR-C0002,HAR-INV00001,2026-02-15,47791,ACH,AFCO,PF138020,Y,Premium Trust Account
HAR-PMT00002,HAR-C0004,HAR-INV00002 ,2026-03-20,8996.0,Check,Riverside Associates Inc.,CHK 94756,Y,Premium Trust Account
HAR-PMT00003 ,HAR-C0004,HAR-INV00004,2025-08-23,4733.0,Credit Card,Riverside Associates Inc.,CHK 37613,Y,Premium Trust Account
HAR-PMT00004,HAR-C0006,HAR-INV00005,"Oct 21, 2025",33781.0,ACH,"Allied Freight Systems, Inc.",CHK 16686,Y,Premium Trust Account
HAR-PMT00005,HAR-C0006,HAR-INV00006,2025-04-23,63801.0,Check,"Allied Freight Systems, Inc.",CHK 23882,Y,Premium Trust Account
HAR-PMT00006,HAR-C0007,HAR-INV00007,2026-02-04,6553.5,Check,Keystone State Marine Co.,CHK 37034,Y,Premium Trust Account
HAR-PMT00007,HAR-C0007,HAR-INV00008,2025-12-26,75308.0,Wire,Keystone State Marine Co.,CHK 40417,Y,Premium Trust Account
HAR-PMT00008,HAR-C0008,HAR-INV00009,2026-01-17,61181,ACH,Imperial PFS,PF697081,Y,Premium Trust Account
HAR-PMT00009,HAR-C0009 ,HAR-INV00010,09/08/2025,52040,ACH,AFCO,PF409124,Y,Premium Trust Account
HAR-PMT00010,HAR-C0010,HAR-INV00011,2025-08-20 ,17202.0,Credit Card,Summit Software Co.,CHK 60087,Y,Premium Trust Account 
HAR-PMT00011,HAR-C0011,HAR-INV00012,2025-11-11,22406.0,Wire,Lakeshore Electric Inc.,CHK 36509,Y,Premium Trust Account
HAR-PMT00012,HAR-C0012,HAR-INV00013,2026-02-01,63489,ACH,First Insurance Funding,PF327160,Y,Premium Trust Account
HAR-PMT00013,HAR-C0012,HAR-INV00014,11/05/2025,11976.09,ACH,Pioneer Community Services Inc.,ACH883862396,Y,Premium Trust Account
HAR-PMT00014,HAR-C0013,HAR-INV00015,2025-04-14,75828,ACH,Imperial PFS,PF711005,Y,Premium Trust Account
HAR-PMT00015,HAR-C0013,HAR-INV00016,2025-08-26,12233.0,Wire,Granite Properties Inc. ,CHK 85890,Y,Premium Trust Account
HAR-PMT00016,HAR-C0013,HAR-INV00017,2025-07-17,17709.0,ACH,Granite Properties Inc.,ACH354583914,Y,Premium Trust Account
HAR-PMT00017,HAR-C0014,HAR-INV00018,2025-10-18,2760.75,Credit Card,Highland Manufacturing Corp.,ACH155944873,Y,Premium Trust Account
HAR-PMT00018,HAR-C0015,HAR-INV00019,2025-06-30,29333.14,Check,Heritage Manufacturing Inc.,ACH159268629,Y,Premium Trust Account
HAR-PMT00019,HAR-C0016,HAR-INV00020,2025-08-02,8083.0,Credit Card,Summit Electric Inc.,ACH512880193,Y,Premium Trust Account
HAR-PMT00020,HAR-C0017,HAR-INV00021,"May 03, 2025",45515.0,Check,Summit Hotels LP,ACH709839515,Y,Premium Trust Account
HAR-PMT00021,HAR-C0017,HAR-INV00022,2026-02-04,7377.6,Check,Summit Hotels LP,ACH158688831,Y,Premium Trust Account
HAR-PMT00022,HAR-C0018,HAR-INV00023,06-Mar-2026,52156,ACH,First Insurance Funding,PF964584,Y,Premium Trust Account
HAR-PMT00023,HAR-C0019,HAR-INV00024,2026-02-03,34370.44,ACH,Beacon Associates LLC,CHK 38440,Y,Premium Trust Account
HAR-PMT00024,HAR-C0019,HAR-INV00025,2026-03-22,1323.75,ACH,Beacon Associates LLC,ACH906625820,Y,Premium Trust Account
HAR-PMT00025,HAR-C0020,HAR-INV00027,2026-02-18,24732.0,Credit Card,Beacon Medical Group Inc.,ACH246887041 ,Y,Premium Trust Account
HAR-PMT00026,HAR-C0021,HAR-INV00029,2025-09-13,63846.0,ACH,Beacon Marine LLC,ACH577333439,Y,Premium Trust Account
HAR-PMT00027,HAR-C0022,HAR-INV00030,2026-02-13,16500.0,ACH,Blue Ridge Medical Group LLC,ACH664719562,Y,Premium Trust Account
HAR-PMT00028,HAR-C0022,HAR-INV00031,2025-12-02,19496.0,ACH,Blue Ridge Medical Group LLC,CHK 11047,Y,Premium Trust Account
HAR-PMT00029,HAR-C0022,HAR-INV00032,2025-09-24,14624.0,ACH,Blue Ridge Medical Group LLC,CHK 58096,Y,Premium Trust Account
HAR-PMT00030,HAR-C0023,HAR-INV00033,2025-09-23,17427.0,Wire,Coastal Community Services LP,ACH252964376,Y,Premium Trust Account
HAR-PMT00031,HAR-C0024,HAR-INV00034,"Apr 11, 2026",7844.14,ACH,Beacon Electric LLC,ACH858909059,Y,Premium Trust Account
HAR-PMT00032,HAR-C0025,HAR-INV00035,06/01/2025,11125.0,ACH ,Heritage Automotive LP,CHK 14463,Y,Premium Trust Account
HAR-PMT00033,HAR-C0025,HAR-INV00036,2026-03-28,47707.0,Check,Heritage Automotive LP,CHK 85245,Y,Premium Trust Account
HAR-PMT00034,HAR-C0027,HAR-INV00037,2026-02-25,15059.0,Wire,Lakeshore Software Corp.,CHK 67353,Y,Premium Trust Account
HAR-PMT00035,HAR-C0027,HAR-INV00038,2025-12-03,11343.0,Credit Card,Lakeshore Software Corp.,CHK 18738,Y,Premium Trust Account
HAR-PMT00036,HAR-C0028,HAR-INV00039,"Jul 16, 2025",26896.0,ACH,Sterling Transport LLC,CHK 31783,Y,Premium Trust Account
HAR-PMT00037,HAR-C0029,HAR-INV00040,2026-02-25,38036.0,ACH,Tri-State Supply Inc.,ACH460472095,Y,Premium Trust Account
HAR-PMT00038,HAR-C0030,HAR-INV00042,2025-11-30,26959.13,Wire,Anchor Electric Co.,ACH928223733,Y,Premium Trust Account
HAR-PMT00039,HAR-C0018,,2026-02-06,4352,Check,Northgate Automotive Co.,CHK 96712,"N - unapplied, no invoice reference",Premium Trust Account
HAR-PMT00040,HAR-C0013,,01/15/26,7299,Check,Granite Properties Inc.,CHK 57720,"N - unapplied, no invoice reference",Premium Trust Account
