Statement Id,Carrier Code,Statement Date,Line Number,Policy Number,Insured Name,Transaction Type,Effective Date,Gross Premium,Commission Pct,Commission Amount,Net Premium Due Carrier,Matched To Policy Id,Match Status
TRV-STMT-202511,TRV,"Nov 30, 2025",1,TRV-UMB-9225974,Lakeshore Electric Inc.,RN,2025-11-03,22256,13.0,2893.28,19362.72,HAR-P00036,Matched
TRV-STMT-202603,TRV,2026-03-31,1,TRV-GL-2343265,Riverside Associates Inc.,RN,2026-03-19,22046,13.0,2865.98,19180.02,HAR-P00011,Matched
TRV-STMT-202603,TRV,2026-03-31,2,TRV-GL-5363924,Anchor Electric Co.,RN,2026-03-28,23608,13.0,3069.04,20538.96,HAR-P00096,Matched
HIG-STMT-202510,HIG,2025-10-31,1,HIG-PROP-2421252,"Allied Freight Systems, Inc.",NB,2025-10-02,33781,14.0,4729.34,29051.66,HAR-P00016,Matched
HIG-STMT-202510,HIG,2025-10-31,2,HIG-PROP-1441396,Blue Ridge Medical Group LLC,RN,2025-10-18,18996,14.0,2659.44,16336.56,HAR-P00073,Matched
HIG-STMT-202601,HIG,2026-01-31,1,HIG-GL-5726907,Liberty Electric Co.,NB,2026-01-30,47291,14.0,6620.74,40670.26,HAR-P00003,Matched
HIG-STMT-202602,HIG,2026-02-28,1,HIG-PROP-3512372,Heritage Automotive LP,RN,2026-02-25,47707,14.0,6678.98,41028.02,HAR-P00084,Matched
LIB-STMT-202511,LIB,2025-11-30,1,LIB-GL-4461213,Lakeshore Software Corp.,NB,2025-11-07,11343,12.0,1361.16,9981.84,HAR-P00090,Matched
LIB-STMT-202601,LIB,2026-01-31,1,LIB-GL-4401918,Keystone State Marine Co.,RN,"Jan 17, 2026",12607,12.0,1512.84,11094.16,HAR-P00018,Matched
LIB-STMT-202601,LIB,2026-01-31,2,LIB-GL-1980984,Pioneer Community Services Inc. ,RN,2026-01-26,63339,12.0,7600.68,55738.32,HAR-P00037,Matched
LIB-STMT-202602,LIB,2026-02-28,1,LIB-GL-6486028,Beacon Medical Group Inc.,RN,2026-02-01,24732,12.0,2967.84,21764.16,HAR-P00064,Matched
CNA-STMT-202511,CNA,2025-11-30,1,CNA-PROP-9567586,Keystone State Marine Co.,RN,2025-11-13,75308,12.5,9413.5,65894.5,HAR-P00019,Matched
CNA-STMT-202512,CNA,2025-12-31,1,CNA-GL-6612429,Coastal Supply LP,NB,2025-12-30,61181,12.5,7647.62,53533.38,HAR-P00023,Matched
CNA-STMT-202601,CNA,2026-01-31,1,CNA-GL-3469536,Blue Ridge Medical Group LLC,RN,2026-01-12,16250,12.5,2031.25,14218.75,HAR-P00072,Matched
CNA-STMT-202601,CNA,2026-01-31,2,CNA-PROP-8951034,Tri-State Supply Inc.,RN,2026-01-17,75572,12.5,9446.5,66125.5,HAR-P00093,Matched
CNA-STMT-202602,CNA,2026-02-28,1,CNA-PL-3187222,Riverside Associates Inc.,RN,2026-02-24,8746,12.5,1093.25,7652.75,HAR-P00010,Matched
CNA-STMT-202602,CNA,2026-02-28,2,CNA-CYB-8523472,Beacon Associates LLC,RN,2026-02-25,5295,12.5,661.88,4633.12,HAR-P00061,Matched
CNA-STMT-202602,CNA,2026-02-28,3,CNA-CYB-3262819,Lakeshore Software Corp.,NB,2026-02-17,14809,12.5,1851.12,12957.88,HAR-P00088,Matched
NAT-STMT-202603,NAT,2026-03-31,1,NAT-GL-8426434,Northgate Automotive Co.,RN,2026-03-02,52156,13.5,7041.06,45114.94,HAR-P00057,Matched
MKL-STMT-202510,MKL,2025-10-31,1,MKL-PL-1721204,Pioneer Community Services Inc.,NB,2025-10-09,22025,12.0,2643.0,19382.0,HAR-P00038,Matched
MKL-STMT-202511,MKL,2025-11-30,1,MKL-UMB-8194789,Anchor Electric Co.,RN,2025-11-23,24790,12.0,2974.8,21815.2,HAR-P00099,Matched
MKL-STMT-202512,MKL,2025-12-31,1,MKL-GL-1641431,Summit Hotels LP,NB,2025-12-28,6784,12.0,814.08,5969.92,HAR-P00055,Matched
MKL-STMT-202601,MKL,2026-01-31,1,MKL-PL-1964407,Beacon Associates LLC,RN,2026-01-07,31605,12.0,3792.6,27812.4,HAR-P00060,Matched
MKL-STMT-202603,MKL,2026-03-31,1,MKL-PL-3683973,Beacon Medical Group Inc.,RN,"Mar 28, 2026",35874,12.0,4304.88,31569.12,HAR-P00063,Matched
MKL-STMT-202603,MKL,2026-03-31,2,MKL-UMB-4802811,Beacon Electric LLC,NB,2026-03-05,14426,12.0,1731.12,12694.88,HAR-P00082,Matched
