Statement Id,Carrier Code,Statement Date,Policy Number,Insured Name,Transaction Type,Premium Basis,Commission Pct Paid,Commission Paid,Expected Commission,Variance,Matched To Policy Id,Match Status
TRV-COMM-202602,TRV,2026-02-28,TRV-AUTO-6605955,Lakeshore Electric Inc.,RN,46565,13.0,6053.45,6053.45,0.0,HAR-P00035,Matched
TRV-COMM-202603,TRV,2026-03-31,TRV-WC-9728990,Liberty Manufacturing LP,RN,93863,13.0,12202.19,12202.19,0.0,HAR-P00002,Matched
TRV-COMM-202603,TRV,2026-03-31,TRV-UMB-8785458,Summit Electric Inc.,RN,16637,13.0,2162.81,2162.81,0.0,HAR-P00052,Matched
HIG-COMM-202510,HIG,31-Oct-2025,HIG-BOP-5356761,Valley Hardware Inc.,NB,5903,14.0,826.42,826.42,0.0,HAR-P00086,Matched
HIG-COMM-202510,HIG,2025-10-31,HIG-WC-9046805,Anchor Electric Co.,RN,129438,14.0,18121.32,18121.32,0.0,HAR-P00097,Matched
HIG-COMM-202511,HIG,11/30/25,HIG-GL-1962926,Heritage Manufacturing Inc.,RN,60627,14.0,8487.78,8487.78,0.0,HAR-P00045,Matched
HIG-COMM-202511,HIG,11/30/25,HIG-WC-9031274,Northgate Automotive Co.,RN,79744,14.0,11164.16,11164.16,0.0,HAR-P00059,Matched
HIG-COMM-202512 ,HIG,2025-12-31,HIG-WC-6629466,Beacon Marine LLC,RN,90042,14.0,12605.88,12605.88,0.0,HAR-P00069,Matched
LIB-COMM-202601,LIB,2026-01-31,LIB-AUTO-7275574,Blue Ridge Electric LP,RN,15182,12.0,1821.84,1821.84,0.0,HAR-P00008,Matched
LIB-COMM-202601,LIB,2026-01-31,LIB-AUTO-3567307,Summit Electric Inc.,RN,14061,12.0,1687.32,1687.32,0.0,HAR-P00051,Matched
LIB-COMM-202601,LIB,"Jan 31, 2026",LIB-WC-7551335,Heritage Automotive LP ,RN,44298,12.0,5315.76,5315.76,0.0,HAR-P00085,Matched
LIB-COMM-202602,LIB,2026-02-28,LIB-GL-1970641,Lakeshore Electric Inc.,NB,33716,12.0,4045.92,4045.92,0.0,HAR-P00033,Matched
LIB-COMM-202602,LIB,2026-02-28,LIB-WC-2782069,Summit Electric Inc.,NB,78206,12.0,9384.72,9384.72,0.0,HAR-P00050,Matched
LIB-COMM-202603,LIB,2026-03-31,LIB-WC-6993923,Highland Manufacturing Corp.,RN,48584,12.0,5830.08,5830.08,0.0,HAR-P00044,Matched
LIB-COMM-202603,LIB,2026-03-31,LIB-AUTO-9319868,Anchor Electric Co.,RN,113666,12.0,13639.92,13639.92,0.0,HAR-P00098,Matched
CNA-COMM-202510,CNA,2025-10-31,CNA-PROP-2985547,Coastal Supply LP,RN,67894,12.5,8486.75,8486.75,0.0,HAR-P00022 ,Matched
CNA-COMM-202510 ,CNA,2025-10-31,CNA-PL-1865311,Blue Ridge Medical Group LLC,NB,39840,12.5,4980.0,4980.0,0.0,HAR-P00071,Matched
CNA-COMM-202511,CNA ,2025-11-30,CNA-CYB-7096491,Summit Software Co.,RN,24462,12.5,3057.75,3057.75,0.0,HAR-P00030,Matched
CNA-COMM-202601,CNA,2026-01-31,CNA-CYB-9479742,Ironclad Medical Group Co.,RN,22405,12.5,2800.62,2800.62,0.0,HAR-P00028,Matched
NAT-COMM-202511,NAT,2025-11-30,NAT-WC-4260708,Ironclad Medical Group Co.,NB,141230,13.5,19066.05,19066.05,0.0,HAR-P00029,Matched
NAT-COMM-202602,NAT,2026-02-28,NAT-WC-4834651,Keystone State Marine Co.,NB,14344,13.5,1936.44,1936.44,0.0,HAR-P00020,Matched
NAT-COMM-202603,NAT,2026-03-31,NAT-WC-4302519,Riverside Associates Inc.,NB,89641,13.5,12101.53,12101.53,0.0,HAR-P00013,Matched
NAT-COMM-202603,NAT,2026-03-31,NAT-WC-8917179,Valley Hardware Inc.,RN,171248,13.5,23118.48,23118.48,0.0,HAR-P00087,Matched
PRG-COMM-202510,PRG,2025-10-31,PRG-AUTO-4207370,Tri-State Supply Inc.,RN,87816,10.0,8781.6,8781.6,0.0,HAR-P00094,Matched
AMT-COMM-202511,AMT,11/30/2025,AMT-WC-7809356,Heritage Manufacturing Inc.,RN,143576,10.0,14357.6,14357.6,0.0,HAR-P00046,Matched
AMT-COMM-202602,AMT,2026-02-28,AMT-WC-2131117,Liberty Electric Co.,RN,87489,10.0,8748.9,8748.9,0.0,HAR-P00004,Matched
AMT-COMM-202603,AMT,2026-03-31,AMT-BOP-3744466,Keystone State Hardware LLC,RN,4661,10.0,466.1,466.1,0.0,HAR-P00014,Matched
MKL-COMM-202510,MKL,2025-10-31,MKL-UMB-2387966,Blue Ridge Electric LP,RN,16495,12.0,1979.4,1979.4,0.0,HAR-P00009,Matched
MKL-COMM-202511,MKL,11/30/25,MKL-PL-5526497,Coastal Community Services LP,RN,20661,12.0,2479.32,2479.32,0.0,HAR-P00077,Matched
MKL-COMM-202511,MKL,2025-11-30,MKL-PL-9312741,Lakeshore Software Corp.,RN,32033,12.0,3843.96,3843.96,0.0,HAR-P00089,Matched
GRD-COMM-202601,GRD,2026-01-31,GRD-WC-3894019,Lakeshore Electric Inc.,RN,111222,11.0,12234.42,12234.42,0.0,HAR-P00034,Matched
GRD-COMM-202601,GRD,2026-01-31,GRD-WC-8470777,Summit Hotels LP,RN,179345,11.0,19727.95,19727.95,0.0,HAR-P00056,Matched
GRD-COMM-202601,GRD,2026-01-31,GRD-WC-9264864,Beacon Electric LLC,NB,43300,11.0,4763.0,4763.0,0.0,HAR-P00080,Matched
GRD-COMM-202602,GRD,2026-02-28,GRD-WC-1918578,Coastal Supply LP,RN,110283,11.0,12131.13,12131.13,0.0,HAR-P00025,Matched
GRD-COMM-202602,GRD,2026-02-28,GRD-BOP-9955713,Suncoast Dental Partners PA,RN,6420.0,12.0,770.4,,,,Unmatched - policy not in book
