Ap Invoice Id,Vendor Id,Vendor Name,Invoice Number,Invoice Date,Due Date,Amount,Gl Account,Approved By,Status,Paid Date,Payment Method,Category
AP00001,V001,IRON MOUNTAIN INFO MGMT,408068,2025-04-08,2025-05-08,275,6700,Nancy Scott,Paid,2025-05-11,Check,Records Storage / Shredding
AP00002,V002,Staples Advantage,921808,2025-04-12,2025-05-12,248,6700,Ashley Wilson,Paid,2025-05-14,Corporate Card,Office Supplies
AP00003,V004,Grainger Consulting Group,796532,2025-04-07,2025-05-07,2415,6700,Susan Rodriguez,Paid,06-May-2025,Check,HR Consulting
AP00004,V005,Landlord - Constitution Plaza Assoc.,917958,2025-04-30,2025-05-30,13000,6300,Priya Garcia,Paid,24-May-2025,Check,Rent
AP00005,V006,TECO Energy,964631,2025-04-08,2025-05-08,613,6700,Susan Fitzgerald,Paid,2025-05-20,Corporate Card,Utilities
AP00006,V007,Comcast Business,255544,2025-04-17,2025-05-17,1368,6700,Ashley Wilson,Paid,2025-05-23,Corporate Card,Telecom / Internet
AP00007,V009,Big I FL,952385,2025-04-12,2025-05-12,1291,6500,Sarah King,Paid,2025-05-22,Corporate Card,Association Dues
AP00008,V010,Westport Insurance Corp (Swiss Re),178503,2025-04-09,2025-05-09,3500.0,6650,Priya Garcia,Paid,2025-05-24,ACH,E&O Insurance
AP00009,V011,Shred-it,32730,2025-04-11 ,2025-05-11,133,6700,Ashley Fitzgerald,Paid,2025-05-04,ACH,Shredding
AP00010,V012,Aramark Refreshments,226604,2025-04-05,05-May-2025,211,6700,Matthew Jones,Paid,"May 19, 2025",ACH,Office
AP00011,V001,IRON MOUNTAIN INFO MGMT,200711,2025-05-16,2025-06-15,530,6700,Priya Wilson,Paid,2025-06-24,ACH,Records Storage / Shredding
AP00012,V002,Staples Advantage,803927,"May 24, 2025",2025-06-23,214,6700,Jessica Schneider,Paid,2025-07-03,ACH,Office Supplies
AP00013,V005,Landlord - Constitution Plaza Assoc.,228041,2025-05-22,2025-06-21,11000,6300,William Allen,Paid,2025-06-12,ACH,Rent
AP00014,V006,TECO Energy,928414,2025-05-22,2025-06-21,1567,6700,Robert Johnson,Paid,2025-06-30,Corporate Card,Utilities
AP00015,V007,Comcast Business,37481,2025-05-22,2025-06-21,1352,6700 ,Jessica Schneider,Paid,2025-06-12,Check,Telecom / Internet
AP00016,V008,Kaplan & Sons CPA,569689,2025-05-14,2025-06-13,2362,6500,Priya Martinez ,Paid,2025-06-11,ACH,Professional Fees
AP00017,V011,Shred-it,661861,2025-05-15,2025-06-14,126,6700,Ashley Fitzgerald,Paid,2025-06-24,Corporate Card,Shredding
AP00018,V012,Aramark Refreshments,400431,2025-05-06,2025-06-05,193,6700,Priya Garcia,Paid,2025-06-19,ACH,Office
AP00019,V013,Local Print Shop,252465,2025-05-28,2025-06-27,1067,6700,Susan Fitzgerald,Paid,2025-06-25,Check,Marketing
AP00020 ,V001,IRON MOUNTAIN INFO MGMT,101713,2025-06-06,07/06/25,400,6700,Matthew Choi,Paid,2025-07-03,Check,Records Storage / Shredding
AP00021,V002,Staples Advantage,804809,2025-06-21,2025-07-21,261,6700,Sandra White,Paid,2025-07-24,Check,Office Supplies
AP00022,V003,Waste Management Inc of Florida,944236,2025-06-04,2025-07-04,569,6700,Jessica Schneider,Paid,2025-06-29,Check,Waste / Recycling
AP00023,V005,Landlord - Constitution Plaza Assoc.,716836,2025-06-15,2025-07-15,17000,6300,Sandra White,Paid,2025-07-14,Check,Rent
AP00024,V006,TECO Energy,998744,2025-06-26,2025-07-26,1846,6700 ,Jessica Schneider,Paid,2025-08-06,Corporate Card,Utilities
AP00025,V007,Comcast Business,363730,06/10/2025,2025-07-10,804,6700,Ashley Fitzgerald,Paid,2025-07-19,ACH,Telecom / Internet
AP00026,V011,Shred-it,144852,2025-06-16,2025-07-16,104,6700,Luis Jones,Paid,2025-07-10,Corporate Card,Shredding
AP00027,V012,Aramark Refreshments,550869,2025-06-17,2025-07-17,315,6700,Ashley Wilson,Paid,2025-07-15,Corporate Card,Office
AP00028,V001,IRON MOUNTAIN INFO MGMT,340780,2025-07-10,2025-08-09,275,6700,Sarah King,Paid,2025-08-11,Corporate Card,Records Storage / Shredding
AP00029,V002,Staples Advantage,537114 ,07/21/2025,2025-08-20,610,6700,Elena Jackson,Paid,2025-09-03,Corporate Card,Office Supplies
AP00030,V005,Landlord - Constitution Plaza Assoc.,293983,07/07/2025,2025-08-06,7000,6300,Patricia Thomas,Paid,2025-08-19,Check,Rent
AP00031,V006,TECO Energy,377626,2025-07-04,2025-08-03,1798,6700,Carlos Harris,Paid,2025-08-11,Corporate Card,Utilities
AP00032,V007,Comcast Business,229171,2025-07-09,2025-08-08,1616,6700,Priya Garcia,Paid,2025-08-21,ACH,Telecom / Internet
AP00033,V011,Shred-it,224044,2025-07-10,2025-08-09,99,6700,Elena Jackson,Paid,2025-08-03,Check,Shredding
AP00034,V012,Aramark Refreshments,346906,2025-07-13,08/12/2025,98,6700,Nancy Scott,Paid,2025-08-13,Check,Office
AP00035,V001,IRON MOUNTAIN INFO MGMT,276496,2025-08-12,2025-09-11,516,6700,Luis Jones,Paid,2025-09-07,Corporate Card,Records Storage / Shredding
AP00036,V002,Staples Advantage,125858,2025-08-16,2025-09-15,767,6700,Patricia Thomas,Paid,2025-09-10,Check,Office Supplies
AP00037,V005,Landlord - Constitution Plaza Assoc.,895788,2025-08-18,2025-09-17,19000,6300,Priya Garcia,Paid,2025-09-19,Corporate Card,Rent
AP00038,V006,TECO Energy,966091,2025-08-22,2025-09-21,870,6700,Susan Fitzgerald,Paid,2025-10-03,ACH,Utilities
