Account,Date,Description,Amount,Balance
Premium Trust Acct x4471,2025-04-14,DEPOSIT ACH IMPERIAL PFS PF711005,75828,488328.0
Premium Trust Acct x4471,2025-04-23,DEPOSIT CHECK ALLIED FREIGHT SYSTEMS CHK 23882,63801.0,552129.0
Premium Trust Acct x4471,2025-05-03,DEPOSIT CHECK SUMMIT HOTELS LP ACH709839515,45515.0,597644.0
Premium Trust Acct x4471,2025-06-01,DEPOSIT ACH HERITAGE AUTOMOTIVE LP CHK 14463,11125.0,608769.0
Premium Trust Acct x4471,2025-06-30,DEPOSIT CHECK HERITAGE MANUFACTURING ACH159268629,29333.14,638102.14
Premium Trust Acct x4471,"Jul 16, 2025",DEPOSIT ACH STERLING TRANSPORT LLC CHK 31783,26896.0,664998.14
Premium Trust Acct x4471,2025-07-17,DEPOSIT ACH GRANITE PROPERTIES INC ACH354583914,17709.0,682707.14
Premium Trust Acct x4471,2025-08-02,DEPOSIT CREDIT CARD SUMMIT ELECTRIC INC. ACH512880193,8083.0,690790.14
Premium Trust Acct x4471 ,2025-08-20,DEPOSIT CREDIT CARD SUMMIT SOFTWARE CO. CHK 60087,17202.0,707992.14
Premium Trust Acct x4471,2025-08-23 ,DEPOSIT CREDIT CARD RIVERSIDE ASSOCIATES I CHK 37613 ,4733.0,712725.14
Premium Trust Acct x4471,2025-08-26,DEPOSIT WIRE GRANITE PROPERTIES INC CHK 85890,12233.0,724958.14
Premium Trust Acct x4471,2025-09-08,DEPOSIT ACH AFCO PF409124,52040,776998.14
Premium Trust Acct x4471,2025-09-13,DEPOSIT ACH BEACON MARINE LLC ACH577333439,63846.0,840844.14
Premium Trust Acct x4471,2025-09-23,DEPOSIT WIRE COASTAL COMMUNITY SERV ACH252964376,17427.0,858271.14
Premium Trust Acct x4471,2025-09-24,DEPOSIT ACH BLUE RIDGE MEDICAL GRO CHK 58096,14624.0,872895.14
Premium Trust Acct x4471,2025-10-18,DEPOSIT CREDIT CARD HIGHLAND MANUFACTURING ACH155944873,2760.75,875655.89
Premium Trust Acct x4471,10/21/2025,DEPOSIT ACH ALLIED FREIGHT SYSTEMS CHK 16686,33781.0,909436.89
Premium Trust Acct x4471,2025-11-05,DEPOSIT ACH PIONEER COMMUNITY SERV ACH883862396,11976.09,921412.98
Premium Trust Acct x4471,2025-11-11,DEPOSIT WIRE LAKESHORE ELECTRIC INC CHK 36509,22406.0,943818.98
Premium Trust Acct x4471,2025-11-22,ACH DEBIT HIG ACCT CURRENT HIG-STMT-202510,-45388.22,1251288.44
Premium Trust Acct x4471,2025-11-30,DEPOSIT WIRE ANCHOR ELECTRIC CO. ACH928223733,26959.13,970778.11
Premium Trust Acct x4471,12/02/25,DEPOSIT ACH BLUE RIDGE MEDICAL GRO CHK 11047,19496.0,990274.11
Premium Trust Acct x4471,2025-12-03,DEPOSIT CREDIT CARD LAKESHORE SOFTWARE COR CHK 18738,11343.0,1001617.11
Premium Trust Acct x4471,2025-12-05 ,ACH DEBIT MKL ACCT CURRENT MKL-STMT-202510,-19382.0,1114421.86
Premium Trust Acct x4471,2025-12-22,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202511,-9981.84,1200636.34
Premium Trust Acct x4471,"Dec 23, 2025",ACH DEBIT MKL ACCT CURRENT MKL-STMT-202511,-21815.2,1092606.66
Premium Trust Acct x4471,2025-12-26,DEPOSIT WIRE KEYSTONE STATE MARINE  CHK 40417,75308.0,1076925.11
Premium Trust Acct x4471,2025-12-27,ACH DEBIT TRV ACCT CURRENT TRV-STMT-202511,-19362.72,1039461.62
Premium Trust Acct x4471,2025-12-31,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202511,-65894.5,1455798.04
Premium Trust Acct x4471,2026-01-15,DEPOSIT CHECK GRANITE PROPERTIES INC CHK 57720,7299,1084224.11
Premium Trust Acct x4471,2026-01-17,DEPOSIT ACH IMPERIAL PFS PF697081,61181,1145405.11
Premium Trust Acct x4471,2026-01-24,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202512,-53533.38,1402264.66
Premium Trust Acct x4471,2026-02-01,DEPOSIT ACH FIRST INSURANCE FUNDIN PF327160,63489,1208894.11
Premium Trust Acct x4471,2026-02-03,DEPOSIT ACH BEACON ASSOCIATES LLC CHK 38440,34370.44,1243264.55
Premium Trust Acct x4471 ,2026-02-04,DEPOSIT CHECK KEYSTONE STATE MARINE  CHK 37034,6553.5,1249818.05
Premium Trust Acct x4471,2026-02-04,DEPOSIT CHECK SUMMIT HOTELS LP ACH158688831,7377.6,1257195.65
Premium Trust Acct x4471,2026-02-06,DEPOSIT CHECK NORTHGATE AUTOMOTIVE C CHK 96712,4352,1261547.65
Premium Trust Acct x4471,2026-02-08,ACH DEBIT MKL ACCT CURRENT MKL-STMT-202512,-5969.92,1086636.74
Premium Trust Acct x4471,2026-02-13,DEPOSIT ACH BLUE RIDGE MEDICAL GRO ACH664719562,16500.0,1278047.65
Premium Trust Acct x4471,02/15/26,DEPOSIT ACH AFCO PF138020,47791,1325838.65
Premium Trust Acct x4471,2026-02-18,DEPOSIT CREDIT CARD BEACON MEDICAL GROUP I ACH246887041,24732.0,1350570.65
Premium Trust Acct x4471,2026-02-21,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202601,-80344.25,1321920.41
Premium Trust Acct x4471,2026-02-25,DEPOSIT WIRE LAKESHORE SOFTWARE COR CHK 67353,15059.0,1365629.65
Premium Trust Acct x4471,2026-02-25,DEPOSIT ACH TRI-STATE SUPPLY INC. ACH460472095,38036.0,1403665.65
Premium Trust Acct x4471,26-Feb-2026,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202601,-66832.48,1133803.86
Premium Trust Acct x4471,2026-03-04,ACH DEBIT HIG ACCT CURRENT HIG-STMT-202601,-40670.26,1210618.18
Premium Trust Acct x4471,2026-03-04,ACH DEBIT MKL ACCT CURRENT MKL-STMT-202601,-27812.4,1058824.34
Premium Trust Acct x4471,2026-03-06,DEPOSIT ACH FIRST INSURANCE FUNDIN PF964584,52156,1455821.65
Premium Trust Acct x4471,"Mar 20, 2026",DEPOSIT CHECK RIVERSIDE ASSOCIATES I CHK 94756,8996.0,1464817.65
Premium Trust Acct x4471,2026-03-22 ,DEPOSIT ACH BEACON ASSOCIATES LLC ACH906625820,1323.75,1466141.4
Premium Trust Acct x4471,24-Mar-2026,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202602,-25243.75,1296676.66
Premium Trust Acct x4471 ,2026-03-28,DEPOSIT CHECK HERITAGE AUTOMOTIVE LP CHK 85245,47707.0,1513848.4
Premium Trust Acct x4471,2026-04-11,DEPOSIT ACH BEACON ELECTRIC LLC ACH858909059,7844.14,1521692.54
