Document Id,Client Id,Policy Id,Document Type,File Name,Received Date,Source,Indexed By,Pages
DOC-HAR-P00001-POL,HAR-C0001,HAR-P00001,Policy,TRV-PROP-4655592_Policy.pdf,2025-05-14,Carrier download,E009,94
DOC-HAR-P00001-APP,HAR-C0001,HAR-P00001,ACORD 125 Application,HAR-C0001_ACORD125_2025.pdf,08-Feb-2025,Email attachment,E009,5
DOC-HAR-P00002-POL,HAR-C0001,HAR-P00002,Policy,TRV-WC-9728990_Policy.pdf,2026-04-21,Email attachment,E009,24
DOC-HAR-P00003-POL,HAR-C0002,HAR-P00003,Policy,HIG-GL-5726907_Policy.pdf ,"Mar 12, 2026",Carrier download,E012,31
DOC-HAR-P00003-APP,HAR-C0002,HAR-P00003,ACORD 125 Application,HAR-C0002_ACORD125_2026.pdf,2025-12-31,Email attachment,E012,8
DOC-HAR-P00004-POL,HAR-C0002,HAR-P00004,Policy,AMT-WC-2131117_Policy.pdf,2026-03-15,Email attachment,E012,138
DOC-HAR-P00004-APP,HAR-C0002,HAR-P00004,ACORD 125 Application,HAR-C0002_ACORD125_2026.pdf,12/06/25,Email attachment,E012,4
DOC-HAR-P00005-POL,HAR-C0002,HAR-P00005,Policy,LIB-AUTO-4575859_Policy.pdf,2025-09-23,Carrier download,E012,57
DOC-HAR-P00006-POL,HAR-C0002,HAR-P00006,Policy,TRV-UMB-6583661_Policy.pdf,2025-10-14,Carrier download,E012,58
DOC-HAR-P00007-POL,HAR-C0003,HAR-P00007,Policy,TRV-GL-5190492_Policy.pdf,2025-10-12,Email attachment,E011,106
DOC-HAR-P00008-POL,HAR-C0003,HAR-P00008,Policy,LIB-AUTO-7275574_Policy.pdf,2026-02-13,Email attachment,E011,134
DOC-HAR-P00008-APP,HAR-C0003,HAR-P00008,ACORD 125 Application,HAR-C0003_ACORD125_2026.pdf,2025-11-20,Email attachment,E011,10
DOC-HAR-P00009-POL,HAR-C0003,HAR-P00009,Policy,MKL-UMB-2387966_Policy.pdf,2025-12-01,Carrier download,E011,103
DOC-HAR-P00010-POL,HAR-C0004,HAR-P00010,Policy,CNA-PL-3187222_Policy.pdf,2026-03-26,Carrier download,E007,26
DOC-HAR-P00011-POL,HAR-C0004,HAR-P00011,Policy,TRV-GL-2343265_Policy.pdf,2026-04-15,Carrier download,E007,63
DOC-HAR-P00011-APP,HAR-C0004,HAR-P00011,ACORD 125 Application,HAR-C0004_ACORD125_2026.pdf,01/08/26,Email attachment,E007,5
DOC-HAR-P00012-POL,HAR-C0004,HAR-P00012,Policy,CNA-CYB-7229646_Policy.pdf,09/05/25,Email attachment,E007,103
DOC-HAR-P00013-POL,HAR-C0004,HAR-P00013,Policy,NAT-WC-4302519_Policy.pdf,2026-05-06,Carrier download,E007,138
DOC-HAR-P00013-APP,HAR-C0004,HAR-P00013,ACORD 125 Application,HAR-C0004_ACORD125_2026.pdf,2026-01-19,Email attachment,E007,8
DOC-HAR-P00014-POL,HAR-C0005,HAR-P00014,Policy,AMT-BOP-3744466_Policy.pdf,2026-03-23,Carrier download,E008,95
DOC-HAR-P00015-POL,HAR-C0005,HAR-P00015,Policy,GRD-WC-8628494_Policy.pdf,25-Sep-2025,Email attachment ,E008,97
DOC-HAR-P00016-POL,HAR-C0006,HAR-P00016,Policy,HIG-PROP-2421252_Policy.pdf,2025-10-25,Email attachment,E012,128
DOC-HAR-P00017-POL,HAR-C0006,HAR-P00017,Policy,NAT-GL-1622015_Policy.pdf,02-Jun-2025,Carrier download,E012,106
DOC-HAR-P00018-POL,HAR-C0007,HAR-P00018,Policy,LIB-GL-4401918_Policy.pdf,2026-02-15,Carrier download,E011,82
DOC-HAR-P00018-APP,HAR-C0007,HAR-P00018,ACORD 125 Application,HAR-C0007_ACORD125_2026.pdf,2025-12-18,Email attachment,E011,7
DOC-HAR-P00019-POL,HAR-C0007,HAR-P00019,Policy,CNA-PROP-9567586_Policy.pdf,2025-11-29,Carrier download,E011,100
DOC-HAR-P00020-POL,HAR-C0007,HAR-P00020,Policy,NAT-WC-4834651_Policy.pdf,2026-04-08,Email attachment,E011 ,102
DOC-HAR-P00021-POL,HAR-C0007,HAR-P00021,Policy,LIB-AUTO-1715253_Policy.pdf,"Oct 18, 2025",Carrier download,E011,134
DOC-HAR-P00022-POL,HAR-C0008,HAR-P00022,Policy,CNA-PROP-2985547_Policy.pdf,2025-11-18,Email attachment,E009,88
DOC-HAR-P00023-POL,HAR-C0008,HAR-P00023,Policy,CNA-GL-6612429_Policy.pdf,2026-02-18,Carrier download,E009,119
DOC-HAR-P00023-APP,HAR-C0008,HAR-P00023,ACORD 125 Application,HAR-C0008_ACORD125_2025.pdf,2025-10-26,Email attachment,E009,11
DOC-HAR-P00024-POL,HAR-C0008,HAR-P00024,Policy,PRG-AUTO-1454561_Policy.pdf,2025-06-29,Email attachment,E009,87
DOC-HAR-P00025-POL,HAR-C0008,HAR-P00025,Policy,GRD-WC-1918578_Policy.pdf,2026-04-01,Carrier download,E009,45
DOC-HAR-P00025-APP,HAR-C0008,HAR-P00025,ACORD 125 Application,HAR-C0008_ACORD125_2026.pdf,2025-12-22,Email attachment,E009,10
DOC-HAR-P00026-POL,HAR-C0009,HAR-P00026,Policy,CNA-PL-8595637_Policy.pdf,2025-08-16,Carrier download,E010,106
DOC-HAR-P00026-APP,HAR-C0009,HAR-P00026,ACORD 125 Application,HAR-C0009_ACORD125_2025.pdf,2025-04-20,Email attachment,E010,7
DOC-HAR-P00027-POL,HAR-C0009,HAR-P00027,Policy,CNA-GL-2791162_Policy.pdf,2025-09-12,Email attachment,E010,81
DOC-HAR-P00028-POL,HAR-C0009,HAR-P00028,Policy,CNA-CYB-9479742_Policy.pdf,03/02/2026,Carrier download,E010,46
DOC-HAR-P00028-APP,HAR-C0009,HAR-P00028,ACORD 125 Application,HAR-C0009_ACORD125_2026.pdf,2025-11-23,Email attachment,E010,5
