Event Id,Workflow Type,Object Type,Object Id,Timestamp,Actor,Action,Previous State,New State,Source Document,Confidence,Requires Review
EV000153,marketing,submission,HAR-S00084,2025-01-28T14:00:00,E008,submitted,draft,submitted,HAR-S00084_package.pdf,1.0,N
EV000154,marketing,submission,HAR-S00084,2025-01-29T10:00:00,carrier:NAT ,acknowledged,submitted,acknowledged,,1.0,N
EV000114,marketing,submission,HAR-S00062,2025-01-31T11:00:00 ,E010,submitted,draft ,submitted,HAR-S00062_package.pdf,1.0,N
EV000115,marketing,submission,HAR-S00062,2025-02-03T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000151,marketing,submission,HAR-S00082,2025-02-10T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000150,marketing,submission,HAR-S00082,2025-02-10T13:00:00,E008,submitted,draft,submitted,HAR-S00082_package.pdf,1.0,N
EV000155,marketing,submission ,HAR-S00085,2025-02-10T14:00:00,E008,submitted,draft,submitted,HAR-S00085_package.pdf,1.0,N
EV000156,marketing,submission,HAR-S00085,2025-02-12T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000152,marketing,submission,HAR-S00083,2025-02-18T12:00:00,E008,submitted,draft,submitted,HAR-S00083_package.pdf,1.0,N
EV000048,marketing,submission,HAR-S00027,2025-02-20T08:00:00,E009,submitted,draft,submitted,HAR-S00027_package.pdf,1.0,N
EV000252,quote,quote,HAR-S00084-Q1,2025-02-21T11:00:00,carrier:NAT,quote_received,,received,HAR-S00084-Q1.pdf,0.92,N
EV000049,marketing,submission,HAR-S00027,2025-02-22T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000027,marketing,submission,HAR-S00016,2025-02-23T14:00:00,E012,submitted,draft,submitted,HAR-S00016_package.pdf,1.0,N
EV000028,marketing,submission,HAR-S00016,2025-02-25T10:00:00,carrier:HIG,acknowledged,submitted ,acknowledged,,1.0,N
EV000191,marketing,submission,HAR-S00103,2025-03-03T15:00:00,E010,submitted,draft,submitted,HAR-S00103_package.pdf,1.0,N
EV000192,marketing,submission ,HAR-S00103,2025-03-05T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000044,marketing,submission,HAR-S00025,2025-03-05T11:00:00,E009,submitted,draft,submitted,HAR-S00025_package.pdf,1.0,N
EV000045,marketing,submission,HAR-S00025,2025-03-06T10:00:00,carrier:PRG,acknowledged,submitted,acknowledged,,1.0,N
EV000113,marketing,submission,HAR-S00061,2025-03-08T14:00:00,E010,submitted,draft,submitted,HAR-S00061_package.pdf,1.0,N
EV000046,marketing,submission,HAR-S00026,2025-03-09T08:00:00,E009,submitted,draft,submitted,HAR-S00026_package.pdf,1.0,N
EV000047,marketing,submission,HAR-S00026,2025-03-11T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000170,marketing,submission,HAR-S00092,2025-03-11T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
