activity_id,client_id,activity_date,activity_type,logged_by,minutes_spent,follow_up_due,closed
ACT00001,MER-C0014,2025-10-02,Note - client added location,E007,60,,Y
ACT00002,MER-C0035,2025-12-23,Email - auto ID card request,E020,20,2025-12-27,Y
ACT00003,MER-C0011,2026-01-22,Phone call - coverage question,E009,5,2026-01-24,Y
ACT00004,MER-C0038,2025-10-24,Email - auto ID card request,E016,60,,Y
ACT00005,MER-C0011,2026-03-29,Phone call - coverage question,E005,15,,N
ACT00006,MER-C0029,2026-02-25,Task - follow up on unpaid invoice,E031,10,2026-03-10,Y
ACT00007,MER-C0024,2026-01-07,Task - follow up on unpaid invoice,E009,15,,Y
ACT00008,MER-C0015,2025-10-26,Task - follow up on unpaid invoice,E023,60,,Y
ACT00009,MER-C0038,2026-01-23,Phone call - claim reported,E012,5,,Y
ACT00010,MER-C0005,2026-02-12,Note - client added location,E005,30,,Y
ACT00011,MER-C0019,2026-01-03,Task - follow up on unpaid invoice,E024,45,,Y
ACT00012,MER-C0017,2025-12-22,Task - follow up on unpaid invoice,E017,10,,Y
ACT00013,MER-C0037,2026-03-23,Email - loss run request to carrier,E010,15,,Y
ACT00014,MER-C0003,2026-03-02,Phone call - claim reported,E015,15,,Y
ACT00015,MER-C0003,2026-02-18,Email - policy copy request,E001,15,,Y
ACT00016,MER-C0025,2026-02-14,Phone call - coverage question,E014,30,2026-02-26,Y
ACT00017,MER-C0033,2026-01-29,Email - certificate request,E009,30,2026-02-08,Y
ACT00018,MER-C0014,2026-03-08,Email - policy copy request,E009,45,,Y
ACT00019,MER-C0007,2026-03-27,Phone call - claim reported,E004,15,,N
ACT00020,MER-C0034,2026-01-08,Task - follow up on unpaid invoice,E009,5,2026-01-12,Y
ACT00021,MER-C0014,2026-03-20,Email - billing inquiry,E020,15,2026-03-25,Y
ACT00022,MER-C0032,2026-01-08,Email - certificate request,E019,30,2026-01-14,Y
ACT00023,MER-C0010,2026-03-23,Email - auto ID card request,E022,15,,Y
ACT00024,MER-C0022,2026-01-23,Email - loss run request to carrier,E012,30,,Y
ACT00025,MER-C0029,2026-02-10,Note - client added location,E020,5,2026-02-24,Y
ACT00026,MER-C0012,2026-02-26,Meeting - renewal review,E030,20,,Y
ACT00027,MER-C0008,2026-01-13,Email - policy copy request,E014,20,,Y
ACT00028,MER-C0006,2026-02-17,Email - loss run request to carrier,E003,15,,Y
ACT00029,MER-C0005,2026-02-21,Meeting - renewal review,E008,5,,Y
ACT00030,MER-C0024,2025-12-07,Email - loss run request to carrier,E018,10,2025-12-16,Y
ACT00031,MER-C0021,2026-03-09,Phone call - claim reported,E025,10,,Y
ACT00032,MER-C0028,2026-01-28,Email - auto ID card request,E015,20,,Y
ACT00033,MER-C0018,2025-12-23,Email - loss run request to carrier,E029,20,2026-01-04,Y
ACT00034,MER-C0035,2025-12-07,Phone call - coverage question,E012,10,,Y
ACT00035,MER-C0010,2026-02-07,Task - follow up on unpaid invoice,E005,15,,Y
ACT00036,MER-C0004,2026-01-27,Meeting - renewal review,E018,20,,Y
ACT00037,MER-C0023,2025-12-25,Email - auto ID card request,E002,60,,Y
ACT00038,MER-C0019,2026-03-16,Email - billing inquiry,E009,5,,Y
ACT00039,MER-C0014,2026-01-09,Email - loss run request to carrier,E006,15,,Y
ACT00040,MER-C0036,2026-03-30,Email - billing inquiry,E017,60,,N
ACT00041,MER-C0002,2025-11-21,Note - client added location,E009,45,,Y
ACT00042,MER-C0008,2026-03-27,Email - billing inquiry,E016,60,,N
ACT00043,MER-C0027,2025-11-26,Email - policy copy request,E002,45,2025-12-07,Y
ACT00044,MER-C0011,2026-03-01,Email - auto ID card request,E018,5,2026-03-11,Y
ACT00045,MER-C0020,2026-03-14,Email - policy copy request,E020,20,2026-03-16,Y
ACT00046,MER-C0033,2026-02-27,Meeting - renewal review,E027,10,,Y
ACT00047,MER-C0028,2025-10-27,Meeting - renewal review,E011,10,,Y
ACT00048,MER-C0015,2026-01-19,Phone call - claim reported,E028,20,2026-01-27,Y
ACT00049,MER-C0010,2025-11-09,Meeting - renewal review,E018,5,,Y
ACT00050,MER-C0024,2025-12-05,Email - billing inquiry,E010,5,,Y
ACT00051,MER-C0019,2026-02-05,Email - billing inquiry,E018,45,,Y
ACT00052,MER-C0014,2025-12-22,Email - policy copy request,E031,60,,Y
ACT00053,MER-C0024,2025-12-24,Note - client added location,E003,60,,Y
ACT00054,MER-C0016,2025-11-16,Email - auto ID card request,E032,20,,Y
ACT00055,MER-C0033,2025-11-23,Email - loss run request to carrier,E009,10,2025-12-07,Y
ACT00056,MER-C0012,2026-03-03,Phone call - claim reported,E029,15,,Y
ACT00057,MER-C0004,2025-11-03,Phone call - coverage question,E018,30,,Y
ACT00058,MER-C0026,2025-10-29,Phone call - claim reported,E018,5,,Y
ACT00059,MER-C0010,2026-01-02,Email - policy copy request,E026,30,,Y
ACT00060,MER-C0034,2025-10-27,Email - policy copy request,E013,20,,Y
ACT00061,MER-C0020,2026-03-14,Email - policy copy request,E013,45,,Y
ACT00062,MER-C0011,2026-02-13,Meeting - renewal review,E020,15,,Y
ACT00063,MER-C0037,2026-02-16,Phone call - coverage question,E013,5,,Y
