client_id,client_name,dba_name,fein,naics_code,industry,annual_revenue,employee_count,billing_street,billing_city,billing_state,billing_zip,producer_id,producer_name,account_manager_id,account_manager_name,client_since,status,lines_of_business,source
MER-C0001,Liberty Electric Inc.,,43-2902929,238210,Contractors - Electrical,22100000,188,1206 Mill St,Hartford,CT,06170,E003,Joseph Garcia,E011,Mark Miller,2023-07-17,Active,"GL,WC,AUTO,UMB",BOR
MER-C0002,Evergreen Electric LLC,,10-9519203,238220,Contractors - HVAC/Plumbing,2800000,13,1076 Washington St,Hartford,CT,06120,E008,Donna Robinson,E021,Matthew Jones,2023-07-06,Active,"GL,WC,AUTO,UMB",BOR
MER-C0003,Sterling Hotels Corp.,,36-4569774,721110,Hospitality - Hotels,87700000,433,6213 Front St,Worcester,MA,01662,E002,Karen Delgado,E009,Robert Miller,2025-04-09,Active,"PROP,GL,WC,UMB",Walk-in
MER-C0004,Pioneer Automotive Inc.,,44-2005121,811111,Auto Repair,80300000,666,3273 Elm St,Albany,NY,12223,E002,Karen Delgado,E021,Matthew Jones,2024-12-18,Active,"GL,PROP,WC",Cold Outreach
MER-C0005,Blue Ridge Manufacturing Inc.,,38-8784187,326199,Manufacturing - Plastics,77300000,550,3897 Market St,Albany,NY,12253,E008,Donna Robinson,E013,Thomas Walker,2018-11-03,Active,"PROP,GL,WC",BOR
MER-C0006,Summit Associates Corp.,,37-7312195,541211,Professional Services - Accounting,64400000,421,3975 Airport Rd,Providence,RI,02925,E007,Omar Clark,E014,Linda Thompson,2021-12-13,Active,"PL,CYB,BOP",Cold Outreach
MER-C0007,Ironclad Supply LP,,72-2829963,423840,Wholesale - Industrial Supplies,28200000,128,2226 Harbor Dr,Hartford,CT,06188,E008,Donna Robinson,E016,Sarah Hernandez,2019-05-17,Active,"PROP,GL,AUTO,WC",BOR
MER-C0008,Sterling Automotive Inc.,,97-3286214,811111,Auto Repair,29900000,225,263 Commerce Blvd,Worcester,MA,01618,E002,Karen Delgado,E016,Sarah Hernandez,2023-03-16,Active,"GL,PROP,WC",Walk-in
MER-C0009,Pioneer Supply LLC,,92-8165250,423840,Wholesale - Industrial Supplies,79300000,368,4651 Washington St,Worcester,MA,01698,E007,Omar Clark,E020,Emily Scott,2015-01-02,Active,"PROP,GL,AUTO,WC",Association
MER-C0010,Valley Electric Corp.,,37-8801554,236220,Contractors - General Building,65500000,312,1447 Maple Dr,Albany,NY,12255,E008,Donna Robinson,E018,Carlos Nakamura,2010-05-24,Active,"GL,WC,AUTO,UMB,PROP",BOR
MER-C0011,Metro Software LLC,,72-2653662,541511,Technology - Software,47800000,308,242 Washington St,Providence,RI,02926,E002,Karen Delgado,E014,Linda Thompson,2017-04-19,Active,"CYB,PL,GL,DO",Association
MER-C0012,Bayside Automotive Corp.,,21-9263513,811111,Auto Repair,77900000,474,2190 Lincoln Ave,Albany,NY,12291,E002,Karen Delgado,E015,Mark Anderson,2009-12-25,Active,"GL,PROP,WC",Association
MER-C0013,Coastal Medical Group Co.,,85-2537726,621498,Healthcare - Outpatient Clinic,56100000,550,5565 Lincoln Ave,Worcester,MA,01621,E002,Karen Delgado,E014,Linda Thompson,2010-01-10,Active,"PL,GL,PROP,CYB,WC",Association
MER-C0014,Summit Supply Inc.,,53-5660388,423840,Wholesale - Industrial Supplies,26500000,246,8040 Airport Rd,Providence,RI,02943,E006,Betty Delgado,E009,Robert Miller,2017-05-24,Active,"PROP,GL,AUTO,WC",Association
MER-C0015,Ironclad Electric LLC,,35-4752949,238220,Contractors - HVAC/Plumbing,46300000,331,2238 Mill St,Albany,NY,12246,E008,Donna Robinson,E019,Emily Hernandez,2014-12-13,Active,"GL,WC,AUTO,UMB",Association
MER-C0016,Summit Hospitality Group Inc.,,69-8789323,722511,Restaurants - Full Service,60000000,345,7149 Market St,Providence,RI,02977,E001,Mark Walker,E012,Jennifer Kowalski,2014-12-06,Active,"BOP,WC",Cold Outreach
MER-C0017,Evergreen Associates LP,,34-2480908,541211,Professional Services - Accounting,88200000,664,990 Technology Way,Providence,RI,02955,E006,Betty Delgado,E012,Jennifer Kowalski,2008-03-31,Active,"PL,CYB,BOP",Web
MER-C0018,Blue Ridge Transport Co.,,85-4547970,484121,Trucking - General Freight,49100000,239,5108 Technology Way,Worcester,MA,01638,E004,Susan Rodriguez,E013,Thomas Walker,2017-07-21,Active,"AUTO,GL,WC,UMB",BOR
