location_id,client_id,location_number,street,city,state,zip,occupancy,construction,year_built,square_feet,sprinklered,building_value,contents_value,business_income_value
MER-C0001-L1,MER-C0001,1,1206 Mill St,Hartford,CT,06170,Warehouse,Masonry Non-Combustible,1988,99602,N,0,350000,450000
MER-C0002-L1,MER-C0002,1,1076 Washington St,Hartford,CT,06120,Warehouse,Joisted Masonry,2014,91052,N,0,950000,650000
MER-C0003-L1,MER-C0003,1,6213 Front St,Worcester,MA,01662,Mixed Use,Fire Resistive,1953,115606,N,2450000,150000,50000
MER-C0003-L2,MER-C0003,2,3346 Market St,Albany,NY,12244,Warehouse,Non-Combustible,2009,26316,Y,2150000,775000,750000
MER-C0003-L3,MER-C0003,3,2922 Front St,Albany,NY,12280,Yard/Storage,Joisted Masonry,2004,44945,N,1800000,700000,150000
MER-C0004-L1,MER-C0004,1,3273 Elm St,Albany,NY,12223,Retail,Masonry Non-Combustible,2004,29551,N,850000,325000,1050000
MER-C0004-L2,MER-C0004,2,2226 Oak Ave,Worcester,MA,01699,Manufacturing,Joisted Masonry,1992,103624,Y,2500000,250000,550000
MER-C0005-L1,MER-C0005,1,3897 Market St,Albany,NY,12253,Manufacturing,Fire Resistive,2011,31574,N,2900000,650000,250000
MER-C0006-L1,MER-C0006,1,3975 Airport Rd,Providence,RI,02925,Office,Fire Resistive,1981,21636,Y,0,100000,1200000
MER-C0006-L2,MER-C0006,2,8643 Park Pl,Albany,NY,12294,Yard/Storage,Masonry Non-Combustible,2004,86036,N,0,175000,1450000
MER-C0006-L3,MER-C0006,3,4014 Commerce Blvd,Hartford,CT,06199,Warehouse,Fire Resistive,1969,25467,Y,0,800000,300000
MER-C0006-L4,MER-C0006,4,1064 Maple Dr,Worcester,MA,01613,Office,Non-Combustible,2016,52691,N,0,375000,200000
MER-C0007-L1,MER-C0007,1,2226 Harbor Dr,Hartford,CT,06188,Yard/Storage,Masonry Non-Combustible,1968,40384,N,1450000,250000,400000
MER-C0008-L1,MER-C0008,1,263 Commerce Blvd,Worcester,MA,01618,Manufacturing,Masonry Non-Combustible,1980,4726,N,6000000,225000,450000
MER-C0008-L2,MER-C0008,2,1154 Airport Rd,Providence,RI,02988,Manufacturing,Joisted Masonry,2004,84727,N,500000,800000,450000
MER-C0009-L1,MER-C0009,1,4651 Washington St,Worcester,MA,01698,Mixed Use,Non-Combustible,1976,91915,N,5600000,50000,650000
MER-C0009-L2,MER-C0009,2,4076 Lincoln Ave,Hartford,CT,06147,Retail,Frame,1966,94879,Y,1750000,825000,500000
MER-C0009-L3,MER-C0009,3,2926 Maple Dr,Worcester,MA,01624,Manufacturing,Non-Combustible,1977,33841,N,500000,225000,950000
MER-C0009-L4,MER-C0009,4,2253 Lincoln Ave,Worcester,MA,01634,Mixed Use,Non-Combustible,1961,25272,N,5900000,75000,750000
MER-C0010-L1,MER-C0010,1,1447 Maple Dr,Albany,NY,12255,Office,Non-Combustible,1999,37948,Y,5500000,675000,1050000
MER-C0010-L2,MER-C0010,2,1944 Mill St,Hartford,CT,06121,Retail,Frame,1995,80980,N,5600000,425000,650000
MER-C0010-L3,MER-C0010,3,178 Market St,Worcester,MA,01666,Retail,Non-Combustible,1987,43371,Y,2300000,25000,700000
MER-C0010-L4,MER-C0010,4,3815 Market St,Providence,RI,02944,Office,Masonry Non-Combustible,1952,11540,N,5750000,750000,1150000
MER-C0011-L1,MER-C0011,1,242 Washington St,Providence,RI,02926,Manufacturing,Fire Resistive,1987,71703,N,0,750000,800000
MER-C0012-L1,MER-C0012,1,2190 Lincoln Ave,Albany,NY,12291,Retail,Fire Resistive,2009,108914,Y,4100000,75000,1050000
MER-C0012-L2,MER-C0012,2,5399 Mill St,Albany,NY,12240,Mixed Use,Fire Resistive,1981,38380,Y,650000,400000,950000
MER-C0013-L1,MER-C0013,1,5565 Lincoln Ave,Worcester,MA,01621,Warehouse,Masonry Non-Combustible,2013,26691,Y,4750000,775000,0
MER-C0013-L2,MER-C0013,2,8521 Main St,Providence,RI,02952,Office,Frame,2018,14420,Y,4300000,125000,600000
MER-C0013-L3,MER-C0013,3,8140 Industrial Pkwy,Worcester,MA,01695,Yard/Storage,Joisted Masonry,2015,116031,N,3000000,250000,1500000
MER-C0014-L1,MER-C0014,1,8040 Airport Rd,Providence,RI,02943,Office,Non-Combustible,1969,11988,Y,5950000,925000,350000
MER-C0015-L1,MER-C0015,1,2238 Mill St,Albany,NY,12246,Office,Frame,1993,62661,Y,0,700000,350000
MER-C0016-L1,MER-C0016,1,7149 Market St,Providence,RI,02977,Warehouse,Frame,1966,27746,N,0,900000,900000
MER-C0017-L1,MER-C0017,1,990 Technology Way,Providence,RI,02955,Warehouse,Fire Resistive,1989,78826,N,0,925000,100000
MER-C0018-L1,MER-C0018,1,5108 Technology Way,Worcester,MA,01638,Yard/Storage,Masonry Non-Combustible,2010,98777,Y,0,375000,700000
MER-C0019-L1,MER-C0019,1,3056 Park Pl,Hartford,CT,06153,Retail,Fire Resistive,2006,119392,Y,0,700000,1200000
MER-C0020-L1,MER-C0020,1,186 Market St,Providence,RI,02938,Office,Non-Combustible,1996,16895,Y,1850000,425000,450000
MER-C0020-L2,MER-C0020,2,8594 Front St,Providence,RI,02915,Manufacturing,Non-Combustible,1953,58637,N,4300000,650000,600000
MER-C0020-L3,MER-C0020,3,3508 Industrial Pkwy,Providence,RI,02928,Mixed Use,Frame,1958,78769,N,1300000,600000,1200000
MER-C0021-L1,MER-C0021,1,7460 Maple Dr,Albany,NY,12286,Manufacturing,Fire Resistive,1971,105208,N,0,700000,1400000
