policy_id,coverage,limit,deductible,form,retro_date
MER-P00001,Each Occurrence,1000000,0,Claims-Made,
MER-P00001,General Aggregate,2000000,0,,
MER-P00001,Products-Completed Ops Aggregate,2000000,0,,
MER-P00001,Personal & Advertising Injury,1000000,0,,
MER-P00001,Damage to Rented Premises,100000,0,,
MER-P00001,Medical Expense,5000,0,,
MER-P00002,Employers Liability Each Accident,1000000,0,,
MER-P00002,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00003,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00003,Comprehensive,ACV,500,,
MER-P00003,Collision,ACV,5000,,
MER-P00004,Umbrella Each Occurrence,3000000,10000,Follow Form,
MER-P00004,Umbrella Aggregate,3000000,0,,
MER-P00005,Employers Liability Each Accident,1000000,0,,
MER-P00005,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00006,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00006,Comprehensive,ACV,500,,
MER-P00006,Collision,ACV,1000,,
MER-P00007,Umbrella Each Occurrence,10000000,10000,Follow Form,
MER-P00007,Umbrella Aggregate,10000000,0,,
MER-P00008,Building - Loc 1,2450000,2500,Special (Replacement Cost),
MER-P00008,Business Personal Property - Loc 1,150000,2500,Special,
MER-P00008,Building - Loc 2,2150000,2500,Special (Replacement Cost),
MER-P00008,Business Personal Property - Loc 2,775000,2500,Special,
MER-P00008,Building - Loc 3,1800000,25000,Special (Replacement Cost),
MER-P00008,Business Personal Property - Loc 3,700000,2500,Special,
MER-P00009,Each Occurrence,1000000,0,Occurrence,
MER-P00009,General Aggregate,2000000,0,,
MER-P00009,Products-Completed Ops Aggregate,2000000,0,,
MER-P00009,Personal & Advertising Injury,1000000,0,,
MER-P00009,Damage to Rented Premises,100000,0,,
MER-P00009,Medical Expense,5000,0,,
MER-P00010,Employers Liability Each Accident,1000000,0,,
MER-P00010,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00011,Umbrella Each Occurrence,5000000,10000,Follow Form,
MER-P00011,Umbrella Aggregate,5000000,0,,
MER-P00012,Each Occurrence,1000000,1000,Claims-Made,
MER-P00012,General Aggregate,2000000,0,,
MER-P00012,Products-Completed Ops Aggregate,2000000,0,,
MER-P00012,Personal & Advertising Injury,1000000,0,,
MER-P00012,Damage to Rented Premises,100000,0,,
MER-P00012,Medical Expense,5000,0,,
MER-P00013,Building - Loc 1,850000,10000,Special (Replacement Cost),
MER-P00013,Business Personal Property - Loc 1,325000,2500,Special,
MER-P00013,Building - Loc 2,2500000,5000,Special (Replacement Cost),
MER-P00013,Business Personal Property - Loc 2,250000,5000,Special,
MER-P00014,Employers Liability Each Accident,1000000,0,,
MER-P00014,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00015,Building - Loc 1,2900000,5000,Special (Replacement Cost),
MER-P00015,Business Personal Property - Loc 1,650000,2500,Special,
MER-P00016,Each Occurrence,1000000,2500,Claims-Made,
MER-P00016,General Aggregate,2000000,0,,
MER-P00016,Products-Completed Ops Aggregate,2000000,0,,
MER-P00016,Personal & Advertising Injury,1000000,0,,
MER-P00016,Damage to Rented Premises,100000,0,,
MER-P00016,Medical Expense,5000,0,,
MER-P00017,Employers Liability Each Accident,1000000,0,,
MER-P00017,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00018,Professional Liability / E&O Each Claim,1000000,5000,Claims-Made,2012-05-17
MER-P00018,Professional Liability / E&O Aggregate,1000000,0,,
MER-P00019,Cyber Liability Each Claim,3000000,50000,Claims-Made,2014-12-20
MER-P00019,Cyber Liability Aggregate,3000000,0,,
MER-P00020,Liability Each Occurrence,1000000,0,Occurrence,
MER-P00020,Business Personal Property,175000,1000,Special,
MER-P00021,Building - Loc 1,1450000,25000,Special (Replacement Cost),
MER-P00021,Business Personal Property - Loc 1,250000,5000,Special,
MER-P00022,Each Occurrence,1000000,0,Claims-Made,
MER-P00022,General Aggregate,2000000,0,,
MER-P00022,Products-Completed Ops Aggregate,2000000,0,,
MER-P00022,Personal & Advertising Injury,1000000,0,,
MER-P00022,Damage to Rented Premises,100000,0,,
MER-P00022,Medical Expense,5000,0,,
MER-P00023,Combined Single Limit,1000000,0,"Symbols 7,8,9",
MER-P00023,Comprehensive,ACV,500,,
MER-P00023,Collision,ACV,2500,,
MER-P00024,Employers Liability Each Accident,1000000,0,,
MER-P00024,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00025,Each Occurrence,1000000,2500,Occurrence,
MER-P00025,General Aggregate,2000000,0,,
MER-P00025,Products-Completed Ops Aggregate,2000000,0,,
MER-P00025,Personal & Advertising Injury,1000000,0,,
MER-P00025,Damage to Rented Premises,100000,0,,
MER-P00025,Medical Expense,5000,0,,
MER-P00026,Building - Loc 1,6000000,2500,Special (Replacement Cost),
MER-P00026,Business Personal Property - Loc 1,225000,2500,Special,
MER-P00026,Building - Loc 2,500000,5000,Special (Replacement Cost),
MER-P00026,Business Personal Property - Loc 2,800000,2500,Special,
MER-P00027,Employers Liability Each Accident,1000000,0,,
MER-P00027,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00028,Building - Loc 1,5600000,5000,Special (Replacement Cost),
MER-P00028,Business Personal Property - Loc 1,50000,5000,Special,
MER-P00028,Building - Loc 2,1750000,10000,Special (Replacement Cost),
MER-P00028,Business Personal Property - Loc 2,825000,2500,Special,
MER-P00028,Building - Loc 3,500000,25000,Special (Replacement Cost),
MER-P00028,Business Personal Property - Loc 3,225000,5000,Special,
MER-P00028,Building - Loc 4,5900000,5000,Special (Replacement Cost),
MER-P00028,Business Personal Property - Loc 4,75000,2500,Special,
MER-P00029,Each Occurrence,1000000,1000,Occurrence,
