policy_id,client_id,state,class_code,class_description,annual_payroll,rate_per_100,experience_mod
MER-P00002,MER-C0001,CT,5190,Electrical Wiring,1675000,3.12,0.95
MER-P00002,MER-C0001,CT,8810,Clerical Office,75000,0.19,0.95
MER-P00005,MER-C0002,CT,5183,Plumbing NOC,1475000,3.45,0.86
MER-P00005,MER-C0002,CT,5537,HVAC Install,500000,3.98,0.86
MER-P00005,MER-C0002,CT,8810,Clerical Office,50000,0.19,0.86
MER-P00010,MER-C0003,MA,8810,Clerical Office,25000,0.19,0.96
MER-P00010,MER-C0003,MA,8742,Outside Sales,1350000,0.35,0.96
MER-P00010,MER-C0003,MA,8810,Clerical Office,25000,0.19,0.96
MER-P00014,MER-C0004,NY,8810,Clerical Office,225000,0.19,1.13
MER-P00014,MER-C0004,NY,8742,Outside Sales,1150000,0.35,1.13
MER-P00014,MER-C0004,NY,8810,Clerical Office,100000,0.19,1.13
MER-P00017,MER-C0005,NY,8810,Clerical Office,50000,0.19,1.15
MER-P00017,MER-C0005,NY,8742,Outside Sales,1500000,0.35,1.15
MER-P00017,MER-C0005,NY,8810,Clerical Office,25000,0.19,1.15
MER-P00024,MER-C0007,CT,8810,Clerical Office,225000,0.19,1.21
MER-P00024,MER-C0007,CT,8742,Outside Sales,1725000,0.35,1.21
MER-P00024,MER-C0007,CT,8810,Clerical Office,250000,0.19,1.21
MER-P00027,MER-C0008,MA,8810,Clerical Office,250000,0.19,0.8
MER-P00027,MER-C0008,MA,8742,Outside Sales,1775000,0.35,0.8
MER-P00027,MER-C0008,MA,8810,Clerical Office,50000,0.19,0.8
MER-P00031,MER-C0009,MA,8810,Clerical Office,75000,0.19,1.28
MER-P00031,MER-C0009,MA,8742,Outside Sales,650000,0.35,1.28
MER-P00031,MER-C0009,MA,8810,Clerical Office,100000,0.19,1.28
MER-P00033,MER-C0010,NY,5645,Carpentry - Residential,2000000,7.9,1.2
MER-P00033,MER-C0010,NY,5403,Carpentry NOC,825000,6.1,1.2
MER-P00033,MER-C0010,NY,8810,Clerical Office,175000,0.19,1.2
MER-P00042,MER-C0012,NY,8810,Clerical Office,225000,0.19,1.16
MER-P00042,MER-C0012,NY,8742,Outside Sales,1875000,0.35,1.16
MER-P00042,MER-C0012,NY,8810,Clerical Office,50000,0.19,1.16
MER-P00047,MER-C0013,MA,8810,Clerical Office,125000,0.19,0.82
MER-P00047,MER-C0013,MA,8742,Outside Sales,1325000,0.35,0.82
MER-P00047,MER-C0013,MA,8810,Clerical Office,175000,0.19,0.82
MER-P00051,MER-C0014,RI,8810,Clerical Office,50000,0.19,1.05
MER-P00051,MER-C0014,RI,8742,Outside Sales,1700000,0.35,1.05
MER-P00051,MER-C0014,RI,8810,Clerical Office,25000,0.19,1.05
MER-P00053,MER-C0015,NY,5183,Plumbing NOC,75000,3.45,1.24
MER-P00053,MER-C0015,NY,5537,HVAC Install,525000,3.98,1.24
MER-P00053,MER-C0015,NY,8810,Clerical Office,125000,0.19,1.24
MER-P00057,MER-C0016,RI,8810,Clerical Office,225000,0.19,1.32
MER-P00057,MER-C0016,RI,8742,Outside Sales,425000,0.35,1.32
MER-P00057,MER-C0016,RI,8810,Clerical Office,25000,0.19,1.32
MER-P00061,MER-C0018,MA,7219,Trucking NOC,1325000,6.8,0.94
MER-P00061,MER-C0018,MA,8810,Clerical Office,150000,0.19,0.94
MER-P00068,MER-C0020,RI,8810,Clerical Office,100000,0.19,1.0
MER-P00068,MER-C0020,RI,8742,Outside Sales,200000,0.35,1.0
MER-P00068,MER-C0020,RI,8810,Clerical Office,75000,0.19,1.0
MER-P00071,MER-C0021,NY,7219,Trucking NOC,1000000,6.8,1.04
MER-P00071,MER-C0021,NY,8810,Clerical Office,200000,0.19,1.04
MER-P00074,MER-C0022,MA,8810,Clerical Office,100000,0.19,1.05
MER-P00074,MER-C0022,MA,8742,Outside Sales,1825000,0.35,1.05
MER-P00074,MER-C0022,MA,8810,Clerical Office,300000,0.19,1.05
MER-P00080,MER-C0024,MA,8810,Clerical Office,50000,0.19,1.08
MER-P00080,MER-C0024,MA,8742,Outside Sales,1775000,0.35,1.08
MER-P00080,MER-C0024,MA,8810,Clerical Office,25000,0.19,1.08
MER-P00081,MER-C0025,CT,5183,Plumbing NOC,1150000,3.45,1.1
MER-P00081,MER-C0025,CT,5537,HVAC Install,325000,3.98,1.1
MER-P00081,MER-C0025,CT,8810,Clerical Office,300000,0.19,1.1
MER-P00087,MER-C0027,MA,8810,Clerical Office,125000,0.19,0.91
MER-P00087,MER-C0027,MA,8742,Outside Sales,725000,0.35,0.91
MER-P00087,MER-C0027,MA,8810,Clerical Office,300000,0.19,0.91
MER-P00090,MER-C0028,NY,5190,Electrical Wiring,950000,3.12,0.86
MER-P00090,MER-C0028,NY,8810,Clerical Office,75000,0.19,0.86
MER-P00097,MER-C0030,NY,8810,Clerical Office,150000,0.19,0.87
MER-P00097,MER-C0030,NY,8742,Outside Sales,300000,0.35,0.87
MER-P00097,MER-C0030,NY,8810,Clerical Office,300000,0.19,0.87
MER-P00105,MER-C0032,NY,8810,Clerical Office,50000,0.19,1.14
MER-P00105,MER-C0032,NY,8742,Outside Sales,1100000,0.35,1.14
MER-P00105,MER-C0032,NY,8810,Clerical Office,250000,0.19,1.14
MER-P00108,MER-C0034,CT,8810,Clerical Office,125000,0.19,0.93
MER-P00108,MER-C0034,CT,8742,Outside Sales,475000,0.35,0.93
MER-P00108,MER-C0034,CT,8810,Clerical Office,100000,0.19,0.93
MER-P00113,MER-C0035,CT,8810,Clerical Office,200000,0.19,0.73
MER-P00113,MER-C0035,CT,8742,Outside Sales,700000,0.35,0.73
MER-P00113,MER-C0035,CT,8810,Clerical Office,250000,0.19,0.73
MER-P00118,MER-C0036,MA,8810,Clerical Office,25000,0.19,1.01
MER-P00118,MER-C0036,MA,8742,Outside Sales,550000,0.35,1.01
MER-P00118,MER-C0036,MA,8810,Clerical Office,225000,0.19,1.01
MER-P00120,MER-C0037,NY,7219,Trucking NOC,1075000,6.8,1.27
MER-P00120,MER-C0037,NY,8810,Clerical Office,275000,0.19,1.27
MER-P00122,MER-C0038,MA,8810,Clerical Office,125000,0.19,1.13
MER-P00122,MER-C0038,MA,8742,Outside Sales,400000,0.35,1.13
MER-P00122,MER-C0038,MA,8810,Clerical Office,275000,0.19,1.13
