policy_id,client_id,client_name,policy_number,line_of_business,line_description,carrier_code,carrier_name,effective_date,expiration_date,term_months,annual_premium,commission_pct,expected_commission,billing_type,policy_status,producer_id,account_manager_id,surplus_lines,new_or_renewal,policy_checked,experience_mod,umbrella_limit
MER-P00001,MER-C0001,Liberty Electric Inc.,CNA-GL-7570178,GL,General Liability,CNA,CNA Insurance,2025-08-30,2026-08-30,12,21020,15.0,3153.0,Agency Bill,In Force,E003,E011,N,New,Y,,
MER-P00002,MER-C0001,Liberty Electric Inc.,HIG-WC-8196119,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-10-03,2026-10-03,12,38261,14.0,5356.54,Direct Bill,In Force,E003,E011,N,New,Y,0.95,
MER-P00003,MER-C0001,Liberty Electric Inc.,LIB-AUTO-4712522,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2025-05-28,2026-05-28,12,41642,12.0,4997.04,Direct Bill,In Force,E003,E011,N,Renewal,Y,,
MER-P00004,MER-C0001,Liberty Electric Inc.,LIB-UMB-2133128,UMB,Umbrella / Excess Liability,LIB,Liberty Mutual Insurance,2026-03-24,2027-03-24,12,5760,12.0,691.2,Agency Bill,In Force,E003,E011,N,Renewal,Y,,3000000
MER-P00005,MER-C0002,Evergreen Electric LLC,HIG-WC-9984539,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2026-02-19,2027-02-19,12,106738,14.0,14943.32,Direct Bill,In Force,E008,E021,N,Renewal,Y,0.86,
MER-P00006,MER-C0002,Evergreen Electric LLC,TRV-AUTO-6538211,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2025-08-09,2026-08-09,12,92008,15.0,13801.2,Direct Bill,In Force,E008,E021,N,Renewal,Y,,
MER-P00007,MER-C0002,Evergreen Electric LLC,MKL-UMB-5215874,UMB,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-12-15,2026-12-15,12,23237,12.0,2788.44,Agency Bill,In Force,E008,E021,Y,Renewal,Y,,10000000
MER-P00008,MER-C0003,Sterling Hotels Corp.,LIB-PROP-9406069,PROP,Commercial Property,LIB,Liberty Mutual Insurance,2025-08-31,2026-08-31,12,15472,12.0,1856.64,Agency Bill,In Force,E002,E009,N,New,N,,
MER-P00009,MER-C0003,Sterling Hotels Corp.,HIG-GL-4793721,GL,General Liability,HIG,The Hartford Fire Insurance Company,2025-10-01,2026-10-01,12,30876,14.0,4322.64,Agency Bill,In Force,E002,E009,N,Renewal,Y,,
MER-P00010,MER-C0003,Sterling Hotels Corp.,AMT-WC-7598305,WC,Workers Compensation,AMT,AmTrust Financial,2025-07-04,2026-07-04,12,175318,10.0,17531.8,Direct Bill,In Force,E002,E009,N,Renewal,Y,0.96,
MER-P00011,MER-C0003,Sterling Hotels Corp.,TRV-UMB-5587034,UMB,Umbrella / Excess Liability,TRV,Travelers Indemnity Company,2025-05-19,2026-05-19,12,6964,15.0,1044.6,Agency Bill,In Force,E002,E009,N,New,Y,,5000000
MER-P00012,MER-C0004,Pioneer Automotive Inc.,CNA-GL-8490536,GL,General Liability,CNA,CNA Insurance,2025-08-09,2026-08-09,12,56974,15.0,8546.1,Agency Bill,In Force,E002,E021,N,New,Y,,
MER-P00013,MER-C0004,Pioneer Automotive Inc.,HIG-PROP-2653381,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2026-03-12,2027-03-12,12,81758,14.0,11446.12,Agency Bill,In Force,E002,E021,N,New,Y,,
MER-P00014,MER-C0004,Pioneer Automotive Inc.,HIG-WC-8727449,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-07-29,2026-07-29,12,42657,14.0,5971.98,Direct Bill,In Force,E002,E021,N,New,Y,1.13,
