vehicle_id,policy_id,client_id,unit_number,year,make,model,vin,vehicle_type,gvw,garaging_city,garaging_state,stated_value,radius,comp_ded,coll_ded
MER-P00003-V01,MER-P00003,MER-C0001,1,2018,Freightliner,Cascadia,3B2VANCRK2Y9YYKRD,Heavy Truck,80000,Hartford,CT,40000,Intermediate (50-200mi),1000,2500
MER-P00003-V02,MER-P00003,MER-C0001,2,2016,Ford,F-250,1FFMTER41XJJ8H5ZC,Light Truck/Van,14000,Hartford,CT,163000,Local (<50mi),500,2500
MER-P00003-V03,MER-P00003,MER-C0001,3,2015,Ford,Transit 250,F7BL2M5M82SCPEHN1,Light Truck/Van,10000,Hartford,CT,66000,Local (<50mi),1000,1000
MER-P00003-V04,MER-P00003,MER-C0001,4,2018,Freightliner,Cascadia,9850EMLAUM9WP44GZ,Heavy Truck,80000,Hartford,CT,144000,Local (<50mi),1000,5000
MER-P00003-V05,MER-P00003,MER-C0001,5,2020,Isuzu,NPR-HD,56XSGJSTKENLY5D8K,Light Truck/Van,14000,Hartford,CT,112000,Local (<50mi),1000,1000
MER-P00006-V01,MER-P00006,MER-C0002,1,2021,Freightliner,Cascadia,YCUYYCBR0NRNHHW6G,Heavy Truck,80000,Hartford,CT,20000,Long Haul (>200mi),500,2500
MER-P00006-V02,MER-P00006,MER-C0002,2,2016,Isuzu,NPR-HD,PY378VVNMSMBDH3NW,Light Truck/Van,10000,Hartford,CT,112000,Long Haul (>200mi),1000,2500
MER-P00006-V03,MER-P00006,MER-C0002,3,2016,International,LT625,7CW2VA9GUPJNXAB2B,Heavy Truck,80000,Hartford,CT,82000,Local (<50mi),2500,1000
MER-P00006-V04,MER-P00006,MER-C0002,4,2023,Freightliner,Cascadia,5CU927Z7ZRVYZYP7M,Heavy Truck,80000,Hartford,CT,25000,Long Haul (>200mi),2500,1000
MER-P00006-V05,MER-P00006,MER-C0002,5,2016,Chevrolet,Silverado 2500,0J4JW0Z459VVULDVX,Light Truck/Van,14000,Hartford,CT,33000,Local (<50mi),500,5000
MER-P00006-V06,MER-P00006,MER-C0002,6,2023,International,LT625,AKPTAW443X0XUJB6A,Heavy Truck,80000,Hartford,CT,141000,Long Haul (>200mi),1000,5000
MER-P00006-V07,MER-P00006,MER-C0002,7,2025,Isuzu,NPR-HD,M09Y087V3X8L1BAEV,Light Truck/Van,8500,Hartford,CT,161000,Local (<50mi),1000,2500
MER-P00006-V08,MER-P00006,MER-C0002,8,2012,Ford,F-250,YVRK9BTUE0EFCC7C3,Light Truck/Van,14000,Hartford,CT,79000,Local (<50mi),2500,5000
MER-P00006-V09,MER-P00006,MER-C0002,9,2019,Ford,F-250,M6JH7H5YNS9X86U68,Light Truck/Van,14000,Hartford,CT,118000,Local (<50mi),500,2500
MER-P00006-V10,MER-P00006,MER-C0002,10,2022,Ford,F-250,RU42GKZRAD4W8P2S7,Light Truck/Van,10000,Hartford,CT,29000,Intermediate (50-200mi),1000,1000
MER-P00006-V11,MER-P00006,MER-C0002,11,2018,Chevrolet,Silverado 2500,61XV3RW0H6KNES8PC,Light Truck/Van,8500,Hartford,CT,41000,Long Haul (>200mi),1000,1000
MER-P00023-V01,MER-P00023,MER-C0007,1,2021,Isuzu,NPR-HD,M37SZF1LSNGXG2MGW,Light Truck/Van,14000,Hartford,CT,80000,Long Haul (>200mi),500,2500
MER-P00023-V02,MER-P00023,MER-C0007,2,2025,RAM,ProMaster 2500,SN7KZ69VAH8XKU9EK,Light Truck/Van,14000,Hartford,CT,47000,Long Haul (>200mi),500,5000
MER-P00023-V03,MER-P00023,MER-C0007,3,2013,Ford,F-250,1ZYLH8P7CGJ1SSLNB,Light Truck/Van,10000,Hartford,CT,139000,Long Haul (>200mi),500,1000
MER-P00023-V04,MER-P00023,MER-C0007,4,2020,Ford,Transit 250,HZ78NJHTTKVLX1997,Light Truck/Van,10000,Hartford,CT,42000,Intermediate (50-200mi),500,1000
MER-P00023-V05,MER-P00023,MER-C0007,5,2018,Isuzu,NPR-HD,DX61MAKL83NZV777N,Light Truck/Van,8500,Hartford,CT,18000,Long Haul (>200mi),2500,5000
MER-P00023-V06,MER-P00023,MER-C0007,6,2015,Freightliner,Cascadia,6C5Y3Z4C7XSL5JYZ6,Heavy Truck,80000,Hartford,CT,71000,Intermediate (50-200mi),500,5000
MER-P00023-V07,MER-P00023,MER-C0007,7,2024,International,LT625,N0L29P5PUFMB6KG4E,Heavy Truck,80000,Hartford,CT,152000,Long Haul (>200mi),1000,5000
MER-P00023-V08,MER-P00023,MER-C0007,8,2025,Chevrolet,Silverado 2500,HW0KVGKJL8BA1D7T1,Light Truck/Van,8500,Hartford,CT,42000,Local (<50mi),500,2500
MER-P00023-V09,MER-P00023,MER-C0007,9,2021,Freightliner,Cascadia,1GNKEPAA0CVWHBC47,Heavy Truck,80000,Hartford,CT,28000,Intermediate (50-200mi),500,2500
MER-P00023-V10,MER-P00023,MER-C0007,10,2012,Ford,Transit 250,UZ1EVFMZZDRP1V8J4,Light Truck/Van,8500,Hartford,CT,56000,Local (<50mi),2500,5000
MER-P00030-V01,MER-P00030,MER-C0009,1,2025,Ford,F-250,14LT0SGTLMNJ9NS52,Light Truck/Van,14000,Worcester,MA,138000,Intermediate (50-200mi),500,2500
MER-P00030-V02,MER-P00030,MER-C0009,2,2019,Peterbilt,579,BRZ9WYETBNW4B99L2,Heavy Truck,80000,Worcester,MA,138000,Long Haul (>200mi),500,5000
MER-P00030-V03,MER-P00030,MER-C0009,3,2014,International,LT625,K4188LWA8KSGVGZ9X,Heavy Truck,80000,Worcester,MA,86000,Long Haul (>200mi),2500,2500
MER-P00030-V04,MER-P00030,MER-C0009,4,2022,Isuzu,NPR-HD,AHKHCLM13GZE1A4K4,Light Truck/Van,14000,Worcester,MA,52000,Long Haul (>200mi),500,2500
MER-P00030-V05,MER-P00030,MER-C0009,5,2022,Freightliner,Cascadia,WUA1UJFFEHYUBWUNT,Heavy Truck,80000,Worcester,MA,123000,Local (<50mi),1000,2500
MER-P00034-V01,MER-P00034,MER-C0010,1,2015,Chevrolet,Silverado 2500,DUVZJVWU9AX76MUHU,Light Truck/Van,14000,Albany,NY,57000,Long Haul (>200mi),500,5000
MER-P00034-V02,MER-P00034,MER-C0010,2,2021,International,LT625,9SXGGTX8XNVJSS46E,Heavy Truck,80000,Albany,NY,32000,Long Haul (>200mi),2500,2500
MER-P00034-V03,MER-P00034,MER-C0010,3,2021,Chevrolet,Silverado 2500,XJB6HBCH2X179W9M7,Light Truck/Van,10000,Albany,NY,146000,Intermediate (50-200mi),1000,5000
MER-P00034-V04,MER-P00034,MER-C0010,4,2019,RAM,ProMaster 2500,W25C15D29TNT29NXC,Light Truck/Van,10000,Albany,NY,108000,Long Haul (>200mi),2500,5000
