task_id,renewal_id,policy_id,task,due_date,assigned_to,status,completed_date
REN-MER-P00003-T120,REN-MER-P00003,MER-P00003,Send renewal questionnaire,2026-01-28,E011,Complete,
REN-MER-P00003-T90,REN-MER-P00003,MER-P00003,Request updated exposures / SOV,2026-02-27,E011,Overdue,2026-02-26
REN-MER-P00003-T75,REN-MER-P00003,MER-P00003,Order loss runs,2026-03-14,E011,Complete,2026-03-11
REN-MER-P00003-T60,REN-MER-P00003,MER-P00003,Prepare and send submissions,2026-03-29,E011,Overdue,
REN-MER-P00003-T30,REN-MER-P00003,MER-P00003,Deliver renewal proposal,2026-04-28,E011,Open,
REN-MER-P00003-T10,REN-MER-P00003,MER-P00003,Obtain signed bind order,2026-05-18,E011,Open,
REN-MER-P00006-T120,REN-MER-P00006,MER-P00006,Send renewal questionnaire,2026-04-11,E021,Open,
REN-MER-P00006-T90,REN-MER-P00006,MER-P00006,Request updated exposures / SOV,2026-05-11,E021,Open,
REN-MER-P00006-T75,REN-MER-P00006,MER-P00006,Order loss runs,2026-05-26,E021,Open,
REN-MER-P00006-T60,REN-MER-P00006,MER-P00006,Prepare and send submissions,2026-06-10,E021,Open,
REN-MER-P00006-T30,REN-MER-P00006,MER-P00006,Deliver renewal proposal,2026-07-10,E021,Open,
REN-MER-P00006-T10,REN-MER-P00006,MER-P00006,Obtain signed bind order,2026-07-30,E021,Open,
REN-MER-P00010-T120,REN-MER-P00010,MER-P00010,Send renewal questionnaire,2026-03-06,E009,Complete,2026-03-04
REN-MER-P00010-T90,REN-MER-P00010,MER-P00010,Request updated exposures / SOV,2026-04-05,E009,Open,
REN-MER-P00010-T75,REN-MER-P00010,MER-P00010,Order loss runs,2026-04-20,E009,Open,
REN-MER-P00010-T60,REN-MER-P00010,MER-P00010,Prepare and send submissions,2026-05-05,E009,Open,
REN-MER-P00010-T30,REN-MER-P00010,MER-P00010,Deliver renewal proposal,2026-06-04,E009,Open,
REN-MER-P00010-T10,REN-MER-P00010,MER-P00010,Obtain signed bind order,2026-06-24,E009,Open,
REN-MER-P00011-T120,REN-MER-P00011,MER-P00011,Send renewal questionnaire,2026-01-19,E009,Complete,
REN-MER-P00011-T90,REN-MER-P00011,MER-P00011,Request updated exposures / SOV,2026-02-18,E009,Complete,2026-02-19
REN-MER-P00011-T75,REN-MER-P00011,MER-P00011,Order loss runs,2026-03-05,E009,Complete,2026-03-09
REN-MER-P00011-T60,REN-MER-P00011,MER-P00011,Prepare and send submissions,2026-03-20,E009,Complete,2026-03-17
REN-MER-P00011-T30,REN-MER-P00011,MER-P00011,Deliver renewal proposal,2026-04-19,E009,Open,
REN-MER-P00011-T10,REN-MER-P00011,MER-P00011,Obtain signed bind order,2026-05-09,E009,Open,
REN-MER-P00012-T120,REN-MER-P00012,MER-P00012,Send renewal questionnaire,2026-04-11,E021,Open,
REN-MER-P00012-T90,REN-MER-P00012,MER-P00012,Request updated exposures / SOV,2026-05-11,E021,Open,
REN-MER-P00012-T75,REN-MER-P00012,MER-P00012,Order loss runs,2026-05-26,E021,Open,
REN-MER-P00012-T60,REN-MER-P00012,MER-P00012,Prepare and send submissions,2026-06-10,E021,Open,
REN-MER-P00012-T30,REN-MER-P00012,MER-P00012,Deliver renewal proposal,2026-07-10,E021,Open,
REN-MER-P00012-T10,REN-MER-P00012,MER-P00012,Obtain signed bind order,2026-07-30,E021,Open,
REN-MER-P00014-T120,REN-MER-P00014,MER-P00014,Send renewal questionnaire,2026-03-31,E021,Open,
REN-MER-P00014-T90,REN-MER-P00014,MER-P00014,Request updated exposures / SOV,2026-04-30,E021,Open,
REN-MER-P00014-T75,REN-MER-P00014,MER-P00014,Order loss runs,2026-05-15,E021,Open,
REN-MER-P00014-T60,REN-MER-P00014,MER-P00014,Prepare and send submissions,2026-05-30,E021,Open,
REN-MER-P00014-T30,REN-MER-P00014,MER-P00014,Deliver renewal proposal,2026-06-29,E021,Open,
REN-MER-P00014-T10,REN-MER-P00014,MER-P00014,Obtain signed bind order,2026-07-19,E021,Open,
REN-MER-P00016-T120,REN-MER-P00016,MER-P00016,Send renewal questionnaire,2026-02-12,E013,Complete,2026-02-13
REN-MER-P00016-T90,REN-MER-P00016,MER-P00016,Request updated exposures / SOV,2026-03-14,E013,Complete,2026-03-15
REN-MER-P00016-T75,REN-MER-P00016,MER-P00016,Order loss runs,2026-03-29,E013,Overdue,
REN-MER-P00016-T60,REN-MER-P00016,MER-P00016,Prepare and send submissions,2026-04-13,E013,Open,
REN-MER-P00016-T30,REN-MER-P00016,MER-P00016,Deliver renewal proposal,2026-05-13,E013,Open,
REN-MER-P00016-T10,REN-MER-P00016,MER-P00016,Obtain signed bind order,2026-06-02,E013,Open,
REN-MER-P00019-T120,REN-MER-P00019,MER-P00019,Send renewal questionnaire,2026-04-19,E014,Open,
REN-MER-P00019-T90,REN-MER-P00019,MER-P00019,Request updated exposures / SOV,2026-05-19,E014,Open,
REN-MER-P00019-T75,REN-MER-P00019,MER-P00019,Order loss runs,2026-06-03,E014,Open,
REN-MER-P00019-T60,REN-MER-P00019,MER-P00019,Prepare and send submissions,2026-06-18,E014,Open,
REN-MER-P00019-T30,REN-MER-P00019,MER-P00019,Deliver renewal proposal,2026-07-18,E014,Open,
