renewal_id,policy_id,client_id,line_of_business,carrier_code,expiration_date,days_to_expiration,expiring_premium,renewal_stage,renewal_strategy,exposure_update_received,loss_runs_ordered,renewal_quote_premium,account_manager_id,producer_id
REN-MER-P00003,MER-P00003,MER-C0001,AUTO,LIB,2026-05-28,58,41642,60-day: Marketing,Renew as-is (rate < 5%),Y,Y,,E011,E003
REN-MER-P00006,MER-P00006,MER-C0002,AUTO,TRV,2026-08-09,131,92008,120-day: Renewal identified,Renew as-is (rate < 5%),N,N,,E021,E008
REN-MER-P00010,MER-P00010,MER-C0003,WC,AMT,2026-07-04,95,175318,120-day: Renewal identified,Renew with incumbent,N,Y,,E009,E002
REN-MER-P00011,MER-P00011,MER-C0003,UMB,TRV,2026-05-19,49,6964,60-day: Marketing,Renew as-is (rate < 5%),N,Y,,E009,E002
REN-MER-P00012,MER-P00012,MER-C0004,GL,CNA,2026-08-09,131,56974,120-day: Renewal identified,Renew as-is (rate < 5%),N,N,,E021,E002
REN-MER-P00014,MER-P00014,MER-C0004,WC,HIG,2026-07-29,120,42657,120-day: Renewal identified,Market to 3 carriers,N,N,,E021,E002
REN-MER-P00016,MER-P00016,MER-C0005,GL,TRV,2026-06-12,73,35193,90-day: Exposure update requested,Renew with incumbent,N,Y,,E013,E008
REN-MER-P00019,MER-P00019,MER-C0006,CYB,BEZ,2026-08-17,139,22115,120-day: Renewal identified,Renew with incumbent,N,N,,E014,E007
REN-MER-P00021,MER-P00021,MER-C0007,PROP,CHB,2026-06-03,64,10990,90-day: Exposure update requested,Renew with incumbent,Y,Y,,E016,E008
REN-MER-P00023,MER-P00023,MER-C0007,AUTO,LIB,2026-05-08,38,29647,60-day: Marketing,Remarket - incumbent non-renewing,Y,N,29943,E016,E008
REN-MER-P00024,MER-P00024,MER-C0007,WC,AMT,2026-06-17,78,95996,90-day: Exposure update requested,Renew with incumbent,N,Y,,E016,E008
