certificate_id,certificate_request_id,client_id,form,issued_date,gl_policy_number,gl_each_occurrence,gl_aggregate,umbrella_limit,additional_insured,waiver_of_subrogation,primary_noncontributory,description_of_operations,holder,issued_by
MER-COI0001,MER-CERT0001,MER-C0019,ACORD 25 (2016/03),2025-10-29,LIB-GL-3321649,1000000,2000000,0,Y,Y,N,Tenant improvement - Suite 200,Suffolk Construction,E011
MER-COI0002,MER-CERT0002,MER-C0035,ACORD 25 (2016/03),2026-02-02,CNA-GL-8031863,1000000,2000000,0,N,Y,Y,Site work - Phase 2,"Home Depot U.S.A., Inc.",E020
MER-COI0003,MER-CERT0003,MER-C0028,ACORD 25 (2016/03),2026-02-15,CNA-GL-9800363,1000000,2000000,10000000,Y,N,Y,Site work - Phase 2,CBRE Property Management,E021
MER-COI0004,MER-CERT0004,MER-C0015,ACORD 25 (2016/03),2026-03-18,LIB-GL-9817327,1000000,2000000,10000000,N,N,N,Tenant improvement - Suite 200,Turner Construction Company,E019
MER-COI0005,MER-CERT0005,MER-C0031,ACORD 25 (2016/03),2025-10-27,CNA-GL-9757826,1000000,2000000,0,Y,Y,N,Site work - Phase 2,Gilbane Building Company,E013
MER-COI0007,MER-CERT0007,MER-C0010,ACORD 25 (2016/03),2026-03-31,TRV-GL-5328352,1000000,2000000,10000000,Y,N,N,Ongoing operations,Turner Construction Company,E018
MER-COI0011,MER-CERT0011,MER-C0028,ACORD 25 (2016/03),2026-01-17,CNA-GL-9800363,1000000,2000000,10000000,Y,N,N,Site work - Phase 2,Suffolk Construction,E021
MER-COI0012,MER-CERT0012,MER-C0007,ACORD 25 (2016/03),2026-02-27,MKL-GL-9433463,1000000,2000000,0,N,Y,Y,Annual vendor compliance,Suffolk Construction,E016
MER-COI0013,MER-CERT0013,MER-C0014,ACORD 25 (2016/03),2026-02-03,MKL-GL-4669323,1000000,2000000,0,Y,N,N,Ongoing operations,CBRE Property Management,E009
MER-COI0014,MER-CERT0014,MER-C0024,ACORD 25 (2016/03),2025-12-31,CNA-GL-9821366,1000000,2000000,0,Y,Y,N,Ongoing operations,Turner Construction Company,E016
MER-COI0016,MER-CERT0016,MER-C0014,ACORD 25 (2016/03),2025-12-01,MKL-GL-4669323,1000000,2000000,0,Y,Y,N,Ongoing operations,"Home Depot U.S.A., Inc.",E009
MER-COI0019,MER-CERT0019,MER-C0015,ACORD 25 (2016/03),2026-02-26,LIB-GL-9817327,1000000,2000000,10000000,N,Y,N,Service contract 2026,CBRE Property Management,E019
MER-COI0020,MER-CERT0020,MER-C0020,ACORD 25 (2016/03),2026-01-25,LIB-GL-7256933,1000000,2000000,0,Y,N,Y,Site work - Phase 2,Turner Construction Company,E018
MER-COI0022,MER-CERT0022,MER-C0023,ACORD 25 (2016/03),2026-01-08,CHB-GL-5415328,1000000,2000000,3000000,Y,N,N,Tenant improvement - Suite 200,"Home Depot U.S.A., Inc.",E021
MER-COI0024,MER-CERT0024,MER-C0013,ACORD 25 (2016/03),2025-12-31,CNA-GL-2113318,1000000,2000000,0,Y,N,N,Tenant improvement - Suite 200,Whiting-Turner Contracting,E014
MER-COI0025,MER-CERT0025,MER-C0020,ACORD 25 (2016/03),2025-12-27,LIB-GL-7256933,1000000,2000000,0,Y,N,Y,Tenant improvement - Suite 200,JLL Property Management,E018
MER-COI0027,MER-CERT0027,MER-C0018,ACORD 25 (2016/03),2025-12-08,MKL-GL-1076329,1000000,2000000,2000000,Y,N,N,Tenant improvement - Suite 200,Suffolk Construction,E013
MER-COI0030,MER-CERT0030,MER-C0036,ACORD 25 (2016/03),2026-01-30,HIG-GL-3002420,1000000,2000000,0,N,N,N,Bid requirement,Brookfield Properties,E012
MER-COI0032,MER-CERT0032,MER-C0018,ACORD 25 (2016/03),2025-12-05,MKL-GL-1076329,1000000,2000000,2000000,Y,N,N,Tenant improvement - Suite 200,Kiewit Corporation,E013
MER-COI0033,MER-CERT0033,MER-C0010,ACORD 25 (2016/03),2026-01-02,TRV-GL-5328352,1000000,2000000,10000000,Y,N,N,Ongoing operations,"Home Depot U.S.A., Inc.",E018
MER-COI0035,MER-CERT0035,MER-C0024,ACORD 25 (2016/03),2026-01-09,CNA-GL-9821366,1000000,2000000,0,Y,N,Y,Service contract 2026,Skanska USA Building,E016
MER-COI0039,MER-CERT0039,MER-C0004,ACORD 25 (2016/03),2025-11-10,CNA-GL-8490536,1000000,2000000,0,N,Y,N,Ongoing operations,CBRE Property Management,E021
MER-COI0040,MER-CERT0040,MER-C0008,ACORD 25 (2016/03),2025-10-09,TRV-GL-1144524,1000000,2000000,0,Y,N,N,Site work - Phase 2,Skanska USA Building,E016
MER-COI0041,MER-CERT0041,MER-C0022,ACORD 25 (2016/03),2026-03-04,MKL-GL-9145128,1000000,2000000,0,Y,N,N,Ongoing operations,"Home Depot U.S.A., Inc.",E021
MER-COI0042,MER-CERT0042,MER-C0001,ACORD 25 (2016/03),2025-10-11,CNA-GL-7570178,1000000,2000000,2000000,Y,Y,N,Annual vendor compliance,JLL Property Management,E011
MER-COI0049,MER-CERT0049,MER-C0028,ACORD 25 (2016/03),2025-10-25,CNA-GL-9800363,1000000,2000000,10000000,N,Y,Y,Ongoing operations,Suffolk Construction,E021
MER-COI0050,MER-CERT0050,MER-C0020,ACORD 25 (2016/03),2025-12-30,LIB-GL-7256933,1000000,2000000,0,Y,N,Y,Annual vendor compliance,Walmart Inc.,E018
