endorsement_request_id,policy_id,client_id,request_type,requested_value,effective_date,requested_by,carrier_code,submitted_to_carrier_date,status,carrier_endorsement_number,premium_change,received_date,checked_against_request,handled_by
MER-END0001,MER-P00099,MER-C0031,Change Mailing Address,2024 Ford Transit 250 VIN 1FTBR1C8XRKA55210,2026-02-24,Client,BEZ,2026-02-18,Issued - Discrepancy,END-886882,0,2026-03-15,N - carrier issued wrong VIN,E013
MER-END0002,MER-P00119,MER-C0037,Delete Vehicle,New hire: see attached MVR,2025-08-02,Client,LIB,2025-07-25,Requested,,-3753,,,E010
MER-END0003,MER-P00018,MER-C0006,Change Mailing Address,Add subsidiary: XYZ Holdings LLC,2025-09-08,Lender,MKL,2025-09-02,Issued,END-198176,0,2025-10-05,Y,E014
MER-END0004,MER-P00080,MER-C0024,Payroll Audit Adjustment,PO Box 4410,2025-11-04,Certificate holder,TRV,2025-11-01,Issued,END-683581,9871,2025-11-10,Y,E016
MER-END0005,MER-P00078,MER-C0024,Add Mortgagee,"$5,000,000",2026-04-05,Client,CNA,2026-03-30,Issued,END-393168,0,2026-04-27,Y,E016
MER-END0006,MER-P00095,MER-C0029,Add Driver,Loc 3: 1800 Enterprise Ct,2026-01-28,Lender,TRV,2026-01-25,Issued,END-395316,0,2026-03-05,Y,E020
MER-END0007,MER-P00119,MER-C0037,Add Vehicle,2024 Ford Transit 250 VIN 1FTBR1C8XRKA55210,2025-12-11,Carrier audit,LIB,2025-12-10,Issued,END-352606,3701,2025-12-20,Y,E010
MER-END0008,MER-P00048,MER-C0014,Add Location,New hire: see attached MVR,2025-09-19,Carrier audit,CNA,2025-09-13,Issued,END-685849,5446,2025-10-12,Y,E009
MER-END0009,MER-P00035,MER-C0010,Change Named Insured,Add subsidiary: XYZ Holdings LLC,2025-12-05,Client,LIB,2025-12-05,Issued - Discrepancy,END-859625,0,2026-01-09,N - carrier issued wrong VIN,E018
MER-END0010,MER-P00034,MER-C0010,Change Named Insured,First National Bank ISAOA,2026-03-24,Carrier audit,LIB,2026-03-22,Issued,END-707773,0,2026-04-26,Y,E018
MER-END0011,MER-P00032,MER-C0010,Add Waiver of Subrogation,New hire: see attached MVR,2025-10-22,Lender,TRV,2025-10-25,Pending Carrier,,250,,,E018
MER-END0012,MER-P00003,MER-C0001,Delete Vehicle,"Audited payroll +$412,000 class 5190",2025-12-11,Certificate holder,LIB,2025-12-09,Issued,END-688236,-2954,2025-12-26,Y,E011
MER-END0013,MER-P00064,MER-C0019,Add Additional Insured,Add subsidiary: XYZ Holdings LLC,2026-01-30,Carrier audit,LIB,2026-01-20,Issued,END-235760,250,2026-02-25,Y,E011
MER-END0014,MER-P00094,MER-C0029,Change Named Insured,2024 Ford Transit 250 VIN 1FTBR1C8XRKA55210,2025-12-08,Certificate holder,HIG,2025-11-30,Issued,END-846186,0,2026-01-05,Y,E020
MER-END0015,MER-P00006,MER-C0002,Add Vehicle,New hire: see attached MVR,2025-11-26,Certificate holder,TRV,2025-11-26,Issued - Discrepancy,END-389408,4623,2025-12-14,N - carrier issued wrong VIN,E021
