loss_run_id,client_id,carrier_code,requested_date,years_requested,received_date,status,valued_as_of
LR-MER-C0009-867,MER-C0009,CHB,2026-03-05,5,2025-10-26,Outstanding - 2nd follow-up sent,2026-02-08
LR-MER-C0004-289,MER-C0004,CHB,2026-02-20,5,2025-12-19,Received,2025-12-25
LR-MER-C0021-446,MER-C0021,LIB,2025-12-30,5,2025-11-12,Received,2025-12-19
LR-MER-C0008-108,MER-C0008,BEZ,2025-10-09,5,2026-01-28,Received,2026-01-25
LR-MER-C0028-596,MER-C0028,LIB,2025-11-23,5,,Received,2025-12-29
LR-MER-C0018-820,MER-C0018,CNA,2025-11-04,5,2025-10-31,Outstanding - 2nd follow-up sent,2025-12-26
LR-MER-C0012-723,MER-C0012,CNA,2025-09-29,5,2025-11-21,Received,2025-11-20
LR-MER-C0013-961,MER-C0013,TRV,2025-12-26,5,2025-11-24,Received,2025-12-13
LR-MER-C0019-943,MER-C0019,TRV,2025-10-08,5,2025-10-24,Received,2026-02-27
LR-MER-C0030-585,MER-C0030,BEZ,2025-10-07,5,2026-02-20,Received,2025-12-07
LR-MER-C0032-635,MER-C0032,LIB,2025-10-11,5,2026-02-15,Received,2025-12-21
LR-MER-C0003-949,MER-C0003,TRV,2026-01-17,5,2025-09-17,Received,2026-01-04
LR-MER-C0005-639,MER-C0005,MKL,2025-10-03,5,,Received,2026-02-11
LR-MER-C0025-734,MER-C0025,MKL,2026-03-22,5,,Received,2026-03-19
LR-MER-C0007-811,MER-C0007,HIG,2025-10-29,5,2025-12-21,Received,2026-03-31
LR-MER-C0036-884,MER-C0036,CHB,2026-03-07,5,2025-10-15,Received,2025-10-22
LR-MER-C0017-742,MER-C0017,CHB,2025-11-29,5,2026-03-07,Received,2026-02-08
LR-MER-C0001-231,MER-C0001,HIG,2026-03-18,5,,Outstanding - 2nd follow-up sent,2025-11-24
LR-MER-C0029-129,MER-C0029,TRV,2026-03-03,5,2025-10-08,Received,2026-03-13
LR-MER-C0002-129,MER-C0002,TRV,2026-01-28,5,2026-01-03,Outstanding - 2nd follow-up sent,2025-12-06
LR-MER-C0026-494,MER-C0026,CHB,2025-10-16,5,,Received,2026-01-15
LR-MER-C0035-217,MER-C0035,CHB,2026-02-21,5,2025-12-06,Received,2025-12-19
LR-MER-C0034-267,MER-C0034,CHB,2026-03-08,5,,Received,2026-03-16
LR-MER-C0027-497,MER-C0027,CHB,2025-10-12,5,,Outstanding - 2nd follow-up sent,2025-12-27
LR-MER-C0031-193,MER-C0031,CNA,2025-11-29,5,2025-11-24,Received,2025-10-03
