as_of_date,client_id,client_name,current,1_30,31_60,61_90,over_90,total_balance
2026-03-31,MER-C0001,Liberty Electric Inc.,6260.0,0.0,0.0,0.0,21020.0,27280.0
2026-03-31,MER-C0003,Sterling Hotels Corp.,0.0,0.0,0.0,0.0,38124.0,38124.0
2026-03-31,MER-C0007,Ironclad Supply LP,0.0,0.0,0.0,0.0,11240.0,11240.0
2026-03-31,MER-C0012,Bayside Automotive Corp.,0.0,38002.5,0.0,0.0,0.0,38002.5
2026-03-31,MER-C0013,Coastal Medical Group Co.,0.0,0.0,0.0,0.0,7260.0,7260.0
2026-03-31,MER-C0018,Blue Ridge Transport Co.,19759.88,0.0,0.0,0.0,0.0,19759.88
2026-03-31,MER-C0021,Keystone State Transport Inc.,0.0,0.0,0.0,0.0,25977.0,25977.0
2026-03-31,MER-C0029,Beacon Supply LP,0.0,0.0,0.0,0.0,41259.0,41259.0
2026-03-31,MER-C0031,Keystone State Software LLC,0.0,0.0,0.0,0.0,44572.0,44572.0
2026-03-31,MER-C0032,Patriot Medical Group Corp.,0.0,0.0,0.0,15136.37,0.0,15136.37
2026-03-31,MER-C0036,Highland Medical Group Corp.,0.0,0.0,0.0,0.0,40597.5,40597.5
