installment_id,invoice_id,installment_number,due_date,amount_due
MER-INV00001-01,MER-INV00001,1,2025-09-28,5255.0
MER-INV00001-02,MER-INV00001,2,2025-10-28,5255.0
MER-INV00001-03,MER-INV00001,3,2025-11-27,5255.0
MER-INV00001-04,MER-INV00001,4,2025-12-27,5255.0
MER-INV00002-01,MER-INV00002,1,2026-04-16,6260
MER-INV00003-01,MER-INV00003,1,2025-12-24,6317.56
MER-INV00003-02,MER-INV00003,2,2026-01-23,2105.85
MER-INV00003-03,MER-INV00003,3,2026-02-22,2105.85
MER-INV00003-04,MER-INV00003,4,2026-03-24,2105.85
MER-INV00003-05,MER-INV00003,5,2026-04-23,2105.85
MER-INV00003-06,MER-INV00003,6,2026-05-23,2105.85
MER-INV00003-07,MER-INV00003,7,2026-06-22,2105.85
MER-INV00003-08,MER-INV00003,8,2026-07-22,2105.85
MER-INV00003-09,MER-INV00003,9,2026-08-21,2105.85
MER-INV00003-10,MER-INV00003,10,2026-09-20,2105.85
MER-INV00004-01,MER-INV00004,1,2025-09-11,15472
MER-INV00005-01,MER-INV00005,1,2025-10-10,31376
MER-INV00006-01,MER-INV00006,1,2025-06-07,1741.0
MER-INV00006-02,MER-INV00006,2,2025-07-07,580.33
MER-INV00006-03,MER-INV00006,3,2025-08-06,580.33
MER-INV00006-04,MER-INV00006,4,2025-09-05,580.33
MER-INV00006-05,MER-INV00006,5,2025-10-05,580.33
MER-INV00006-06,MER-INV00006,6,2025-11-04,580.33
MER-INV00006-07,MER-INV00006,7,2025-12-04,580.33
MER-INV00006-08,MER-INV00006,8,2026-01-03,580.33
MER-INV00006-09,MER-INV00006,9,2026-02-02,580.33
MER-INV00006-10,MER-INV00006,10,2026-03-04,580.33
MER-INV00007-01,MER-INV00007,1,2025-08-20,57124
MER-INV00008-01,MER-INV00008,1,2026-04-06,20564.5
MER-INV00008-02,MER-INV00008,2,2026-05-06,20564.5
MER-INV00008-03,MER-INV00008,3,2026-06-05,20564.5
MER-INV00008-04,MER-INV00008,4,2026-07-05,20564.5
MER-INV00009-01,MER-INV00009,1,2026-02-28,13660.0
MER-INV00009-02,MER-INV00009,2,2026-03-30,13660.0
MER-INV00009-03,MER-INV00009,3,2026-04-29,13660.0
MER-INV00009-04,MER-INV00009,4,2026-05-29,13660.0
MER-INV00010-01,MER-INV00010,1,2025-09-18,3328.3
MER-INV00010-02,MER-INV00010,2,2025-10-18,3328.3
MER-INV00010-03,MER-INV00010,3,2025-11-17,3328.3
MER-INV00010-04,MER-INV00010,4,2025-12-17,3328.3
MER-INV00011-01,MER-INV00011,1,2025-06-19,2810.0
MER-INV00011-02,MER-INV00011,2,2025-07-19,936.67
MER-INV00011-03,MER-INV00011,3,2025-08-18,936.67
MER-INV00011-04,MER-INV00011,4,2025-09-17,936.67
MER-INV00011-05,MER-INV00011,5,2025-10-17,936.67
MER-INV00011-06,MER-INV00011,6,2025-11-16,936.67
MER-INV00011-07,MER-INV00011,7,2025-12-16,936.67
MER-INV00011-08,MER-INV00011,8,2026-01-15,936.67
MER-INV00011-09,MER-INV00011,9,2026-02-14,936.67
MER-INV00011-10,MER-INV00011,10,2026-03-16,936.67
MER-INV00012-01,MER-INV00012,1,2026-03-26,6262.5
MER-INV00012-02,MER-INV00012,2,2026-04-25,6262.5
MER-INV00012-03,MER-INV00012,3,2026-05-25,6262.5
MER-INV00012-04,MER-INV00012,4,2026-06-24,6262.5
MER-INV00013-01,MER-INV00013,1,2025-05-07,16076.51
MER-INV00014-01,MER-INV00014,1,2026-02-08,8034.75
MER-INV00014-02,MER-INV00014,2,2026-03-10,2678.25
MER-INV00014-03,MER-INV00014,3,2026-04-09,2678.25
MER-INV00014-04,MER-INV00014,4,2026-05-09,2678.25
MER-INV00014-05,MER-INV00014,5,2026-06-08,2678.25
MER-INV00014-06,MER-INV00014,6,2026-07-08,2678.25
MER-INV00014-07,MER-INV00014,7,2026-08-07,2678.25
MER-INV00014-08,MER-INV00014,8,2026-09-06,2678.25
MER-INV00014-09,MER-INV00014,9,2026-10-06,2678.25
MER-INV00014-10,MER-INV00014,10,2026-11-05,2678.25
MER-INV00015-01,MER-INV00015,1,2025-09-26,31302
MER-INV00016-01,MER-INV00016,1,2026-03-27,12667.5
MER-INV00016-02,MER-INV00016,2,2026-04-26,12667.5
MER-INV00016-03,MER-INV00016,3,2026-05-26,12667.5
MER-INV00016-04,MER-INV00016,4,2026-06-25,12667.5
MER-INV00017-01,MER-INV00017,1,2025-09-10,38740.01
MER-INV00018-01,MER-INV00018,1,2026-01-03,12606.25
MER-INV00018-02,MER-INV00018,2,2026-02-02,12606.25
MER-INV00018-03,MER-INV00018,3,2026-03-04,12606.25
MER-INV00018-04,MER-INV00018,4,2026-04-03,12606.25
MER-INV00019-01,MER-INV00019,1,2025-07-24,2420.0
MER-INV00019-02,MER-INV00019,2,2025-08-23,806.67
MER-INV00019-03,MER-INV00019,3,2025-09-22,806.67
MER-INV00019-04,MER-INV00019,4,2025-10-22,806.67
MER-INV00019-05,MER-INV00019,5,2025-11-21,806.67
MER-INV00019-06,MER-INV00019,6,2025-12-21,806.67
MER-INV00019-07,MER-INV00019,7,2026-01-20,806.67
MER-INV00019-08,MER-INV00019,8,2026-02-19,806.67
MER-INV00019-09,MER-INV00019,9,2026-03-21,806.67
MER-INV00019-10,MER-INV00019,10,2026-04-20,806.67
MER-INV00020-01,MER-INV00020,1,2025-06-06,11900.0
MER-INV00020-02,MER-INV00020,2,2025-07-06,11900.0
MER-INV00020-03,MER-INV00020,3,2025-08-05,11900.0
MER-INV00020-04,MER-INV00020,4,2025-09-04,11900.0
MER-INV00021-01,MER-INV00021,1,2026-02-04,11309.25
MER-INV00021-02,MER-INV00021,2,2026-03-06,11309.25
MER-INV00021-03,MER-INV00021,3,2026-04-05,11309.25
MER-INV00021-04,MER-INV00021,4,2026-05-05,11309.25
MER-INV00022-01,MER-INV00022,1,2025-05-17,5478
MER-INV00023-01,MER-INV00023,1,2025-07-30,21936
MER-INV00024-01,MER-INV00024,1,2026-04-07,19759.88
MER-INV00025-01,MER-INV00025,1,2025-10-06,18212.36
MER-INV00026-01,MER-INV00026,1,2025-09-04,14874.25
MER-INV00026-02,MER-INV00026,2,2025-10-04,14874.25
MER-INV00026-03,MER-INV00026,3,2025-11-03,14874.25
MER-INV00026-04,MER-INV00026,4,2025-12-03,14874.25
MER-INV00027-01,MER-INV00027,1,2025-10-01,4510.0
MER-INV00027-02,MER-INV00027,2,2025-10-31,4510.0
MER-INV00027-03,MER-INV00027,3,2025-11-30,4510.0
MER-INV00027-04,MER-INV00027,4,2025-12-30,4510.0
MER-INV00028-01,MER-INV00028,1,2025-06-05,16173.0
MER-INV00028-02,MER-INV00028,2,2025-07-05,16173.0
MER-INV00028-03,MER-INV00028,3,2025-08-04,16173.0
MER-INV00028-04,MER-INV00028,4,2025-09-03,16173.0
MER-INV00029-01,MER-INV00029,1,2025-06-10,34636
MER-INV00030-01,MER-INV00030,1,2025-08-11,17460.75
MER-INV00030-02,MER-INV00030,2,2025-09-10,17460.75
MER-INV00030-03,MER-INV00030,3,2025-10-10,17460.75
MER-INV00030-04,MER-INV00030,4,2025-11-09,17460.75
MER-INV00031-01,MER-INV00031,1,2025-08-30,4915.75
MER-INV00031-02,MER-INV00031,2,2025-09-29,4915.75
MER-INV00031-03,MER-INV00031,3,2025-10-29,4915.75
MER-INV00031-04,MER-INV00031,4,2025-11-28,4915.75
MER-INV00032-01,MER-INV00032,1,2025-11-10,8199
MER-INV00033-01,MER-INV00033,1,2025-10-31,66842
MER-INV00034-01,MER-INV00034,1,2025-12-07,22454
MER-INV00035-01,MER-INV00035,1,2026-03-25,6738.42
MER-INV00035-02,MER-INV00035,2,2026-04-24,2246.14
MER-INV00035-03,MER-INV00035,3,2026-05-24,2246.14
MER-INV00035-04,MER-INV00035,4,2026-06-23,2246.14
MER-INV00035-05,MER-INV00035,5,2026-07-23,2246.14
MER-INV00035-06,MER-INV00035,6,2026-08-22,2246.14
MER-INV00035-07,MER-INV00035,7,2026-09-21,2246.14
MER-INV00035-08,MER-INV00035,8,2026-10-21,2246.14
MER-INV00035-09,MER-INV00035,9,2026-11-20,2246.14
MER-INV00035-10,MER-INV00035,10,2026-12-20,2246.14
MER-INV00036-01,MER-INV00036,1,2025-04-29,1917.0
MER-INV00036-02,MER-INV00036,2,2025-05-29,639.0
MER-INV00036-03,MER-INV00036,3,2025-06-28,639.0
MER-INV00036-04,MER-INV00036,4,2025-07-28,639.0
