payment_id,client_id,invoice_id,payment_date,amount,method,payer,reference,applied,deposited_to
MER-PMT00001,MER-C0002,MER-INV00003,2026-01-05,25270.24,Credit Card,Evergreen Electric LLC,CHK 70758,Y,Premium Trust Account
MER-PMT00002,MER-C0003,MER-INV00005,2025-10-03,15688.0,Credit Card,Sterling Hotels Corp.,CHK 51493,Y,Premium Trust Account
MER-PMT00003,MER-C0004,MER-INV00007,2025-08-24,57124,ACH,AFCO,PF847611,Y,Premium Trust Account
MER-PMT00004,MER-C0004,MER-INV00008,2026-04-01,82258,ACH,Imperial PFS,PF351693,Y,Premium Trust Account
MER-PMT00005,MER-C0005,MER-INV00009,2026-02-16,54640,ACH,AFCO,PF398353,Y,Premium Trust Account
MER-PMT00006,MER-C0006,MER-INV00010,2025-09-25,13313.18,ACH,Summit Associates Corp.,CHK 43744,Y,Premium Trust Account
MER-PMT00007,MER-C0009,MER-INV00012,2026-04-20,25050.0,Wire,Pioneer Supply LLC,CHK 17822,Y,Premium Trust Account
MER-PMT00008,MER-C0011,MER-INV00013,2025-05-21,16076.51,ACH,Metro Software LLC,CHK 9106,Y,Premium Trust Account
MER-PMT00009,MER-C0011,MER-INV00014,2026-02-14,32139.0,ACH,Metro Software LLC,CHK 75917,Y,Premium Trust Account
MER-PMT00010,MER-C0011,MER-INV00015,2025-09-23,31302.0,Check,Metro Software LLC,CHK 70946,Y,Premium Trust Account
MER-PMT00011,MER-C0012,MER-INV00016,2026-03-21,12667.5,ACH,Bayside Automotive Corp.,ACH718244667,Y,Premium Trust Account
MER-PMT00012,MER-C0013,MER-INV00017,2025-09-14,38740.01,Wire,Coastal Medical Group Co.,CHK 34277,Y,Premium Trust Account
MER-PMT00013,MER-C0013,MER-INV00018,2025-12-27,50425.0,ACH,Coastal Medical Group Co.,CHK 93572,Y,Premium Trust Account
MER-PMT00014,MER-C0013,MER-INV00019,2025-08-11,2420.0,Check,Coastal Medical Group Co.,CHK 25239,Y,Premium Trust Account
MER-PMT00015,MER-C0014,MER-INV00020,2025-06-16,47600,ACH,AFCO,PF586371,Y,Premium Trust Account
MER-PMT00016,MER-C0015,MER-INV00021,2026-02-11,45237.0,ACH,Ironclad Electric LLC,ACH117883794,Y,Premium Trust Account
MER-PMT00017,MER-C0017,MER-INV00022,2025-06-04,5478.0,ACH,Evergreen Associates LP,ACH396833670,Y,Premium Trust Account
MER-PMT00018,MER-C0017,MER-INV00023,2025-07-22,21936.0,Check,Evergreen Associates LP,ACH228967397,Y,Premium Trust Account
MER-PMT00019,MER-C0018,MER-INV00025,2025-10-30,18212.36,Credit Card,Blue Ridge Transport Co.,ACH998983083,Y,Premium Trust Account
MER-PMT00020,MER-C0019,MER-INV00026,2025-09-18,59497.0,Check,Metro Associates LP,CHK 46223,Y,Premium Trust Account
MER-PMT00021,MER-C0019,MER-INV00027,2025-10-14,18040.0,Check,Metro Associates LP,ACH921787890,Y,Premium Trust Account
MER-PMT00022,MER-C0020,MER-INV00028,2025-05-30,64692.0,Check,Keystone State Marine Co.,CHK 11890,Y,Premium Trust Account
MER-PMT00023,MER-C0021,MER-INV00029,2025-06-06,8659.0,ACH,Keystone State Transport Inc.,ACH315324356,Y,Premium Trust Account
MER-PMT00024,MER-C0022,MER-INV00030,2025-08-18,69843,ACH,AFCO,PF418565,Y,Premium Trust Account
MER-PMT00025,MER-C0023,MER-INV00031,2025-08-31,19663.0,ACH,Ironclad Properties Inc.,ACH253655305,Y,Premium Trust Account
MER-PMT00026,MER-C0023,MER-INV00032,2025-11-04,8199.0,Wire,Ironclad Properties Inc.,ACH963835883,Y,Premium Trust Account
MER-PMT00027,MER-C0024,MER-INV00033,2025-10-31,66842,ACH,AFCO,PF795978,Y,Premium Trust Account
MER-PMT00028,MER-C0025,MER-INV00034,2025-12-17,22454.0,Credit Card,Riverside Electric LLC,CHK 25876,Y,Premium Trust Account
MER-PMT00029,MER-C0026,MER-INV00035,2026-03-17,26953.69,Wire,Summit Software Inc.,ACH131519509,Y,Premium Trust Account
MER-PMT00030,MER-C0028,MER-INV00036,2025-05-24,7668.0,Check,Cornerstone Electric LLC,ACH647474581,Y,Premium Trust Account
MER-PMT00031,MER-C0029,MER-INV00037,2025-06-29,13753.0,ACH,Beacon Supply LP,CHK 2572,Y,Premium Trust Account
