statement_id,carrier_code,statement_date,line_number,policy_number,insured_name,transaction_type,effective_date,gross_premium,commission_pct,commission_amount,net_premium_due_carrier,matched_to_policy_id,match_status
TRV-STMT-202510,TRV,2025-10-31,1,TRV-UMB-1855834,Ironclad Properties Inc.,NB,2025-10-25,8199,15.0,1229.85,6969.15,MER-P00077,Matched
HIG-STMT-202510,HIG,2025-10-31,1,HIG-GL-4793721,Sterling Hotels Corp.,RN,2025-10-01,30876,14.0,4322.64,26553.36,MER-P00009,Matched
HIG-STMT-202603,HIG,2026-03-31,1,HIG-PROP-2653381,Pioneer Automotive Inc.,NB,2026-03-12,81758,14.0,11446.12,70311.88,MER-P00013,Matched
HIG-STMT-202603,HIG,2026-03-31,2,HIG-PROP-3707721,Bayside Automotive Corp.,RN,2026-03-23,50170,14.0,7023.8,43146.2,MER-P00041,Matched
LIB-STMT-202511,LIB,2025-11-30,1,LIB-UMB-8296691,Riverside Electric LLC,RN,2025-11-19,22454,12.0,2694.48,19759.52,MER-P00082,Matched
LIB-STMT-202601,LIB,2026-01-31,1,LIB-GL-9817327,Ironclad Electric LLC,NB,2026-01-25,45237,12.0,5428.44,39808.56,MER-P00052,Matched
LIB-STMT-202603,LIB,2026-03-31,1,LIB-UMB-2133128,Liberty Electric Inc.,RN,2026-03-24,5760,12.0,691.2,5068.8,MER-P00004,Matched
CNA-STMT-202510,CNA,2025-10-31,1,CNA-PROP-7416790,Northgate Manufacturing Inc.,RN,2025-10-13,66842,15.0,10026.3,56815.7,MER-P00078,Matched
CNA-STMT-202512,CNA,2025-12-31,1,CNA-GL-2113318,Coastal Medical Group Co.,RN,2025-12-15,50175,15.0,7526.25,42648.75,MER-P00044,Matched
CNA-STMT-202601,CNA,2026-01-31,1,CNA-PL-3454217,Metro Software LLC,RN,2026-01-26,31639,15.0,4745.85,26893.15,MER-P00037,Matched
CNA-STMT-202601,CNA,2026-01-31,2,CNA-GL-9757826,Keystone State Software LLC,RN,2026-01-15,34490,15.0,5173.5,29316.5,MER-P00100,Matched
CNA-STMT-202603,CNA,2026-03-31,1,CNA-PROP-5475715,Pioneer Supply LLC,RN,2026-03-02,25050,15.0,3757.5,21292.5,MER-P00028,Matched
CHB-STMT-202510,CHB,2025-10-31,1,CHB-DO-6404495,Keystone State Software LLC,RN,2025-10-26,44322,15.0,6648.3,37673.7,MER-P00101,Matched
CHB-STMT-202602,CHB,2026-02-28,1,CHB-PROP-3823676,Blue Ridge Manufacturing Inc.,RN,2026-02-10,54490,15.0,8173.5,46316.5,MER-P00015,Matched
MKL-STMT-202512,MKL,2025-12-31,1,MKL-UMB-5215874,Evergreen Electric LLC,RN,2025-12-15,23237,12.0,2788.44,20448.56,MER-P00007,Matched
MKL-STMT-202603,MKL,2026-03-31,1,MKL-GL-1076329,Blue Ridge Transport Co.,RN,2026-03-22,18170,12.0,2180.4,15989.6,MER-P00060,Matched
MKL-STMT-202603,MKL,2026-03-31,2,MKL-PL-4465866,Summit Software Inc.,RN,2026-03-18,24785,12.0,2974.2,21810.8,MER-P00084,Matched
BEZ-STMT-202512,BEZ,2025-12-31,1,BEZ-PL-9123541,Patriot Medical Group Corp.,RN,2025-12-13,27837,15.0,4175.55,23661.45,MER-P00102,Matched
