account,date,description,amount,balance
Premium Trust Acct x4471,2025-05-08,DEPOSIT CREDIT CARD HIGHLAND MEDICAL GROUP ACH332117758,13258.0,425758.0
Premium Trust Acct x4471,2025-05-21,DEPOSIT ACH METRO SOFTWARE LLC CHK 9106,16076.51,441834.51
Premium Trust Acct x4471,2025-05-21,DEPOSIT ACH PATRIOT MEDICAL GROUP  ACH336871163,50515.0,492349.51
Premium Trust Acct x4471,2025-05-24,DEPOSIT CHECK CORNERSTONE ELECTRIC L ACH647474581,7668.0,500017.51
Premium Trust Acct x4471,2025-05-30,DEPOSIT CHECK KEYSTONE STATE MARINE  CHK 11890,64692.0,564709.51
Premium Trust Acct x4471,2025-05-30,DEPOSIT ACH HIGHLAND MEDICAL GROUP ACH451334438,59799.0,624508.51
Premium Trust Acct x4471,2025-05-31,DEPOSIT ACH IMPERIAL PFS PF688386,79449,703957.51
Premium Trust Acct x4471,2025-06-04,DEPOSIT ACH EVERGREEN ASSOCIATES L ACH396833670,5478.0,709435.51
Premium Trust Acct x4471,2025-06-06,DEPOSIT ACH KEYSTONE STATE TRANSPO ACH315324356,8659.0,718094.51
Premium Trust Acct x4471,2025-06-11,DEPOSIT WIRE HIGHLAND MEDICAL GROUP CHK 16542,13532.5,731627.01
Premium Trust Acct x4471,2025-06-16,DEPOSIT ACH AFCO PF586371,47600,779227.01
Premium Trust Acct x4471,2025-06-29,DEPOSIT ACH BEACON SUPPLY LP CHK 2572,13753.0,792980.01
Premium Trust Acct x4471,2025-07-22,DEPOSIT CHECK EVERGREEN ASSOCIATES L ACH228967397,21936.0,814916.01
Premium Trust Acct x4471,2025-07-25,DEPOSIT ACH IMPERIAL PFS PF510059,41478,856394.01
Premium Trust Acct x4471,2025-08-11,DEPOSIT CHECK COASTAL MEDICAL GROUP  CHK 25239,2420.0,858814.01
Premium Trust Acct x4471,2025-08-18,DEPOSIT ACH AFCO PF418565,69843,928657.01
Premium Trust Acct x4471,2025-08-24,DEPOSIT ACH AFCO PF847611,57124,985781.01
Premium Trust Acct x4471,2025-08-31,DEPOSIT ACH IRONCLAD PROPERTIES IN ACH253655305,19663.0,1005444.01
Premium Trust Acct x4471,2025-09-14,DEPOSIT WIRE COASTAL MEDICAL GROUP  CHK 34277,38740.01,1044184.02
Premium Trust Acct x4471,2025-09-18,DEPOSIT CHECK METRO ASSOCIATES LP CHK 46223,59497.0,1103681.02
Premium Trust Acct x4471,2025-09-23,DEPOSIT CHECK METRO SOFTWARE LLC CHK 70946,31302.0,1134983.02
Premium Trust Acct x4471,2025-09-25,DEPOSIT ACH SUMMIT ASSOCIATES CORP CHK 43744,13313.18,1148296.2
Premium Trust Acct x4471,2025-09-30,DEPOSIT ACH IMPERIAL PFS PF240732,50797,1199093.2
Premium Trust Acct x4471,2025-10-03,DEPOSIT CREDIT CARD STERLING HOTELS CORP. CHK 51493,15688.0,1214781.2
Premium Trust Acct x4471,2025-10-14,DEPOSIT CHECK METRO ASSOCIATES LP ACH921787890,18040.0,1232821.2
Premium Trust Acct x4471,2025-10-30,DEPOSIT CREDIT CARD BLUE RIDGE TRANSPORT C ACH998983083,18212.36,1251033.56
Premium Trust Acct x4471,2025-10-31,DEPOSIT ACH AFCO PF795978,66842,1317875.56
Premium Trust Acct x4471,2025-11-04,DEPOSIT WIRE IRONCLAD PROPERTIES IN ACH963835883,8199.0,1326074.56
Premium Trust Acct x4471,2025-11-23,ACH DEBIT HIG ACCT CURRENT HIG-STMT-202510,-26553.36,1468379.25
Premium Trust Acct x4471,2025-11-30,ACH DEBIT CHB ACCT CURRENT CHB-STMT-202510,-37673.7,1696923.21
Premium Trust Acct x4471,2025-12-03,ACH DEBIT TRV ACCT CURRENT TRV-STMT-202510,-6969.15,1381393.46
Premium Trust Acct x4471,2025-12-07,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202510,-56815.7,1593791.01
