journal_id,posting_date,account_number,account_name,debit,credit,memo,source
JE00001,2025-04-30,1200,Premiums Receivable (Agency Bill),12636.06,0,Agency bill commission earned 2025-04,AMS
JE00001,2025-04-30,4000,Commission Income - Agency Bill,0,12636.06,Agency bill commission earned 2025-04,AMS
JE00002,2025-04-30,1000,Operating Cash,32410.44,0,Direct bill commissions received 2025-04,Bank
JE00002,2025-04-30,4010,Commission Income - Direct Bill,0,32410.44,Direct bill commissions received 2025-04,Bank
JE00003,2025-04-30,6000,Salaries & Wages,208583.33,0,Payroll 2025-04,Payroll
JE00003,2025-04-30,1000,Operating Cash,0,208583.33,Payroll 2025-04,Payroll
JE00004,2025-04-30,6700,Office & Supplies,62988.05,0,AP invoices 2025-04 (summary),AP
JE00004,2025-04-30,2000,Accounts Payable,0,62988.05,AP invoices 2025-04 (summary),AP
JE00005,2025-05-31,1200,Premiums Receivable (Agency Bill),34360.91,0,Agency bill commission earned 2025-05,AMS
JE00005,2025-05-31,4000,Commission Income - Agency Bill,0,34360.91,Agency bill commission earned 2025-05,AMS
JE00006,2025-05-31,1000,Operating Cash,62581.48,0,Direct bill commissions received 2025-05,Bank
JE00006,2025-05-31,4010,Commission Income - Direct Bill,0,62581.48,Direct bill commissions received 2025-05,Bank
JE00007,2025-05-31,6000,Salaries & Wages,208583.33,0,Payroll 2025-05,Payroll
JE00007,2025-05-31,1000,Operating Cash,0,208583.33,Payroll 2025-05,Payroll
JE00008,2025-05-31,6700,Office & Supplies,34818.23,0,AP invoices 2025-05 (summary),AP
JE00008,2025-05-31,2000,Accounts Payable,0,34818.23,AP invoices 2025-05 (summary),AP
JE00009,2025-06-30,1200,Premiums Receivable (Agency Bill),25662.84,0,Agency bill commission earned 2025-06,AMS
JE00009,2025-06-30,4000,Commission Income - Agency Bill,0,25662.84,Agency bill commission earned 2025-06,AMS
JE00010,2025-06-30,1000,Operating Cash,29217.74,0,Direct bill commissions received 2025-06,Bank
JE00010,2025-06-30,4010,Commission Income - Direct Bill,0,29217.74,Direct bill commissions received 2025-06,Bank
JE00011,2025-06-30,6000,Salaries & Wages,208583.33,0,Payroll 2025-06,Payroll
JE00011,2025-06-30,1000,Operating Cash,0,208583.33,Payroll 2025-06,Payroll
JE00012,2025-06-30,6700,Office & Supplies,50950.95,0,AP invoices 2025-06 (summary),AP
JE00012,2025-06-30,2000,Accounts Payable,0,50950.95,AP invoices 2025-06 (summary),AP
JE00013,2025-07-31,1200,Premiums Receivable (Agency Bill),10439.32,0,Agency bill commission earned 2025-07,AMS
JE00013,2025-07-31,4000,Commission Income - Agency Bill,0,10439.32,Agency bill commission earned 2025-07,AMS
JE00014,2025-07-31,1000,Operating Cash,93179.72,0,Direct bill commissions received 2025-07,Bank
JE00014,2025-07-31,4010,Commission Income - Direct Bill,0,93179.72,Direct bill commissions received 2025-07,Bank
JE00015,2025-07-31,6000,Salaries & Wages,208583.33,0,Payroll 2025-07,Payroll
JE00015,2025-07-31,1000,Operating Cash,0,208583.33,Payroll 2025-07,Payroll
JE00016,2025-07-31,6700,Office & Supplies,50087.4,0,AP invoices 2025-07 (summary),AP
JE00016,2025-07-31,2000,Accounts Payable,0,50087.4,AP invoices 2025-07 (summary),AP
JE00017,2025-08-31,1200,Premiums Receivable (Agency Bill),39070.65,0,Agency bill commission earned 2025-08,AMS
JE00017,2025-08-31,4000,Commission Income - Agency Bill,0,39070.65,Agency bill commission earned 2025-08,AMS
JE00018,2025-08-31,1000,Operating Cash,65941.81,0,Direct bill commissions received 2025-08,Bank
JE00018,2025-08-31,4010,Commission Income - Direct Bill,0,65941.81,Direct bill commissions received 2025-08,Bank
