document_id,client_id,policy_id,document_type,file_name,received_date,source,indexed_by,pages
DOC-MER-P00001-POL,MER-C0001,MER-P00001,Policy,CNA-GL-7570178_Policy.pdf,2025-09-27,Carrier download,E011,57
DOC-MER-P00002-POL,MER-C0001,MER-P00002,Policy,HIG-WC-8196119_Policy.pdf,2025-11-28,Email attachment,E011,116
DOC-MER-P00002-APP,MER-C0001,MER-P00002,ACORD 125 Application,MER-C0001_ACORD125_2025.pdf,2025-08-02,Indio,E011,11
DOC-MER-P00003-POL,MER-C0001,MER-P00003,Policy,LIB-AUTO-4712522_Policy.pdf,2025-06-23,Email attachment,E011,92
DOC-MER-P00003-APP,MER-C0001,MER-P00003,ACORD 125 Application,MER-C0001_ACORD125_2025.pdf,2025-04-24,Indio,E011,7
DOC-MER-P00004-POL,MER-C0001,MER-P00004,Policy,LIB-UMB-2133128_Policy.pdf,2026-04-19,Carrier download,E011,49
DOC-MER-P00004-APP,MER-C0001,MER-P00004,ACORD 125 Application,MER-C0001_ACORD125_2026.pdf,2026-01-05,Indio,E011,6
DOC-MER-P00005-POL,MER-C0002,MER-P00005,Policy,HIG-WC-9984539_Policy.pdf,2026-04-19,Carrier download,E021,66
DOC-MER-P00005-APP,MER-C0002,MER-P00005,ACORD 125 Application,MER-C0002_ACORD125_2026.pdf,2025-12-28,Indio,E021,11
DOC-MER-P00006-POL,MER-C0002,MER-P00006,Policy,TRV-AUTO-6538211_Policy.pdf,2025-08-24,Carrier download,E021,133
DOC-MER-P00007-POL,MER-C0002,MER-P00007,Policy,MKL-UMB-5215874_Policy.pdf,2026-01-01,Carrier download,E021,90
DOC-MER-P00007-APP,MER-C0002,MER-P00007,ACORD 125 Application,MER-C0002_ACORD125_2025.pdf,2025-10-17,Indio,E021,5
DOC-MER-P00008-POL,MER-C0003,MER-P00008,Policy,LIB-PROP-9406069_Policy.pdf,2025-10-22,Email attachment,E009,106
DOC-MER-P00008-APP,MER-C0003,MER-P00008,ACORD 125 Application,MER-C0003_ACORD125_2025.pdf,2025-07-28,Indio,E009,8
DOC-MER-P00009-POL,MER-C0003,MER-P00009,Policy,HIG-GL-4793721_Policy.pdf,2025-10-27,Email attachment,E009,95
DOC-MER-P00009-APP,MER-C0003,MER-P00009,ACORD 125 Application,MER-C0003_ACORD125_2025.pdf,2025-08-25,Indio,E009,4
DOC-MER-P00010-POL,MER-C0003,MER-P00010,Policy,AMT-WC-7598305_Policy.pdf,2025-08-23,Carrier download,E009,114
DOC-MER-P00010-APP,MER-C0003,MER-P00010,ACORD 125 Application,MER-C0003_ACORD125_2025.pdf,2025-05-08,Indio,E009,12
DOC-MER-P00011-POL,MER-C0003,MER-P00011,Policy,TRV-UMB-5587034_Policy.pdf,2025-06-12,Carrier download,E009,36
DOC-MER-P00012-POL,MER-C0004,MER-P00012,Policy,CNA-GL-8490536_Policy.pdf,2025-10-01,Carrier download,E021,131
DOC-MER-P00013-POL,MER-C0004,MER-P00013,Policy,HIG-PROP-2653381_Policy.pdf,2026-04-22,Carrier download,E021,126
DOC-MER-P00014-POL,MER-C0004,MER-P00014,Policy,HIG-WC-8727449_Policy.pdf,2025-09-09,Carrier download,E021,58
DOC-MER-P00015-POL,MER-C0005,MER-P00015,Policy,CHB-PROP-3823676_Policy.pdf,2026-02-24,Carrier download,E013,59
DOC-MER-P00015-APP,MER-C0005,MER-P00015,ACORD 125 Application,MER-C0005_ACORD125_2026.pdf,2025-11-12,Indio,E013,12
DOC-MER-P00016-POL,MER-C0005,MER-P00016,Policy,TRV-GL-6046938_Policy.pdf,2025-07-06,Email attachment,E013,61
DOC-MER-P00017-POL,MER-C0005,MER-P00017,Policy,AMT-WC-2820114_Policy.pdf,2026-03-25,Carrier download,E013,99
DOC-MER-P00017-APP,MER-C0005,MER-P00017,ACORD 125 Application,MER-C0005_ACORD125_2026.pdf,2026-01-16,Indio,E013,11
DOC-MER-P00018-POL,MER-C0006,MER-P00018,Policy,MKL-PL-8392796_Policy.pdf,2025-09-19,Email attachment,E014,92
DOC-MER-P00019-POL,MER-C0006,MER-P00019,Policy,BEZ-CYB-6863791_Policy.pdf,2025-09-22,Carrier download,E014,48
DOC-MER-P00020-POL,MER-C0006,MER-P00020,Policy,AMT-BOP-8586621_Policy.pdf,2026-04-06,Email attachment,E014,99
DOC-MER-P00021-POL,MER-C0007,MER-P00021,Policy,CHB-PROP-4812910_Policy.pdf,2025-07-17,Carrier download,E016,68
DOC-MER-P00022-POL,MER-C0007,MER-P00022,Policy,MKL-GL-9433463_Policy.pdf,2026-04-03,Email attachment,E016,78
DOC-MER-P00023-POL,MER-C0007,MER-P00023,Policy,LIB-AUTO-6966262_Policy.pdf,2025-05-21,Carrier download,E016,84
DOC-MER-P00023-APP,MER-C0007,MER-P00023,ACORD 125 Application,MER-C0007_ACORD125_2025.pdf,2025-02-26,Indio,E016,5
DOC-MER-P00024-POL,MER-C0007,MER-P00024,Policy,AMT-WC-9085023_Policy.pdf,2025-08-16,Carrier download,E016,88
DOC-MER-P00025-POL,MER-C0008,MER-P00025,Policy,TRV-GL-1144524_Policy.pdf,2025-05-05,Carrier download,E016,113
DOC-MER-P00026-POL,MER-C0008,MER-P00026,Policy,LIB-PROP-9155931_Policy.pdf,2026-01-23,Email attachment,E016,129
DOC-MER-P00027-POL,MER-C0008,MER-P00027,Policy,HIG-WC-8757868_Policy.pdf,2026-03-03,Carrier download,E016,52
DOC-MER-P00028-POL,MER-C0009,MER-P00028,Policy,CNA-PROP-5475715_Policy.pdf,2026-04-30,Carrier download,E020,85
DOC-MER-P00028-APP,MER-C0009,MER-P00028,ACORD 125 Application,MER-C0009_ACORD125_2026.pdf,2025-12-11,Indio,E020,6
DOC-MER-P00029-POL,MER-C0009,MER-P00029,Policy,TRV-GL-7968846_Policy.pdf,2026-01-02,Email attachment,E020,71
DOC-MER-P00029-APP,MER-C0009,MER-P00029,ACORD 125 Application,MER-C0009_ACORD125_2025.pdf,2025-09-25,Indio,E020,5
DOC-MER-P00030-POL,MER-C0009,MER-P00030,Policy,LIB-AUTO-5622571_Policy.pdf,2026-04-24,Carrier download,E020,62
DOC-MER-P00030-APP,MER-C0009,MER-P00030,ACORD 125 Application,MER-C0009_ACORD125_2026.pdf,2026-02-01,Indio,E020,11
DOC-MER-P00031-POL,MER-C0009,MER-P00031,Policy,TRV-WC-7156640_Policy.pdf,2025-08-21,Carrier download,E020,75
DOC-MER-P00031-APP,MER-C0009,MER-P00031,ACORD 125 Application,MER-C0009_ACORD125_2025.pdf,2025-05-07,Indio,E020,4
DOC-MER-P00032-POL,MER-C0010,MER-P00032,Policy,TRV-GL-5328352_Policy.pdf,2026-05-11,Email attachment,E018,137
DOC-MER-P00033-POL,MER-C0010,MER-P00033,Policy,LIB-WC-4008578_Policy.pdf,2026-02-07,Carrier download,E018,115
DOC-MER-P00033-APP,MER-C0010,MER-P00033,ACORD 125 Application,MER-C0010_ACORD125_2026.pdf,2025-10-27,Indio,E018,10
DOC-MER-P00034-POL,MER-C0010,MER-P00034,Policy,LIB-AUTO-8870950_Policy.pdf,2026-04-12,Email attachment,E018,63
DOC-MER-P00034-APP,MER-C0010,MER-P00034,ACORD 125 Application,MER-C0010_ACORD125_2026.pdf,2026-02-01,Indio,E018,5
DOC-MER-P00035-POL,MER-C0010,MER-P00035,Policy,LIB-UMB-1629394_Policy.pdf,2025-10-24,Carrier download,E018,96
DOC-MER-P00035-APP,MER-C0010,MER-P00035,ACORD 125 Application,MER-C0010_ACORD125_2025.pdf,2025-07-02,Indio,E018,12
DOC-MER-P00036-POL,MER-C0011,MER-P00036,Policy,BEZ-CYB-8023139_Policy.pdf,2025-06-03,Carrier download,E014,102
DOC-MER-P00037-POL,MER-C0011,MER-P00037,Policy,CNA-PL-3454217_Policy.pdf,2026-02-04,Carrier download,E014,46
DOC-MER-P00038-POL,MER-C0011,MER-P00038,Policy,CHB-GL-4780971_Policy.pdf,2025-10-14,Carrier download,E014,52
DOC-MER-P00039-POL,MER-C0011,MER-P00039,Policy,CHB-DO-3542095_Policy.pdf,2025-09-02,Carrier download,E014,65
DOC-MER-P00039-APP,MER-C0011,MER-P00039,ACORD 125 Application,MER-C0011_ACORD125_2025.pdf,2025-07-14,Indio,E014,7
DOC-MER-P00040-POL,MER-C0012,MER-P00040,Policy,CNA-GL-9198228_Policy.pdf,2026-04-09,Email attachment,E015,30
DOC-MER-P00041-POL,MER-C0012,MER-P00041,Policy,HIG-PROP-3707721_Policy.pdf,2026-05-12,Carrier download,E015,40
DOC-MER-P00042-POL,MER-C0012,MER-P00042,Policy,HIG-WC-9720344_Policy.pdf,2026-01-11,Carrier download,E015,53
DOC-MER-P00042-APP,MER-C0012,MER-P00042,ACORD 125 Application,MER-C0012_ACORD125_2025.pdf,2025-10-15,Indio,E015,10
DOC-MER-P00043-POL,MER-C0013,MER-P00043,Policy,MKL-PL-9547589_Policy.pdf,2025-09-10,Carrier download,E014,69
DOC-MER-P00044-POL,MER-C0013,MER-P00044,Policy,CNA-GL-2113318_Policy.pdf,2026-01-28,Carrier download,E014,24
DOC-MER-P00044-APP,MER-C0013,MER-P00044,ACORD 125 Application,MER-C0013_ACORD125_2025.pdf,2025-11-07,Indio,E014,7
DOC-MER-P00045-POL,MER-C0013,MER-P00045,Policy,TRV-PROP-1059147_Policy.pdf,2026-01-29,Carrier download,E014,138
DOC-MER-P00046-POL,MER-C0013,MER-P00046,Policy,CHB-CYB-7316127_Policy.pdf,2025-08-27,Carrier download,E014,68
DOC-MER-P00047-POL,MER-C0013,MER-P00047,Policy,AMT-WC-8201490_Policy.pdf,2025-09-03,Email attachment,E014,137
DOC-MER-P00047-APP,MER-C0013,MER-P00047,ACORD 125 Application,MER-C0013_ACORD125_2025.pdf,2025-07-19,Indio,E014,12
DOC-MER-P00048-POL,MER-C0014,MER-P00048,Policy,CNA-PROP-6988417_Policy.pdf,2025-07-24,Email attachment,E009,86
DOC-MER-P00049-POL,MER-C0014,MER-P00049,Policy,MKL-GL-4669323_Policy.pdf,2025-12-06,Carrier download,E009,84
DOC-MER-P00049-APP,MER-C0014,MER-P00049,ACORD 125 Application,MER-C0014_ACORD125_2025.pdf,2025-08-25,Indio,E009,9
DOC-MER-P00050-POL,MER-C0014,MER-P00050,Policy,TRV-AUTO-7190961_Policy.pdf,2025-08-05,Carrier download,E009,100
DOC-MER-P00050-APP,MER-C0014,MER-P00050,ACORD 125 Application,MER-C0014_ACORD125_2025.pdf,2025-05-22,Indio,E009,12
DOC-MER-P00051-POL,MER-C0014,MER-P00051,Policy,LIB-WC-8213452_Policy.pdf,2025-11-02,Email attachment,E009,28
DOC-MER-P00051-APP,MER-C0014,MER-P00051,ACORD 125 Application,MER-C0014_ACORD125_2025.pdf,2025-07-01,Indio,E009,5
DOC-MER-P00052-POL,MER-C0015,MER-P00052,Policy,LIB-GL-9817327_Policy.pdf,2026-03-06,Carrier download,E019,99
DOC-MER-P00053-POL,MER-C0015,MER-P00053,Policy,LIB-WC-6458590_Policy.pdf,2025-09-02,Carrier download,E019,114
DOC-MER-P00054-POL,MER-C0015,MER-P00054,Policy,LIB-AUTO-4090414_Policy.pdf,2026-01-07,Email attachment,E019,121
DOC-MER-P00054-APP,MER-C0015,MER-P00054,ACORD 125 Application,MER-C0015_ACORD125_2025.pdf,2025-10-06,Indio,E019,8
DOC-MER-P00055-POL,MER-C0015,MER-P00055,Policy,MKL-UMB-7935042_Policy.pdf,2025-06-26,Carrier download,E019,41
DOC-MER-P00056-POL,MER-C0016,MER-P00056,Policy,HIG-BOP-8177157_Policy.pdf,2025-06-07,Carrier download,E012,75
DOC-MER-P00056-APP,MER-C0016,MER-P00056,ACORD 125 Application,MER-C0016_ACORD125_2025.pdf,2025-03-12,Indio,E012,11
DOC-MER-P00057-POL,MER-C0016,MER-P00057,Policy,HIG-WC-3086050_Policy.pdf,2025-11-07,Email attachment,E012,91
DOC-MER-P00058-POL,MER-C0017,MER-P00058,Policy,CNA-PL-7293906_Policy.pdf,2025-06-14,Email attachment,E012,74
DOC-MER-P00059-POL,MER-C0017,MER-P00059,Policy,CHB-CYB-2468186_Policy.pdf,2025-08-26,Carrier download,E012,76
DOC-MER-P00059-APP,MER-C0017,MER-P00059,ACORD 125 Application,MER-C0017_ACORD125_2025.pdf,2025-05-15,Indio,E012,6
DOC-MER-P00060-POL,MER-C0018,MER-P00060,Policy,MKL-GL-1076329_Policy.pdf,2026-05-08,Carrier download,E013,118
DOC-MER-P00061-POL,MER-C0018,MER-P00061,Policy,TRV-WC-9582732_Policy.pdf,2025-12-23,Carrier download,E013,72
DOC-MER-P00061-APP,MER-C0018,MER-P00061,ACORD 125 Application,MER-C0018_ACORD125_2025.pdf,2025-09-21,Indio,E013,12
DOC-MER-P00062-POL,MER-C0018,MER-P00062,Policy,MKL-UMB-7337932_Policy.pdf,2025-09-24,Carrier download,E013,29
DOC-MER-P00062-APP,MER-C0018,MER-P00062,ACORD 125 Application,MER-C0018_ACORD125_2025.pdf,2025-07-02,Indio,E013,12
