event_id,workflow_type,object_type,object_id,timestamp,actor,action,previous_state,new_state,source_document,confidence,requires_review
EV000235,marketing,submission,MER-S00132,2025-01-16T17:00:00,E020,submitted,draft,submitted,MER-S00132_package.pdf,1.0,N
EV000236,marketing,submission,MER-S00132,2025-01-17T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000234,marketing,submission,MER-S00131,2025-01-19T15:00:00,E020,submitted,draft,submitted,MER-S00131_package.pdf,1.0,N
EV000242,marketing,submission,MER-S00136,2025-01-28T14:00:00,E012,submitted,draft,submitted,MER-S00136_package.pdf,1.0,N
EV000340,quote,quote,MER-S00132-Q1,2025-01-29T11:00:00,carrier:CHB,quote_received,,received,MER-S00132-Q1.pdf,0.92,N
EV000088,marketing,submission,MER-S00050,2025-01-29T15:00:00,E014,submitted,draft,submitted,MER-S00050_package.pdf,1.0,N
EV000089,marketing,submission,MER-S00050,2025-02-01T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000243,marketing,submission,MER-S00136,2025-02-01T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000090,marketing,submission,MER-S00051,2025-02-01T16:00:00,E014,submitted,draft,submitted,MER-S00051_package.pdf,1.0,N
EV000091,marketing,submission,MER-S00051,2025-02-03T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000233,marketing,submission,MER-S00130,2025-02-04T12:00:00,E020,submitted,draft,submitted,MER-S00130_package.pdf,1.0,N
EV000288,quote,quote,MER-S00050-Q1,2025-02-07T11:00:00,carrier:CNA,quote_received,,received,MER-S00050-Q1.pdf,0.92,N
EV000025,marketing,submission,MER-S00015,2025-02-13T09:00:00,E009,submitted,draft,submitted,MER-S00015_package.pdf,1.0,N
EV000199,marketing,submission,MER-S00110,2025-02-13T11:00:00,E013,submitted,draft,submitted,MER-S00110_package.pdf,1.0,N
EV000200,marketing,submission,MER-S00110,2025-02-17T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000343,quote,quote,MER-S00136-Q1,2025-02-18T09:00:00,carrier:BEZ,quote_received,,received,MER-S00136-Q1.pdf,0.92,N
EV000139,marketing,submission,MER-S00078,2025-02-19T15:00:00,E018,submitted,draft,submitted,MER-S00078_package.pdf,1.0,N
EV000237,marketing,submission,MER-S00133,2025-02-21T10:00:00,E012,submitted,draft,submitted,MER-S00133_package.pdf,1.0,N
EV000238,marketing,submission,MER-S00133,2025-02-21T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000135,marketing,submission,MER-S00076,2025-02-22T10:00:00,E018,submitted,draft,submitted,MER-S00076_package.pdf,1.0,N
EV000140,marketing,submission,MER-S00078,2025-02-22T10:00:00,carrier:AMT,acknowledged,submitted,acknowledged,,1.0,N
EV000136,marketing,submission,MER-S00076,2025-02-25T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000150,marketing,submission,MER-S00084,2025-02-26T16:00:00,E015,submitted,draft,submitted,MER-S00084_package.pdf,1.0,N
EV000189,marketing,submission,MER-S00105,2025-02-27T09:00:00,E011,submitted,draft,submitted,MER-S00105_package.pdf,1.0,N
EV000190,marketing,submission,MER-S00105,2025-03-01T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000289,quote,quote,MER-S00051-Q1,2025-03-01T10:00:00,carrier:BEZ,quote_received,,received,MER-S00051-Q1.pdf,0.92,N
EV000202,marketing,submission,MER-S00111,2025-03-02T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000201,marketing,submission,MER-S00111,2025-03-02T11:00:00,E013,submitted,draft,submitted,MER-S00111_package.pdf,1.0,N
EV000023,marketing,submission,MER-S00014,2025-03-04T08:00:00,E009,submitted,draft,submitted,MER-S00014_package.pdf,1.0,N
EV000024,marketing,submission,MER-S00014,2025-03-05T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000108,marketing,submission,MER-S00061,2025-03-05T11:00:00,E009,submitted,draft,submitted,MER-S00061_package.pdf,1.0,N
EV000323,quote,quote,MER-S00105-Q1,2025-03-07T13:00:00,carrier:HIG,quote_received,,received,MER-S00105-Q1.pdf,0.92,N
EV000231,marketing,submission,MER-S00129,2025-03-11T08:00:00,E020,submitted,draft,submitted,MER-S00129_package.pdf,1.0,N
